word,numInChap,numInKjv,relativeFreq
TOTAL (Zep 2),463,790663,0
breeding,1,1,1707.695464362851
cottages,1,1,1707.695464362851
lintels,1,1,1707.695464362851
saltpits,1,1,1707.695464362851
famish,1,2,853.8477321814255
revilings,1,2,853.8477321814255
bittern,1,3,569.2318214542837
carelessly,1,3,569.2318214542837
thresholds,1,3,569.2318214542837
wag,1,3,569.2318214542837
cormorant,1,4,426.92386609071275
ashkelon,2,9,379.48788096952245
folds,1,5,341.5390928725702
nettles,1,5,341.5390928725702
thereupon,1,5,341.5390928725702
reproached,2,15,227.69272858171348
rooted,1,8,213.46193304535637
cherethites,1,9,189.74394048476123
desolation,5,46,185.61907221335335
magnified,2,21,162.63766327265247
hiss,1,12,142.30795536357093
ethiopians,1,13,131.36118956637316
noon,1,13,131.36118956637316
chaff,1,14,121.97824745448936
meekness,1,14,121.97824745448936
dwellings,1,17,100.45267437428537
meek,1,17,100.45267437428537
nineveh,1,18,94.87197024238061
gaza,1,19,89.87870865067637
gomorrah,1,19,89.87870865067637
coast,3,62,82.63042569497667
ashdod,1,21,81.31883163632624
ekron,1,22,77.62252110740232
upper,1,25,68.30781857451404
uncover,1,26,65.68059478318658
isles,1,27,63.24798016158707
lodge,1,27,63.24798016158707
perpetual,1,28,60.98912372724468
rejoicing,1,28,60.98912372724468
windows,1,30,56.92318214542837
inhabitant,1,33,51.74834740493488
residue,1,34,50.22633718714268
passeth,1,38,44.939354325338186
shepherds,1,38,44.939354325338186
visit,1,38,44.939354325338186
whereby,1,39,43.78706318879106
flocks,2,80,42.69238660907128
fierce,1,41,41.651108886898804
ammon,2,91,37.53176844753519
remnant,2,92,37.12381444267067
sodom,1,48,35.57698884089273
decree,1,49,34.85092784413982
pride,1,49,34.85092784413982
desired,1,50,34.15390928725702
stretch,1,50,34.15390928725702
cedar,1,51,33.48422479142845
lie,3,155,33.05217027799066
terrible,1,52,32.84029739159329
drive,1,57,29.959569550225456
evening,1,60,28.461591072714185
dry,1,71,24.052048793842975
nation,2,145,23.554420198108293
forsaken,1,76,22.469677162669093
beasts,2,156,21.89353159439553
anger,3,234,21.893531594395526
feed,1,81,21.082660053862362
seek,3,244,20.996255709379312
gather,2,165,20.699338961973954
moab,2,168,20.32970790908156
reproach,1,88,19.40563027685058
canaan,1,91,18.765884223767596
wrought,1,100,17.07695464362851
possess,1,106,16.11033456946086
woe,1,106,16.11033456946086
worship,1,108,15.811995040396768
assyria,1,118,14.471995460702129
spoil,1,118,14.471995460702129
sing,1,119,14.350382053469337
captivity,1,127,13.446420979235047
hid,1,129,13.237949336146134
destroy,2,261,13.08578899894905
beside,1,132,12.93708685123372
north,1,132,12.93708685123372
become,1,135,12.649596032317415
houses,1,136,12.55658429678567
hosts,2,299,11.422712136206362
heathen,1,150,11.384636429085674
border,1,158,10.808199141537031
slain,1,183,9.331669204168584
yourselves,1,191,8.940813949543722
sea,2,400,8.538477321814256
inhabitants,1,202,8.453937942390352
themselves,2,409,8.350589067789002
dwelt,1,226,7.556174621074562
together,2,484,7.056592827945665
gods,1,244,6.998751903126438
live,1,247,6.913746819282798
philistines,1,255,6.69684495828569
turn,1,283,6.034259591388166
surely,1,284,6.013012198460744
judgment,1,294,5.808487974023302
wilderness,1,305,5.599001522501151
righteousness,1,306,5.580704131904742
nations,1,336,5.08242697727039
yea,1,340,5.022633718714268
place,2,715,4.776770529686297
none,1,358,4.770099062466064
both,1,361,4.730458350035598
midst,1,364,4.691471055941899
down,3,1125,4.553854571634269
against,4,1667,4.097649584553932
work,1,420,4.065941581816312
sword,1,424,4.027583642365215
day,4,1741,3.9234818250726042
shall,22,9837,3.819182699601781
before,4,1798,3.79910003195295
even,3,1394,3.6750978429616596
earth,2,987,3.460375814311755
voice,1,505,3.3815751769561406
o,2,1065,3.2069398391790633
people,4,2143,3.187485701097249
how,1,543,3.1449271903551583
every,2,1238,2.758797196062764
be,11,7012,2.6789289942942616
heard,1,641,2.6641114888656023
her,3,1994,2.569250949392454
like,1,669,2.552609064817416
word,1,699,2.4430550277007885
bring,1,727,2.348962124295531
hand,2,1470,2.3233951896093212
will,5,3837,2.2253003184295688
have,5,3905,2.1865498903493608
their,5,3932,2.1715354328113565
ye,5,3985,2.1426542840186333
judah,1,817,2.090202526759916
pass,1,830,2.0574644148950014
heart,1,833,2.0500545790670484
city,1,868,1.967391087975635
you,3,2613,1.9606147696473604
am,1,874,1.9538849706668777
as,4,3520,1.940563027685058
lord,9,7970,1.92838885561677
forth,1,888,1.9230804778860935
children,2,1822,1.874528500947147
away,1,916,1.8642963584747283
she,1,982,1.738997417884777
one,2,1969,1.7345814772603871
come,2,1972,1.7319426616256097
for,9,8985,1.7105463749878307
may,1,1027,1.662799867928774
make,1,1055,1.6186686865998587
my,4,4367,1.5641817855395934
there,2,2299,1.4855984900938244
the,54,64016,1.4405079210758867
because,1,1209,1.4124859093158404
they,6,7377,1.388934903914478
therefore,1,1237,1.380513714117099
saith,1,1262,1.353165978100516
of,27,34747,1.3269570765187493
by,2,2625,1.3011013061812198
a,6,8282,1.237161650105905
upon,2,2764,1.2356696558341904
out,2,2776,1.2303281443536391
no,1,1393,1.2259120347184862
this,2,2786,1.2259120347184862
all,4,5621,1.2152253793722476
in,9,12674,1.2126605001787643
at,1,1571,1.08701175325452
them,4,6429,1.062495233699083
men,1,1677,1.0183037950881642
land,1,1717,0.9945809343988649
is,4,6991,0.9770822282150485
also,1,1769,0.9653450900864053
house,1,2026,0.842890160100124
his,4,8478,0.8057067536507907
i,4,8853,0.7715782059698865
god,2,4470,0.7640695589990385
and,23,51708,0.7595922425997056
up,1,2380,0.7175191026734669
israel,1,2575,0.6631827046069324
it,2,6129,0.5572509265338068
that,4,12916,0.5288620205521373
he,3,10430,0.491187573642239
from,1,3646,0.46837505879398
thee,1,3826,0.44633964045030083
said,1,4002,0.4267105108352951
me,1,4096,0.41691783797921167
which,1,4414,0.386881618568838
unto,2,9002,0.3794035690652858
not,1,6597,0.25885940038848737
him,1,6667,0.2561415125787987
to,1,13630,0.1252894691388739
