word,numInChap,numInKjv,relativeFreq
TOTAL (Hag 2),679,790663
pressfat,1,1,1164.4521354933727
haggai,5,11,529.2964252242602
josedech,2,6,388.15071183112417
barn,1,4,291.11303387334317
comparison,1,4,291.11303387334317
covenanted,1,4,291.11303387334317
shealtiel,2,9,258.76714122074947
blasting,1,5,232.89042709867454
mildew,1,5,232.89042709867454
riders,1,5,232.89042709867454
zerubbabel,4,22,211.71857008970412
skirt,2,12,194.07535591556208
pottage,1,7,166.3503050704818
press,1,9,129.38357061037473
twentieth,4,36,129.38357061037473
overthrow,2,19,122.57390899930239
pomegranate,1,10,116.44521354933727
signet,1,11,105.85928504485206
labours,1,13,89.57324119179789
shake,3,39,89.57324119179789
ninth,2,34,68.49718444078663
ride,1,20,58.222606774668634
consider,3,67,52.13964785791221
touch,2,48,48.51883897889052
darius,1,25,46.578085419734904
kingdoms,2,57,40.85796966643412
governor,2,60,38.81507118311242
upward,2,61,38.17875854076631
hosts,9,299,35.050398727225264
residue,1,34,34.24859222039331
remaineth,1,37,31.471679337658717
hail,1,38,30.643477249825597
heap,1,38,30.643477249825597
olive,1,38,30.643477249825597
measures,1,39,29.85774706393263
fig,1,41,28.40127159739933
latter,1,42,27.725050845080297
unclean,4,194,24.009322381306653
fill,1,49,23.764329295783114
former,1,50,23.289042709867452
month,5,250,23.289042709867452
foundation,1,54,21.563928435062454
once,1,59,19.73647687276903
vine,1,62,18.78148605634472
heavens,2,133,17.510558428471768
since,1,70,16.635030507048178
dry,1,71,16.40073430272356
draw,1,76,15.321738624912799
greater,1,77,15.122755006407438
strong,3,255,13.699436888157324
garment,1,86,13.540141110388053
saith,14,1262,12.917852533206988
stone,2,192,12.12970974472263
tree,2,201,11.586588412869379
temple,2,204,11.416197406797771
joshua,2,216,10.781964217531227
ask,1,109,10.683047114618098
four,3,328,10.650476849024749
desire,1,111,10.490559779219572
horses,1,111,10.490559779219572
chariots,1,113,10.304886154808607
seventh,1,120,9.703767795778106
prophet,2,244,9.544689635191578
chosen,1,123,9.467090532466443
bless,1,127,9.16891445270372
priests,3,401,8.711611986234708
glory,3,402,8.689941309652033
yet,5,683,8.524539791313122
laid,2,279,8.347327136153208
nation,1,145,8.030704382712916
twenty,2,294,7.921443098594371
heathen,1,150,7.763014236622484
vessels,1,154,7.561377503203719
fifty,1,157,7.416892582760335
answered,3,492,7.100317899349832
nations,2,336,6.931262711270074
second,1,169,6.8902493224459915
word,4,699,6.663531533581532
body,1,175,6.654012202819272
throne,1,176,6.616205315303254
day,9,1741,6.01956876475609
oil,1,202,5.7646145321454085
high,2,416,5.598327574487368
work,2,420,5.54501016901606
while,1,214,5.441365119127909
bear,1,215,5.416056444155221
nothing,1,225,5.175342824414989
now,6,1356,5.152443077404303
smote,1,230,5.062835371710316
hands,2,461,5.051853082400749
wine,1,231,5.040918335469145
those,2,465,5.008396281691925
offer,1,236,4.934119218192257
saying,6,1445,4.83509537229082
concerning,1,242,4.811785683856911
little,1,242,4.811785683856911
strength,1,242,4.811785683856911
ten,1,249,4.676514600374991
speak,2,513,4.53977440738157
destroy,1,261,4.461502434840508
priest,2,543,4.288958141780378
seed,1,280,4.1587576267620445
or,4,1132,4.114671856867041
turned,1,287,4.05732451391419
meat,1,290,4.015352191356458
holy,2,611,3.8116272847573573
this,9,2786,3.7616903156641612
pray,1,313,3.7202943625986347
silver,1,320,3.6389129234167896
mine,2,650,3.5829296476719157
one,6,1969,3.54835592329113
yea,1,340,3.424859222039331
left,1,348,3.346126826130381
will,11,3837,3.338278209650013
came,6,2096,3.3333553496947688
o,3,1065,3.2801468605447117
bread,1,361,3.225629184192168
dead,1,364,3.199044328278496
thus,2,737,3.159978658055285
year,1,369,3.1556968441554814
you,7,2613,3.1194661111571405
fear,1,400,2.9111303387334315
sea,1,400,2.9111303387334315
brother,1,402,2.8966471032173446
judah,2,817,2.8505560232395903
gold,1,417,2.792451164252692
lord,19,7970,2.7759837609001354
flesh,1,420,2.77250508450803
so,4,1689,2.7577315227788572
sword,1,424,2.7463493761636144
peace,1,429,2.714340642175694
first,1,430,2.7080282220776106
among,2,916,2.5424719115575822
any,2,917,2.539699314053157
than,1,483,2.410873986528722
earth,2,987,2.359578795325983
servant,1,500,2.328904270986745
eyes,1,501,2.3242557594678095
spirit,1,505,2.3058458128581636
law,1,523,2.226485918725378
how,1,543,2.144479070890189
saw,1,548,2.124912656009804
i,15,8853,1.9729788808766058
see,1,597,1.9505060896036392
son,4,2393,1.946430648547217
from,6,3646,1.9162679135930434
egypt,1,611,1.9058136423786787
every,2,1238,1.881182771394786
is,11,6991,1.8322090531293234
by,4,2625,1.774403254085139
again,1,672,1.7328156778175186
house,3,2026,1.7242627870089426
do,2,1368,1.7024154027680884
people,3,2143,1.6301243147364057
place,1,715,1.6286043853054162
it,8,6129,1.5199244711938296
there,3,2299,1.5195112685863932
according,1,793,1.4684137900294736
ye,5,3985,1.4610440846842818
if,2,1595,1.4601280695841663
the,78,64016,1.418821334798848
of,42,34747,1.407516899033633
in,15,12674,1.3781585949503385
land,2,1717,1.3563798899165667
with,7,6015,1.3551396423031767
brought,1,863,1.3493072253689138
days,1,868,1.3415347183103372
am,1,874,1.3323250978185042
take,1,874,1.3323250978185042
give,1,880,1.3232410630606506
forth,1,888,1.3113199724024465
your,2,1776,1.3113199724024465
before,2,1798,1.295274900437567
were,3,2773,1.2597751195384483
out,3,2776,1.2584136910951433
when,3,2847,1.2270307012575055
who,1,970,1.2004661190653327
come,2,1972,1.1809859386342523
said,4,4002,1.163870200393176
be,7,7012,1.1624593480395904
make,1,1055,1.103746099993718
then,2,2168,1.0742178371710078
down,1,1125,1.0350685648829978
and,45,51708,1.0133895354142834
as,3,3520,0.992430797295488
these,1,1225,0.9505731718313246
thee,3,3826,0.913057084809231
no,1,1393,0.8359311812587026
even,1,1394,0.8353315175705687
all,4,5621,0.8286441099401334
to,9,13630,0.7688972281320876
shall,6,9837,0.7102483290596966
not,4,6597,0.7060494985559331
a,5,8282,0.7030017722128548
an,1,1699,0.6853750061762052
that,7,12916,0.6310905039062874
their,2,3932,0.5922950841777073
her,1,1994,0.583978001751942
but,2,3994,0.5831007188249236
me,2,4096,0.5685801442838734
my,2,4367,0.5332961463216729
for,4,8985,0.5183982795741224
was,2,4523,0.514902558254863
hath,1,2263,0.5145612618176635
upon,1,2764,0.4212923789773418
his,3,8478,0.41204958793112967
have,1,3905,0.2981951691404283
which,1,4414,0.26380882090923713
