word,numInChap,numInKjv,relativeFreq
TOTAL (Hag 1),451,790663,0
earneth,2,2,1753.1330376940134
josedech,3,6,876.5665188470066
haggai,4,11,637.502922797823
shealtiel,3,9,584.3776792313378
cieled,1,4,438.28325942350335
message,1,7,250.4475768134305
zerubbabel,3,22,239.06359604918362
warm,1,8,219.14162971175168
wages,2,18,194.79255974377924
drought,1,10,175.31330376940133
bag,1,11,159.37573069945574
holes,1,11,159.37573069945574
darius,2,25,140.25064301552106
stayed,2,31,113.10535727058151
clothe,1,16,109.57081485587584
stirred,1,23,76.22317555191361
sixth,2,47,74.60140585931973
governor,2,60,58.43776792313378
enough,1,32,54.78540742793792
sown,1,32,54.78540742793792
waste,2,64,54.78540742793792
consider,2,67,52.332329483403385
messenger,1,34,51.5627364027651
twentieth,1,36,48.69813993594481
dew,1,37,47.381973991730085
blow,1,39,44.95212917164137
obeyed,1,41,42.75934238278081
remnant,2,92,38.11158777595681
glorified,1,50,35.062660753880266
home,1,51,34.3751576018434
hosts,5,299,29.31660598150524
pleasure,1,61,28.73988586383628
run,1,71,24.692014615408638
joshua,3,216,24.349069967972405
speaketh,1,74,23.690986995865043
bringeth,1,79,22.191557439164725
prophet,3,244,21.554914397877212
month,3,250,21.03759645232816
second,2,169,20.747136540757555
labour,1,89,19.69812401903386
corn,1,102,17.1875788009217
ways,2,205,17.103736953112325
little,2,242,14.488702790859612
houses,1,136,12.890684100691274
mountain,1,137,12.796591516014695
high,3,416,12.642786329524133
wood,1,140,12.522378840671523
looked,1,143,12.259671592265828
much,2,287,12.216954966508803
new,1,150,11.687553584626755
cattle,1,153,11.458385867281132
lie,1,155,11.31053572705815
filled,1,159,11.025993947761089
lo,1,159,11.025993947761089
build,1,162,10.821808874654405
spirit,3,505,10.414651709073345
built,1,170,10.312547280553018
mountains,1,177,9.904706427649794
priest,3,543,9.685817887812227
drink,2,369,9.502076085062402
year,2,369,9.502076085062402
ground,1,192,9.130901237989653
oil,1,202,8.678876424227788
time,3,619,8.496605998517026
fruit,1,208,8.428524219682755
wine,1,231,7.5893205094978935
thus,3,737,7.136226747736824
saith,5,1262,6.94585197184633
upon,10,2764,6.3427389207453455
why,1,282,6.216783821609976
four,1,328,5.344917797847601
did,3,1006,5.228030927516938
house,6,2026,5.191904356448213
dwell,1,338,5.186784135189389
word,2,699,5.016117418294745
none,1,358,4.897019658363166
saying,4,1445,4.852963426142598
bring,2,727,4.822924450327409
ye,10,3985,4.3993300820426935
son,6,2393,4.39565324954621
fear,1,400,4.382832594235033
judah,2,817,4.291635343192199
work,1,420,4.174126280223841
people,5,2143,4.090371063215151
first,1,430,4.077053576032589
hands,1,461,3.8028916218959075
lord,16,7970,3.5194640656341547
voice,1,505,3.4715505696911153
came,4,2096,3.3456737360572775
words,1,548,3.199147879003674
heaven,1,583,3.0070892584802973
spake,1,588,2.981518771588458
your,3,1776,2.9613733744831303
own,1,596,2.9414983853926397
therefore,2,1237,2.8344915726661495
called,1,624,2.8095080732275854
mine,1,650,2.697127750298482
you,4,2613,2.6837092042770965
eat,1,655,2.676538988845822
sent,1,686,2.555587518504393
then,3,2168,2.425922100130092
should,1,783,2.2389949395836695
brought,1,863,2.0314403681274777
day,2,1741,2.013938009987379
am,1,874,2.005873040839832
take,1,874,2.005873040839832
forth,1,888,1.9742489163220869
put,1,911,1.9244050907727916
the,65,64016,1.7800807212276755
earth,1,987,1.7762239490314218
over,1,1008,1.7392192834266005
it,6,6129,1.7162340065531212
say,1,1056,1.6601638614526641
o,1,1065,1.6461343076939092
is,6,6991,1.5046199722735059
up,2,2380,1.473221040079003
of,29,34747,1.4631725931195898
because,1,1209,1.4500686829561733
every,1,1238,1.4161009997528378
in,10,12674,1.3832515683241386
king,2,2540,1.3804197147196957
their,3,3932,1.3375887876607424
by,2,2625,1.335720409671629
but,3,3994,1.3168250157942012
now,1,1356,1.2928709717507472
this,2,2786,1.258530536750907
god,3,4470,1.1765993541570559
go,1,1492,1.1750221432265504
with,4,6015,1.1658407565712474
men,1,1677,1.045398352828869
land,1,1717,1.0210442852032693
and,30,51708,1.0171345078289702
i,5,8853,0.990135003780647
before,1,1798,0.9750461833670819
from,2,3646,0.9616747326900786
all,3,5621,0.9356696518559046
will,2,3837,0.9138040331999027
have,2,3905,0.8978914405603141
come,1,1972,0.8890126965993983
her,1,1994,0.8792041312407288
into,1,2015,0.8700412097737039
had,1,2029,0.8640379683065615
not,3,6597,0.7972410357862726
there,1,2299,0.762563304782085
to,5,13630,0.6431155677527562
man,1,2737,0.6405308869908708
when,1,2847,0.6157825913923475
are,1,2949,0.5944839056269967
for,3,8985,0.5853532680113567
unto,3,9002,0.5842478463765874
that,4,12916,0.5429337372852318
be,2,7012,0.5000379457199126
as,1,3520,0.4980491584357992
a,2,8282,0.42335982557208723
which,1,4414,0.39717558624694455
him,1,6667,0.2629568078137113
they,1,7377,0.2376485072107921
his,1,8478,0.20678615684052998
he,1,10430,0.16808562202243654
