word,numInChap,numInKjv,relativeFreq
TOTAL (Zec 13),337,790663
refine,1,1,2346.1810089020773
refined,1,5,469.23620178041546
husbandman,1,7,335.1687155574396
prophesieth,1,7,335.1687155574396
rough,1,7,335.1687155574396
wear,1,12,195.5150840751731
wounds,1,15,156.41206726013849
speakest,1,17,138.01064758247514
try,1,17,138.01064758247514
tried,1,20,117.30905044510386
shepherd,2,45,104.27471150675899
deceive,1,27,86.89559292229916
fellow,1,28,83.7921788893599
fountain,1,33,71.09639420915386
wounded,1,35,67.03374311148792
uncleanness,1,40,58.65452522255193
awake,1,42,55.861452592906595
friends,1,49,47.881245079634226
prophesied,1,50,46.923620178041546
thrust,1,50,46.923620178041546
lies,1,51,46.003549194158374
remembered,1,57,41.16107033161539
parts,1,64,36.65907826409496
youth,1,70,33.51687155574396
scattered,1,71,33.04480294228278
ones,1,77,30.469883232494514
vision,1,79,29.698493783570594
taught,1,81,28.965197640766387
garment,1,86,27.281174522117176
prophesy,1,90,26.068677876689748
third,2,182,25.782208889033818
names,1,97,24.187433081464714
idols,1,101,23.229514939624526
begat,2,225,20.854942301351798
therein,2,230,20.401573990452846
prophets,2,239,19.63331388202575
ashamed,1,122,19.230991876246534
smite,1,125,18.76944807121662
answer,1,131,17.909778693908986
opened,1,137,17.125408824102752
hosts,2,299,15.693518454194496
cattle,1,153,15.334516398052791
cut,2,320,14.663631305637983
mother,2,320,14.663631305637983
pass,5,830,14.133620535554682
sheep,1,188,12.479686217564241
unclean,1,194,12.093716540732357
call,1,196,11.970311269908557
inhabitants,1,202,11.614757469812263
say,5,1056,11.10881159518029
part,1,214,10.963462658420921
through,2,463,10.134691183162321
little,1,242,9.694962846702797
prophet,1,244,9.615495938123267
live,1,247,9.49870853806509
off,2,507,9.255151908883935
turn,1,283,8.290392257604513
silver,1,320,7.3318156528189915
die,1,321,7.308975105613948
cause,1,328,7.152990880799016
left,1,348,6.741899450868038
keep,1,362,6.481163008016789
gold,1,417,5.626333354681241
saith,3,1262,5.577292414188774
sword,1,424,5.533445775712447
am,2,874,5.368835260645485
sin,1,448,5.237011180584994
hands,1,461,5.089329737314701
those,1,465,5.04555055677866
name,2,958,4.89808143820893
will,8,3837,4.891698741521141
come,4,1972,4.758987847671556
spirit,1,505,4.645902987924905
shall,19,9837,4.5316091459936425
fire,1,549,4.273553750277007
hear,1,550,4.265783652549231
father,2,1126,4.1672842076413446
land,3,1717,4.099326165816093
day,3,1741,4.042816212927186
my,7,4367,3.760766444312924
mine,1,650,3.6095092444647343
yet,1,683,3.4351112868258817
more,1,686,3.4200889342595877
no,2,1393,3.368529804597383
bring,1,727,3.2272090906493496
jerusalem,1,814,2.8822862517224532
against,2,1667,2.8148542398345255
two,1,835,2.80979761545159
neither,1,879,2.669147905463114
any,1,917,2.5585398134155692
thine,1,937,2.5039285046980546
when,3,2847,2.4722666057977634
i,9,8853,2.3851382672674455
one,2,1969,2.383119358966051
what,1,985,2.3819096537076927
house,2,2026,2.3160720719665124
o,1,1065,2.202986862818852
then,2,2168,2.1643736244484106
david,1,1139,2.0598604116787333
be,6,7012,2.00757074349864
these,1,1225,1.9152498031853693
it,5,6129,1.9139998441035058
every,1,1238,1.8951381332003854
that,10,12916,1.8164919548637948
him,5,6667,1.7595477792875935
man,2,2737,1.7144179823909955
out,2,2776,1.690332138978442
is,5,6991,1.678001007654182
hand,1,1470,1.5960415026544743
to,9,13630,1.5492024270079747
lord,5,7970,1.4718826906537499
shalt,1,1617,1.4509468205949767
his,5,8478,1.3836877853869292
an,1,1699,1.3809187809900396
as,2,3520,1.3330573914216348
also,1,1769,1.3262753018101059
in,7,12674,1.2958235018395565
they,4,7377,1.2721599614488692
but,2,3994,1.1748527836264784
on,1,2016,1.1637802623522209
people,1,2143,1.0948114833887435
them,3,6429,1.0948114833887435
for,4,8985,1.0444879282813921
hath,1,2263,1.0367569637216425
there,1,2299,1.0205224049160841
and,22,51708,0.9982204338950589
he,4,10430,0.8997817867313814
the,24,64016,0.879597978843568
thou,2,5474,0.8572089911954978
upon,1,2764,0.8488353867228934
are,1,2949,0.7955852861655061
of,10,34747,0.675218294788637
from,1,3646,0.6434945169780794
me,1,4096,0.5727980978764837
a,2,8282,0.5665735351127933
which,1,4414,0.5315317192800356
god,1,4470,0.5248727089266392
unto,2,9002,0.521257722484354
was,1,4523,0.5187223101707003
all,1,5621,0.41739566071910283
with,1,6015,0.3900550305739114
not,1,6597,0.3556436272399693
