word,numInChap,numInKjv,relativeFreq
TOTAL (Zec 2),317,790663,13 verses
ho,2,4,1247.102523659306
apple,1,8,311.7756309148265
silent,1,9,277.13389414651243
measuring,1,11,226.74591339260107
dwellest,1,19,131.27394985887432
toucheth,2,40,124.7102523659306
winds,1,23,108.44369770950486
line,1,31,80.45822733285844
inhabited,1,32,77.94390772870662
shake,1,39,63.95397557227211
talked,1,42,59.38583445996695
joined,1,43,58.0047685422933
towns,1,45,55.426778829302485
goest,1,46,54.22184885475243
spoiled,1,55,45.349182678520215
habitation,1,58,43.00353529859676
choose,1,59,42.27466181895953
inherit,1,62,40.22911366642922
walls,1,66,37.790985565433516
measure,1,69,36.14789923650162
run,1,71,35.12964855378327
zion,2,153,32.60398754664852
length,1,77,32.392273341800156
abroad,1,80,31.17756309148265
raised,1,85,29.343588791983667
breadth,1,89,28.024775812568674
hosts,3,299,25.025468702193432
portion,1,100,24.942050473186118
angel,2,203,24.57344874205529
flee,1,105,23.75433378398678
spread,1,109,22.88261511301479
eye,1,117,21.317991857424033
spoil,1,118,21.137330909479765
sing,1,119,20.959706279988335
midst,3,364,20.556635005373177
whither,1,124,20.11455683321461
meet,1,132,18.895492782716758
north,1,132,18.895492782716758
looked,1,143,17.44199333789239
cattle,1,153,16.30199377332426
lifted,1,158,15.786107894421594
lo,1,159,15.6868241969724
daughter,2,327,15.255076742009859
nations,2,336,14.846458614991738
dwell,2,338,14.758609747447409
wall,1,179,13.934106409601183
rejoice,1,192,12.99065128811777
glory,2,402,12.408980334918466
thyself,1,215,11.60095370845866
sent,3,686,10.907602247749033
therein,1,230,10.844369770950486
multitude,1,243,10.264218301722682
saith,5,1262,9.881953436286102
jerusalem,3,814,9.192401894294639
babylon,1,294,8.483690637138135
deliver,1,296,8.42636840310342
young,1,300,8.314016824395374
holy,2,611,8.164337307098567
round,1,320,7.7943907728706625
mine,2,650,7.674477068672653
four,1,328,7.604283680849426
again,2,672,7.423229307495869
o,3,1065,7.025929710756654
know,2,763,6.537890032289939
flesh,1,420,5.938583445996695
without,1,426,5.854941425630544
behold,3,1326,5.642997844612244
forth,2,888,5.617578935402279
another,1,453,5.505971406884353
thereof,2,908,5.493843716560819
servants,1,480,5.196260515247109
what,2,985,5.064375730596166
eyes,1,501,4.978453188260702
speak,1,513,4.86199814292127
fire,1,549,4.543178592565778
many,1,556,4.485980300932756
heaven,1,583,4.278224780992473
see,1,597,4.177897901706218
about,1,632,3.9465269736053985
LORD,10,6570,3.796354714335787
went,2,1400,3.5631500675980172
hand,2,1470,3.3934762548552544
thus,1,737,3.3842673640686725
hath,3,2263,3.3065024931311693
will,5,3837,3.250202042375048
judah,1,817,3.052882554857542
me,5,4096,3.0446838956526023
land,2,1717,2.905305820988482
you,3,2613,2.8636108465196464
come,2,1972,2.529619723446868
her,2,1994,2.501710177852168
be,7,7012,2.4899365846021513
i,8,8853,2.2538846016659773
for,8,8985,2.2207724405730547
after,1,1180,2.113733090947976
up,2,2380,2.0959706279988337
thee,3,3826,1.9557279513737156
said,3,4002,1.869718926025946
man,2,2737,1.8225831547815945
out,2,2776,1.796977699797271
shall,7,9837,1.774873978980409
saying,1,1445,1.7260934583519805
shalt,1,1617,1.5424892067523883
men,1,1677,1.4873017574947
day,1,1741,1.4326278272938608
as,2,3520,1.4171619587037567
before,1,1798,1.3872108160837664
unto,5,9002,1.3853616125964296
with,3,6015,1.2439925423035472
a,4,8282,1.2046389989464439
in,6,12674,1.180781938134107
his,4,8478,1.1767893594331738
people,1,2143,1.1638847630978124
that,6,12916,1.1586582753105972
then,1,2168,1.1504635827115368
to,6,13630,1.097962603368428
is,3,6991,1.0703211474690082
the,27,64016,1.05197975939769
of,14,34747,1.0049463453668106
and,20,51708,0.9647269464371516
he,4,10430,0.9565503537175885
thou,2,5474,0.9112915773907972
upon,1,2764,0.902389669796893
this,1,2786,0.8952638360799038
him,2,6667,0.7482241029904341
from,1,3646,0.6840935401312704
have,1,3905,0.6387208827960594
their,1,3932,0.634334956083065
ye,1,3985,0.6258983807574936
my,1,4367,0.5711483964549146
which,1,4414,0.5650668435248328
all,1,5621,0.4437297718054815
them,1,6429,0.3879615876992708
they,1,7377,0.33810560489611113
