word,numInChap,numInKjv,relativeFreq
TOTAL (Mal 3),565,790663
delightsome,1,1,1399.403539823009
devourer,1,1,1399.403539823009
fullers,1,1,1399.403539823009
mournfully,1,1,1399.403539823009
purifier,1,1,1399.403539823009
refiner,2,2,1399.403539823009
swearers,1,1,1399.403539823009
herewith,1,2,699.7017699115045
soap,1,2,699.7017699115045
storehouse,1,2,699.7017699115045
serveth,3,9,466.46784660766957
spareth,1,4,349.85088495575224
stout,1,4,349.85088495575224
robbed,3,13,322.93927842069434
sorcerers,1,6,233.23392330383479
rob,1,8,174.92544247787612
adulterers,1,9,155.48928220255652
hireling,1,9,155.48928220255652
appeareth,1,10,139.94035398230088
tithes,2,24,116.61696165191739
purify,1,14,99.95739570164349
tempt,1,14,99.95739570164349
often,1,15,93.29356932153392
purge,1,15,93.29356932153392
discern,1,17,82.31785528370641
messenger,2,34,82.31785528370641
wages,1,18,77.74464110127826
swift,1,20,69.97017699115044
oppress,1,23,60.843632166217766
jewels,1,25,55.97614159292036
prove,1,25,55.97614159292036
change,1,26,53.82321307011572
ordinances,1,27,51.82976073418551
happy,1,28,49.978697850821746
ordinance,1,30,46.64678466076696
windows,1,30,46.64678466076696
sakes,1,31,45.14204967170996
enough,1,32,43.73136061946903
room,1,32,43.73136061946903
feared,2,74,37.82171729251375
hosts,8,299,37.44223517921094
spare,1,40,34.98508849557522
suddenly,1,41,34.13179365421973
fruits,1,42,33.31913190054783
fatherless,1,43,32.54426836797695
profit,1,45,31.097856440511308
rebuke,1,46,30.421816083108883
proud,1,48,29.154240412979348
former,1,50,27.98807079646018
delight,1,51,27.4392850945688
remembrance,1,53,26.403840374019033
widow,1,55,25.443700724054704
pleasant,1,57,24.550939295140505
vine,1,62,22.57102483585498
pour,1,63,22.21275460036522
false,1,64,21.865680309734515
return,4,263,21.28370402772637
blessing,1,67,20.88661999735834
aside,1,72,19.436160275319565
cursed,1,72,19.436160275319565
levi,1,72,19.436160275319565
hearkened,1,81,17.27658691139517
prepare,1,81,17.27658691139517
thought,1,81,17.27658691139517
abide,1,82,17.065896827109864
wherein,2,167,16.759323830215674
kept,2,175,15.993183312262959
consumed,1,96,14.577120206489674
call,2,196,14.279627957377642
coming,1,100,13.99403539823009
curse,1,101,13.855480592307018
vain,1,112,12.494674462705436
sit,1,113,12.38410212232751
between,2,232,12.06382361916387
walked,1,122,11.470520818221383
open,1,124,11.28551241792749
wickedness,1,127,11.018925510417391
stranger,1,131,10.682469769641289
witness,1,135,10.365952146837103
nation,1,145,9.651058895331095
saith,8,1262,8.871020854662497
silver,2,320,8.746272123893805
yea,2,340,8.23178552837064
receive,1,176,7.951156476267095
book,1,188,7.443635850122388
ground,1,192,7.288560103244837
temple,1,204,6.8598212736422
fruit,1,208,6.727901633764465
serve,1,209,6.695710716856501
near,1,211,6.632244264564023
gone,1,214,6.539268877677611
mine,3,650,6.458785568413887
send,1,234,5.980357007790636
offer,1,236,5.92967601619919
righteous,1,238,5.879846805979029
seek,1,244,5.735260409110691
whole,1,250,5.597614159292036
destroy,1,261,5.361699386295053
