word,numInChap,numInKjv,relativeFreq
TOTAL (Mal 4),183,790663,6 verses
stall,1,3,1440.1876138433515
soles,1,7,617.2232630757221
dreadful,1,9,480.0625379477838
oven,1,12,360.0469034608379
healing,1,14,308.61163153786106
horeb,1,17,254.15075538412086
calves,1,18,240.0312689738919
stubble,1,18,240.0312689738919
wickedly,1,23,187.85055832739366
tread,1,33,130.92614671303195
branch,1,37,116.77196869000147
grow,1,38,113.69902214552776
ashes,1,43,100.47820561697802
root,1,44,98.19461003477397
proud,1,48,90.01172586520947
burn,2,138,62.61685277579789
elijah,1,69,62.61685277579789
wings,1,76,56.84951107276388
coming,1,100,43.205628415300545
curse,1,101,42.777849916139154
leave,1,115,37.570111665478734
smite,1,125,34.564502732240435
judgments,1,127,34.02017985456736
statutes,1,132,32.73153667825799
cometh,2,282,30.642289656241523
remember,1,148,29.192992172500368
arise,1,149,28.99706605053728
hosts,2,299,28.900085896522107
sun,1,160,27.003517759562843
send,1,234,18.463943767222457
lest,1,240,18.002345173041896
prophet,1,244,17.707224760369076
feet,1,256,16.877198599726775
fathers,2,549,15.73975534255029
turn,1,283,15.267006507173337
righteousness,1,306,14.119486410228937
yea,1,340,12.707537769206041
wicked,1,344,12.559775702122252
under,1,392,11.021843983495037
fear,1,400,10.801407103825136
heart,2,833,10.373500219760036
day,4,1741,9.926623415347626
commanded,1,443,9.752963524898544
servant,1,500,8.641125683060109
law,1,523,8.261114419751538
saith,2,1262,6.847167736180753
behold,2,1326,6.516686035490278
do,2,1368,6.3166123414182085
nor,1,756,5.715030213664093
moses,1,848,5.095003350860914
neither,1,879,4.915316088202565
forth,1,888,4.865498695416728
children,2,1822,4.7426595406477
name,1,958,4.509982089279807
great,1,962,4.491229565000057
shall,10,9837,4.392154967500309
earth,1,987,4.377469950891646
down,1,1125,3.8405003035822705
up,2,2380,3.630725076916012
you,2,2613,3.306975003084619
ye,3,3985,3.2526194541004174
go,1,1492,2.8958195988807334
an,1,1699,2.54300343821663
as,2,3520,2.454865250869349
your,1,1776,2.432749347708364
before,1,1798,2.4029826704839015
all,3,5621,2.3059399616776663
come,1,1972,2.1909547877941455
with,3,6015,2.1548941853017727
that,6,12916,2.0070747173413075
my,2,4367,1.9787326959148408
LORD,3,6570,1.9728597449908927
i,4,8853,1.9521350238473083
israel,1,2575,1.677888482147594
this,1,2786,1.5508122187832214
the,22,64016,1.4848222712081542
for,3,8985,1.4425919337329065
them,2,6429,1.344085500553758
of,10,34747,1.2434347832992934
be,2,7012,1.2323339536594566
will,1,3837,1.126026281347421
their,1,3932,1.0988206616302274
but,1,3994,1.081763355415637
in,3,12674,1.0226991103511254
which,1,4414,0.9788316360512131
unto,2,9002,0.959911762170641
and,11,51708,0.9191264650891661
it,1,6129,0.7049376475004169
him,1,6667,0.6480520236283267
to,2,13630,0.6339784066808591
they,1,7377,0.5856802008309685
a,1,8282,0.5216810965382823
his,1,8478,0.5096205286069891
he,1,10430,0.4142438007219611
