word,numInChap,numInKjv,relativeFreq
TOTAL (Mat 12),1168,790663
jonas,4,12,225.64583333333331
whale,1,3,225.64583333333331
beelzebub,2,7,193.41071428571428
adulterous,1,4,169.234375
swept,1,4,169.234375
vipers,1,4,169.234375
hungred,2,9,150.43055555555554
garnished,1,5,135.3875
smoking,1,5,135.3875
desiring,2,12,112.82291666666666
withdrew,1,6,112.82291666666666
blasphemy,2,14,96.70535714285714
meaneth,1,8,84.6171875
bruised,1,9,75.21527777777777
nights,2,18,75.21527777777777
lawful,4,39,69.42948717948718
guiltless,1,10,67.69375
scattereth,1,10,67.69375
condemned,2,21,64.47023809523809
forgiven,4,42,64.47023809523809
flax,1,11,61.53977272727272
idle,1,11,61.53977272727272
condemn,2,24,56.41145833333333
quench,1,12,56.41145833333333
victory,1,12,56.41145833333333
findeth,2,27,50.14351851851851
devils,4,55,49.23181818181818
seeking,1,14,48.35267857142857
state,1,14,48.35267857142857
dumb,2,29,46.685344827586206
blameless,1,15,45.12916666666666
accuse,1,16,42.30859375
corrupt,2,33,41.02651515151515
account,1,17,39.81985294117647
gathereth,1,17,39.81985294117647
sabbath,8,137,39.529197080291965
nineveh,1,18,37.607638888888886
shewbread,1,18,37.607638888888886
treasure,2,37,36.59121621621621
sign,4,76,35.62828947368421
insomuch,1,20,33.846875
amazed,1,21,32.235119047619044
esaias,1,21,32.235119047619044
generation,5,107,31.632593457943923
pharisees,4,87,31.123563218390803
strive,1,22,30.76988636363636
council,1,23,29.4320652173913
divided,3,69,29.4320652173913
else,2,48,28.205729166666664
multitudes,1,24,28.205729166666664
speaketh,3,74,27.44341216216216
itself,2,50,27.0775
withered,1,25,27.0775
greater,3,77,26.37418831168831
worse,1,26,26.03605769230769
preaching,1,27,25.071759259259256
restored,1,27,25.071759259259256
fellow,1,28,24.176339285714285
satan,2,56,24.176339285714285
uttermost,1,28,24.176339285714285
pluck,1,30,22.56458333333333
repented,1,32,21.154296875
profane,1,33,20.513257575757574
reed,1,33,20.513257575757574
read,2,70,19.341071428571425
stretched,2,71,19.068661971830988
empty,1,38,17.814144736842106
possessed,1,39,17.357371794871796
bringeth,2,79,17.1376582278481
healed,2,79,17.1376582278481
