word,numInChap,numInKjv,relativeFreq
TOTAL (Mat 3),387,790663,17 verses
leathern,1,1,2043.0568475452196
garner,1,2,1021.5284237726098
lighting,1,2,1021.5284237726098
unquenchable,1,2,1021.5284237726098
confessing,1,3,681.0189491817399
vipers,1,4,510.7642118863049
baptize,2,9,454.0126327878266
forbad,1,5,408.611369509044
judaea,2,12,340.50947459086996
descending,1,8,255.38210594315245
fan,1,8,255.38210594315245
warned,1,10,204.305684754522
axe,1,11,185.73244068592905
camel,1,12,170.25473729543498
throughly,1,12,170.25473729543498
repentance,2,26,157.15821904193996
mightier,1,13,157.15821904193996
chaff,1,14,145.9326319675157
sadducees,1,14,145.9326319675157
baptist,1,15,136.203789836348
becometh,1,15,136.203789836348
purge,1,15,136.203789836348
region,1,15,136.203789836348
baptized,4,61,133.97094082263735
hewn,1,17,120.17981456148351
locusts,1,17,120.17981456148351
dove,1,19,107.52930776553788
floor,1,19,107.52930776553788
esaias,1,21,97.28842131167713
shoes,1,21,97.28842131167713
baptism,1,22,92.86622034296452
fulfil,1,24,85.12736864771749
preaching,1,27,75.66877213130444
straight,1,28,72.96631598375785
comest,1,29,70.45023612224895
answering,1,31,65.9050595982329
crying,1,31,65.9050595982329
john,4,133,61.4453187231645
girdle,1,38,53.76465388276894
fruits,1,42,48.64421065583856
paths,1,42,48.64421065583856
straightway,1,42,48.64421065583856
root,1,44,46.43311017148226
wild,1,44,46.43311017148226
repent,1,46,44.414279294461295
need,1,49,41.69503770500448
suffered,1,50,40.861136950904395
wheat,1,51,40.05993818716117
honey,1,56,36.483157991878926
raiment,1,57,35.84310258851263
raise,1,59,34.62808216178339
pleased,1,62,32.95252979911645
loins,1,63,32.42947377055904
hair,1,64,31.922763242894057
think,1,65,31.431643808387992
jordan,3,197,31.11254082556172
worthy,1,68,30.044953640370878
indeed,1,70,29.186526393503136
galilee,1,72,28.375789549239162
bringeth,1,79,25.86147908285088
lo,2,159,25.698828271009052
prepare,1,81,25.222924043768145
pharisees,1,87,23.483412040749652
suffer,1,96,21.281842161929372
flee,1,105,19.457684262335427
generation,1,107,19.093989229394577
ghost,1,109,18.743640803167153
beloved,1,113,18.08014909332053
abraham,2,250,16.344454780361758
meet,1,132,15.477703390494089
heavens,1,133,15.361329680791124
opened,1,137,14.912823704709632
burn,1,138,14.804759764820432
cometh,2,282,14.489764876207232
wilderness,2,305,13.397094082263735
whose,2,314,13.01310093977847
trees,1,157,13.01310093977847
able,1,160,12.769105297157624
gather,1,165,12.38216271239527
sins,1,172,11.878237485728022
stones,1,178,11.477847458119212
fire,3,549,11.164245068553113
within,1,186,10.984176599705481
yourselves,1,191,10.696632709660836
water,2,396,10.31846892699606
wrath,1,198,10.31846892699606
tree,1,201,10.16446192808567
fruit,1,208,9.822388690121247
bear,1,215,9.502589988582418
prophet,1,244,8.373183801414834
voice,2,505,8.09131424770384
well,1,262,7.797926899027556
saw,2,548,7.456411852354816
laid,1,279,7.322784399803655
spoken,1,287,7.1186649740251555
meat,1,290,7.045023612224896
heaven,2,583,7.008771346638833
righteousness,1,306,6.6766563645268615
about,2,632,6.46536977071272
round,1,320,6.384552648578812
jesus,3,983,6.235168405529663
same,1,332,6.153785685377168
kingdom,1,342,5.973850431418771
saying,4,1445,5.655520685246283
am,2,874,4.675187294153821
forth,2,888,4.601479386363107
those,1,465,4.393670639882193
than,1,483,4.229931361377266
cast,1,501,4.077957779531377
spirit,1,505,4.04565712385192
say,2,1056,3.869425847623522
many,1,556,3.674562675441043
holy,1,611,3.3437918945093617
therefore,2,1237,3.3032447009623604
you,4,2613,3.1275267471032833
way,1,664,3.076892842688584
like,1,669,3.0538966331019726
now,2,1356,3.013358182220088
went,2,1400,2.918652639350314
good,1,720,2.837578954923916
then,3,2168,2.8271081838725363
bring,1,727,2.810257011754085
hand,2,1470,2.779669180333632
thus,1,737,2.772125980387001
whom,1,763,2.6776629718810216
up,3,2380,2.5752817406032182
jerusalem,1,814,2.5098978471071494
him,8,6667,2.451545639772275
days,1,868,2.353752128508318
is,8,6991,2.337928018933165
who,1,970,2.1062441727270307
to,14,13630,2.0985176717265643
come,2,1972,2.07206576830144
but,4,3994,2.04612603660012
into,2,2015,2.0278479876379354
he,10,10430,1.9588272747317539
make,1,1055,1.9365467749243788
his,8,8478,1.9278668058931065
o,1,1065,1.9183632371316617
down,1,1125,1.8160505311513062
unto,8,9002,1.8156470540281893
father,1,1126,1.814437697642291
our,1,1165,1.753696864845682
after,1,1180,1.7314041080891691
from,3,3646,1.68106707148537
these,1,1225,1.6678015082001794
every,1,1238,1.6502882451899996
were,2,2773,1.4735354111397183
out,2,2776,1.4719429737357492
this,2,2786,1.4666596177639768
lord,1,1400,1.459326319675157
when,2,2847,1.4352348770953423
us,1,1449,1.4099771204590887
i,6,8853,1.3846539122637884
with,4,6015,1.3586412951256657
was,3,4523,1.3551117715312093
at,1,1571,1.3004817616455886
so,1,1689,1.2096251317615274
also,1,1769,1.1549219036434255
for,5,8985,1.1369264594019028
children,1,1822,1.1213264805407352
we,1,1844,1.107948398885694
all,3,5621,1.090405718312695
will,2,3837,1.0649240800339952
have,2,3905,1.0463799475263609
one,1,1969,1.0376114004800507
ye,2,3985,1.0253735746776511
said,2,4002,1.021017914815202
had,1,2029,1.0069279682332282
me,2,4096,0.9975863513404393
came,1,2096,0.9747408623784445
in,6,12674,0.9672038097894364
not,3,6597,0.9290845145726329
god,2,4470,0.9141193948748186
hath,1,2263,0.9028090355922314
of,15,34747,0.8819711835029872
be,3,7012,0.874097339223568
and,22,51708,0.8692513855882037
son,1,2393,0.8537638309842122
by,1,2625,0.778307370493417
a,3,8282,0.7400592299729122
upon,1,2764,0.7391667321075325
the,22,64016,0.7021252600286622
it,2,6129,0.6666852170158981
thee,1,3826,0.533992903174391
their,1,3932,0.519597367127472
that,3,12916,0.47454092154193706
my,1,4367,0.46783990097211353
which,1,4414,0.462858370535845
thou,1,5474,0.37322923776858236
them,1,6429,0.31778765710767143
shall,1,9837,0.20769104885078984
