word,numInChap,numInKjv,relativeFreq
TOTAL (Mrk 14),1595,790663
aforehand,1,1,495.71347962382447
conveniently,1,1,495.71347962382447
galilaean,1,1,495.71347962382447
warming,1,1,495.71347962382447
agreeth,1,2,247.85673981191223
buffet,1,2,247.85673981191223
dippeth,1,2,247.85673981191223
gethsemane,1,2,247.85673981191223
guestchamber,1,2,247.85673981191223
hymn,1,2,247.85673981191223
crew,2,5,198.2853918495298
abba,1,3,165.2378265412748
alabaster,1,3,165.2378265412748
betrayeth,1,3,165.2378265412748
cock,4,12,165.2378265412748
whensoever,1,3,165.2378265412748
crow,2,7,141.63242274966413
box,2,8,123.92836990595612
burying,1,4,123.92836990595612
dish,1,4,123.92836990595612
sleepest,1,4,123.92836990595612
couldest,1,5,99.1426959247649
pence,1,5,99.1426959247649
spikenard,1,5,99.1426959247649
sung,1,5,99.1426959247649
vehemently,1,5,99.1426959247649
answerest,1,6,82.6189132706374
betray,3,18,82.6189132706374
craft,1,6,82.6189132706374
furnished,1,6,82.6189132706374
goodman,1,6,82.6189132706374
sleeping,1,6,82.6189132706374
warmed,1,6,82.6189132706374
wheresoever,2,12,82.6189132706374
betrayed,3,19,78.27054941428807
agree,1,7,70.81621137483206
palms,1,7,70.81621137483206
possible,2,15,66.09513061650993
thrice,2,15,66.09513061650993
agreed,1,8,61.96418495297806
uproar,1,8,61.96418495297806
deny,3,24,61.96418495297805
twice,2,17,58.31923289692053
cloth,2,18,55.07927551375827
maids,1,9,55.07927551375827
sorrowful,2,18,55.07927551375827
denied,2,19,52.18036627619205
bethany,1,11,45.06486178398404
iscariot,1,11,45.06486178398404
spit,1,11,45.06486178398404
pitcher,1,12,41.3094566353187
strike,1,12,41.3094566353187
swords,2,24,41.3094566353187
offended,2,25,39.65707836990596
wist,1,13,38.13180612490957
ointment,2,27,36.719517009172186
blasphemy,1,14,35.40810568741603
testament,1,14,35.40810568741603
token,1,14,35.40810568741603
olives,1,15,33.04756530825497
sendeth,1,15,33.04756530825497
passover,5,76,32.61272892262003
although,1,16,30.98209247648903
asleep,1,16,30.98209247648903
temptation,1,16,30.98209247648903
judas,2,33,30.043241189322696
leper,1,17,29.159616448460266
drank,1,19,26.090183138096027
murmured,1,19,26.090183138096027
heavy,2,40,24.785673981191223
kiss,1,20,24.785673981191223
thereto,1,20,24.785673981191223
whomsoever,1,20,24.785673981191223
peter,8,162,24.479678006114792
watch,3,61,24.379351456909397
amazed,1,21,23.605403791610687
condemned,1,21,23.605403791610687
large,1,21,23.605403791610687
safely,1,21,23.605403791610687
scriptures,1,21,23.605403791610687
bearing,1,22,22.53243089199202
witness,6,135,22.03171020550331
scribes,3,68,21.8697123363452
council,1,23,21.552759983644542
naked,2,47,21.094190622290405
forsook,1,24,20.65472831765935
further,1,24,20.65472831765935
palace,2,48,20.65472831765935
staves,2,49,20.23320324995202
teaching,1,25,19.82853918495298
upper,1,25,19.82853918495298
guilty,1,26,19.065903062454787
kissed,1,26,19.065903062454787
findeth,1,27,18.359758504586093
beneath,1,28,17.704052843708016
thief,1,28,17.704052843708016
nazareth,1,29,17.0935682628905
unleavened,2,61,16.252900971272933
always,2,62,15.990757407220144
hour,3,94,15.820642966717804
enough,1,32,15.491046238244515
false,2,64,15.491046238244515
memorial,1,32,15.491046238244515
room,1,32,15.491046238244515
prayed,2,65,15.25272244996383
ready,3,100,14.871404388714733
cup,2,68,14.579808224230133
anoint,1,35,14.163242274966413
verily,4,140,14.163242274966413
began,5,179,13.84674524088895
brake,2,73,13.581191222570533
assembled,1,37,13.397661611454716
maid,1,37,13.397661611454716
simon,2,76,13.045091569048013
porch,1,39,12.710602041636527
sayest,1,40,12.392836990595612
indignation,1,41,12.090572673751815
sought,3,126,11.802701895805345
james,1,42,11.802701895805344
straightway,1,42,11.802701895805344
truly,1,42,11.802701895805344
sitting,1,43,11.528220456368011
shepherd,1,45,11.015855102751654
weak,1,46,10.776379991822271
forward,1,47,10.547095311145203
twelve,4,189,10.491290574049195
promised,1,48,10.327364158829676
sinners,1,48,10.327364158829676
disciples,5,244,10.158063107045582
clouds,1,49,10.11660162497601
need,1,49,10.11660162497601
speech,1,49,10.11660162497601
witnesses,1,49,10.11660162497601
afar,1,51,9.719872149486754
risen,1,51,9.719872149486754
tarry,1,51,9.719872149486754
held,1,52,9.532951531227393
linen,2,104,9.532951531227393
shed,1,52,9.532951531227393
followed,2,108,9.179879252293047
immediately,1,55,9.012972356796809
eateth,1,56,8.852026421854008
cometh,5,282,8.789246092621001
named,1,57,8.696727712698674
body,3,175,8.497945364979849
exceeding,1,59,8.401923383454653
high,7,416,8.341332589823969
asked,2,119,8.331318985274361
evening,1,60,8.261891327063742
lead,1,60,8.261891327063742
swear,1,60,8.261891327063742
master,3,181,8.216245518626925
preached,1,61,8.126450485636466
feast,2,123,8.06038178250121
vine,1,62,7.995378703610072
daily,1,63,7.868467930536897
waste,1,64,7.745523119122257
sat,3,192,7.745523119122256
soon,1,65,7.626361224981915
think,1,65,7.626361224981915
rent,1,66,7.510810297330674
thereon,1,66,7.510810297330674
wast,1,66,7.510810297330674
killed,1,67,7.398708651101858
goeth,2,135,7.343903401834437
chief,5,338,7.333039639405687
led,1,68,7.2899041121150665
indeed,1,70,7.081621137483206
scattered,1,71,6.981879994701754
wept,1,71,6.981879994701754
cover,1,72,6.884909439219784
galilee,1,72,6.884909439219784
thanks,1,73,6.790595611285267
fled,2,148,6.698830805727358
taketh,1,74,6.698830805727358
new,2,150,6.609513061650993
precious,1,76,6.522545784524007
priest,7,543,6.390413181154275
priests,5,401,6.180966080097561
here,2,162,6.119919501528698
prepare,1,81,6.119919501528698
thought,1,81,6.119919501528698
jesus,12,983,6.051436170382393
fulfilled,1,82,6.0452863368759076
sleep,1,82,6.0452863368759076
sold,1,82,6.0452863368759076
poured,1,84,5.901350947902672
stood,4,339,5.8491266032309674
drew,1,85,5.831923289692052
follow,1,86,5.7641102281840055
never,1,86,5.7641102281840055
glad,1,89,5.569814377795781
elders,2,179,5.5386980963555805
prophesy,1,90,5.507927551375827
understand,1,91,5.447400874987083
hands,5,461,5.376501948197662
bare,2,186,5.330252469073381
death,4,372,5.330252469073381
within,2,186,5.330252469073381
mind,1,95,5.218036627619205
having,2,193,5.136927249987818
nevertheless,1,97,5.110448243544583
certain,2,196,5.058300812488005
sore,1,98,5.058300812488005
coming,1,100,4.957134796238245
wrought,1,100,4.957134796238245
clothes,1,101,4.908054253701232
curse,1,101,4.908054253701232
prepared,1,101,4.908054253701232
temple,2,204,4.859936074743377
poor,2,205,4.836229069500726
gospel,1,104,4.766475765613697
woe,1,106,4.676542260602118
likewise,1,107,4.632836258166583
while,2,214,4.632836258166583
alone,1,108,4.589939626146523
trouble,1,110,4.506486178398404
been,3,331,4.492871416530131
again,6,672,4.426013210927004
nothing,2,225,4.406342041100662
sit,1,113,4.386844952423226
mayest,1,114,4.348363856349337
some,2,232,4.273392065722625
say,9,1056,4.224830792248503
might,4,475,4.174429302095365
ear,1,120,4.130945663531871
lest,2,240,4.130945663531871
bread,3,361,4.1195026007520035
little,2,242,4.096805616725822
wilt,2,245,4.046640649990404
she,8,982,4.0383990193386925
what,8,985,4.0260993268940055
smite,1,125,3.965707836990596
saith,10,1262,3.927999046147579
very,2,257,3.857692448434432
answer,1,131,3.784072363540645
eat,5,655,3.784072363540645
meet,1,132,3.755405148665337
must,1,132,3.755405148665337
john,1,133,3.7271690197280036
where,3,401,3.708579648058537
found,3,403,3.6901747862815717
written,2,277,3.579158697644942
laid,2,279,3.553501646048921
money,1,140,3.540810568741603
why,2,282,3.5156984370484006
rise,1,142,3.490939997350877
looked,1,143,3.466527829537234
take,6,874,3.403067365838612
enter,1,149,3.3269361048578823
young,2,300,3.3047565308254967
blessed,2,302,3.2828707259855925
night,2,307,3.2294037760509737
born,1,154,3.2189186988560032
pray,2,313,3.167498272356706
lo,1,159,3.1176948404014118
build,1,162,3.059959750764349
throughout,1,162,3.059959750764349
him,41,6667,3.04848547541275
answered,3,492,3.0226431684379538
art,3,495,3.0043241189322694
could,1,166,2.9862257808664125
given,3,498,2.9862257808664125
same,2,332,2.9862257808664125
second,1,169,2.933215855762275
arose,1,173,2.865395835975864
one,11,1969,2.7693490481777903
third,1,182,2.7237004374935414
drink,2,369,2.686793927500404
hold,1,185,2.6795323222909433
returned,1,185,2.6795323222909433
sheep,1,188,2.6367738277863007
took,4,752,2.6367738277863007
ground,1,192,2.581841039707419
spake,3,588,2.529150406244002
fruit,1,208,2.3832378828068483
said,19,4002,2.3534622970646337
heard,3,641,2.320031885914935
ye,18,3985,2.239107310722419
on,9,2016,2.213006605463502
another,2,453,2.188580483990395
shew,1,228,2.1741819281746686
more,3,686,2.167843205352002
away,4,916,2.164687683946832
smote,1,230,2.1552759983644543
this,12,2786,2.135162152004987
gave,2,465,2.1321009876293524
went,6,1400,2.124486341244962
servants,2,480,2.0654728317659354
good,3,720,2.065472831765935
together,2,484,2.048402808362911
three,2,485,2.044179297417833
fell,1,243,2.0399731671762322
multitude,1,243,2.0399731671762322
wise,1,247,2.006937164468925
whole,1,250,1.982853918495298
did,4,1006,1.9710277519833976
into,8,2015,1.9680932193501717
off,2,507,1.9554772371748501
destroy,1,261,1.8992853625433888
mount,1,263,1.8848421278472414
himself,2,528,1.8777025743326685
he,39,10430,1.8535786869922486
how,2,543,1.82583233747265
power,1,272,1.8224760280287666
saw,2,548,1.8091732832986294
rest,1,275,1.8025944713593616
against,6,1667,1.7842116843089062
