word,numInChap,numInKjv,relativeFreq
TOTAL (Mrk 13),828,790663,0
cockcrowing,1,1,954.9070048309178
premeditate,1,1,954.9070048309178
buildings,2,3,636.6046698872785
christs,1,2,477.4535024154589
councils,1,2,477.4535024154589
foretold,1,2,477.4535024154589
rumours,1,2,477.4535024154589
earthquakes,1,3,318.30233494363927
famines,1,3,318.30233494363927
seduce,1,3,318.30233494363927
beginnings,1,4,238.72675120772945
readeth,1,4,238.72675120772945
shortened,2,9,212.20155662909283
beforehand,1,5,190.98140096618357
creation,1,6,159.15116747181963
porter,1,6,159.15116747181963
sleeping,1,6,159.15116747181963
elect,3,20,143.2360507246377
housetop,1,7,136.41528640441683
wars,2,15,127.32093397745571
flight,1,8,119.36337560386472
privately,1,8,119.36337560386472
published,1,11,86.80972771190162
troubles,1,12,79.57558373590982
andrew,1,13,73.45438498699367
deceive,2,27,70.73385220969762
midnight,1,14,68.20764320220842
powers,1,14,68.20764320220842
uttermost,2,28,68.20764320220842
winter,1,14,68.20764320220842
olives,1,15,63.660466988727855
possible,1,15,63.660466988727855
watch,4,61,62.61685277579789
answering,2,31,61.606903537478566
needs,1,16,59.68168780193236
betray,1,18,53.05038915727321
darkened,1,19,50.258263412153575
leaves,1,19,50.258263412153575
suck,1,19,50.258263412153575
thrown,1,19,50.258263412153575
heed,4,80,47.74535024154589
taking,1,20,47.74535024154589
parents,1,21,45.47176213480561
shaken,1,22,43.40486385595081
sorrows,1,22,43.40486385595081
tribulation,1,22,43.40486385595081
winds,1,23,41.51769586221381
synagogues,1,24,39.78779186795491
summer,1,27,35.36692610484881
endure,1,29,32.92782775279027
putteth,1,30,31.830233494363927
false,2,64,29.84084390096618
learn,1,32,29.84084390096618
seest,1,36,26.525194578636604
authority,1,37,25.808297427862644
branch,1,37,25.808297427862644
divers,1,37,25.808297427862644
tender,1,39,24.48479499566456
beaten,1,40,23.872675120772946
fig,1,41,23.290414751973604
juda,1,41,23.290414751973604
suddenly,1,41,23.290414751973604
james,1,42,22.735881067402804
created,1,45,21.220155662909285
desolation,1,46,20.758847931106907
angels,2,94,20.317170315551444
hour,2,94,20.317170315551444
rise,3,142,20.174091651357422
sake,3,145,19.756696651674165
clouds,1,49,19.487898057773833
parable,1,49,19.487898057773833
coming,2,100,19.09814009661836
moon,1,51,18.723666761390547
stars,1,51,18.723666761390547
saved,2,104,18.36359624674842
signs,1,53,18.017113298696565
standing,1,55,17.361945542380322
wonders,1,55,17.361945542380322
hated,1,60,15.915116747181964
journey,1,60,15.915116747181964
lead,1,60,15.915116747181964
must,2,132,14.468287951983603
troubled,1,68,14.04275007104291
doors,1,71,13.44939443423828
nation,2,145,13.171131101116108
except,1,74,12.904148713931322
affliction,1,75,12.732093397745572
abomination,1,76,12.564565853038394
sign,1,76,12.564565853038394
testimony,1,76,12.564565853038394
rulers,1,78,12.24239749783228
lo,2,159,12.011408865797709
here,2,162,11.788975368282937
thought,1,81,11.788975368282937
fulfilled,1,82,11.645207375986802
daniel,1,83,11.504903672661662
garment,1,86,11.103569823615324
master,2,181,10.55145861691622
understand,1,91,10.493483569570525
ought,1,97,9.844402111658948
manner,2,196,9.743949028886917
nigh,1,100,9.54907004830918
temple,2,204,9.361833380695273
gospel,1,104,9.18179812337421
knoweth,1,104,9.18179812337421
flee,1,105,9.094352426961121
beginning,1,106,9.008556649348282
woe,1,106,9.008556649348282
generation,1,107,8.924364531130072
part,2,214,8.924364531130072
ghost,1,109,8.76061472321943
those,4,465,8.214253804997142
heaven,5,583,8.189596953952982
asked,1,119,8.02442861202452
lest,2,240,7.957558373590982
chosen,1,123,7.763471583991202
such,2,249,7.6699357817744405
take,7,874,7.647996606197283
john,1,133,7.179751916021938
verily,1,140,6.8207643202208414
believe,1,143,6.677671362453971
deliver,2,296,6.452074356965661
enter,1,149,6.408771844502804
see,4,597,6.398036883289232
whatsoever,1,152,6.282282926519197
end,2,307,6.220892539615099
back,1,154,6.200694836564402
find,1,156,6.12119874891614
pray,2,313,6.101642203392446
sun,1,160,5.968168780193237
peter,1,162,5.894487684141469
gather,1,165,5.787315180793441
till,1,169,5.650337306691822
kingdom,2,342,5.584251490239286
speak,3,513,5.584251490239286
far,1,173,5.519693669542877
days,5,868,5.500616387274873
left,2,348,5.487971292131712
mountains,1,177,5.394954829553209
stones,1,178,5.364646094555718
began,1,179,5.334676004641999
death,2,372,5.133908628123214
know,4,763,5.006065556125388
yourselves,1,191,4.999513114297999
sat,1,192,4.9734739834943635
stone,1,192,4.9734739834943635
things,6,1162,4.930673002569284
what,5,985,4.847243679344761
brother,2,402,4.75078111856178
tree,1,201,4.75078111856178
these,6,1225,4.67709553386572
child,1,205,4.658082950394721
pass,4,830,4.601961469064665
ye,19,3985,4.552881578867614
near,1,211,4.525625615312407
say,5,1056,4.521339984994876
places,1,215,4.44142792944613
tell,1,217,4.400493109819898
neither,4,879,4.345424367831253
morning,1,227,4.2066387878014
shew,1,228,4.188188617679464
therein,1,230,4.1517695862213815
send,1,234,4.080799165944093
prophets,1,239,3.995426798455723
shall,41,9837,3.9799925991732876
disciples,1,244,3.913553298487368
