word,numInChap,numInKjv,relativeFreq
TOTAL (Luk 19),1047,790663
pounds,5,5,755.1700095510985
austere,2,2,755.1700095510984
citizens,1,1,755.1700095510984
forsomuch,1,1,755.1700095510984
guest,1,1,755.1700095510984
layedst,1,1,755.1700095510984
trading,1,1,755.1700095510984
zacchus,3,3,755.1700095510982
climbed,1,2,377.5850047755492
fourfold,1,2,377.5850047755492
occupy,1,2,377.5850047755492
reapest,1,2,377.5850047755492
pound,4,10,302.06800382043934
bethphage,1,3,251.72333651703278
descent,1,3,251.72333651703278
joyfully,1,3,251.72333651703278
napkin,1,3,251.72333651703278
nobleman,1,3,251.72333651703278
reaping,1,3,251.72333651703278
gained,3,10,226.5510028653295
colt,4,15,201.37866921362624
loosing,1,4,188.7925023877746
ascending,1,5,151.03400191021967
attentive,1,5,151.03400191021967
knewest,2,10,151.03400191021967
owners,1,5,151.03400191021967
message,1,7,107.8814299358712
sycomore,1,7,107.8814299358712
olives,2,15,100.68933460681312
tied,1,8,94.3962511938873
trench,1,8,94.3962511938873
press,1,9,83.90777883901092
takest,1,9,83.90777883901092
loose,3,29,78.12103547080328
accusation,1,10,75.51700095510984
village,1,10,75.51700095510984
bethany,1,11,68.65181905009985
belong,1,12,62.930834129258194
bank,1,14,53.9407149679356
added,1,15,50.34466730340656
visitation,1,15,50.34466730340656
thieves,1,16,47.19812559694365
publicans,1,17,44.42176526771167
stature,1,17,44.42176526771167
highest,1,18,41.95388941950546
sow,2,37,40.820000516275584
den,1,19,39.7457899763736
murmured,1,19,39.7457899763736
taking,1,20,37.75850047755492
sinner,1,21,35.9604766452904
hadst,1,22,34.32590952504992
required,1,22,34.32590952504992
usury,1,24,31.465417064629097
need,2,49,30.823265695963197
whereon,1,27,27.969259613003643
haste,2,55,27.46072762003994
immediately,2,55,27.46072762003994
lost,1,33,22.883939683366616
nigh,3,100,22.65510028653295
hither,2,67,22.542388344808906
gavest,1,34,22.210882633855835
authority,1,37,20.410000258137792
compass,1,39,19.36333357823329
least,1,39,19.36333357823329
restore,1,40,18.87925023877746
ten,6,249,18.196867700026466
goods,1,42,17.9802383226452
bought,1,44,17.16295476252496
entering,1,46,16.416739338067355
rebuke,1,46,16.416739338067355
parable,1,49,15.411632847981599
beheld,1,53,14.248490746247139
appear,1,54,13.984629806501822
named,1,57,13.248596658791199
hated,1,60,12.58616682585164
loud,1,60,12.58616682585164
ran,1,61,12.379836222149153
daily,1,63,11.986825548430133
sought,2,126,11.986825548430133
false,1,64,11.799531399235912
jericho,1,64,11.799531399235912
thereon,1,66,11.441969841683308
scribes,1,68,11.105441316927918
money,2,140,10.788142993587119
wept,1,71,10.636197317621104
feared,1,74,10.205000129068896
find,2,156,9.681666789116646
received,2,160,9.43962511938873
rich,1,81,9.323086537667882
taught,1,81,9.323086537667882
thought,1,81,9.323086537667882
disciples,3,244,9.284877166611864
abide,1,82,9.209390360379247
faithful,1,82,9.209390360379247
sold,1,82,9.209390360379247
could,2,166,9.098433850013233
reign,2,168,8.9901191613226
never,1,86,8.78104662268719
pharisees,1,87,8.680115052311475
mount,3,263,8.614106572826216
began,2,179,8.4376537380011
coming,1,100,7.551700095510983
clothes,1,101,7.476930787634637
temple,2,204,7.403627544618611
garments,1,103,7.331747665544644
entered,1,107,7.057663640664471
likewise,1,107,7.057663640664471
ask,1,109,6.928165225239435
spread,1,109,6.928165225239435
chief,3,338,6.70269239246537
kingdom,3,342,6.624298329395599
prayer,1,114,6.624298329395599
leave,1,115,6.566695735226943
slay,1,117,6.454444526077764
little,2,242,6.241074459099986
multitude,2,243,6.21539102511192
didst,1,122,6.189918111074577
very,2,257,5.876809412849014
hid,1,129,5.854031081791461
must,1,132,5.720984920841654
enemies,2,270,5.593851922600728
half,1,136,5.552720658463959
laid,2,279,5.413405086387802
why,2,282,5.355815670575166
looked,1,143,5.2809091576999885
peace,3,429,5.2809091576999885
might,3,475,4.769494797164832
saying,9,1445,4.703481028345942
passed,1,161,4.690496953733531
here,1,162,4.661543268833941
jesus,6,983,4.609379508958891
salvation,1,164,4.604695180189624
cast,3,501,4.521976105096397
over,6,1008,4.4950595806613
second,1,169,4.4684615949769135
taken,2,338,4.4684615949769135
till,1,169,4.4684615949769135
stood,2,339,4.455280292336863
five,2,345,4.377797156817961
because,7,1209,4.3723656466978404
far,1,173,4.3651445638791815
kept,1,175,4.315257197434848
receive,1,176,4.29073869063124
stones,1,178,4.2425281435454965
country,1,179,4.21882686900055
cry,1,181,4.1722099975198805
master,1,181,4.1722099975198805
hold,1,185,4.082000051627559
returned,1,185,4.082000051627559
within,1,186,4.060053814790851
judge,1,191,3.953769683513604
ground,1,192,3.933177133078637
rejoice,1,192,3.933177133078637
sat,1,192,3.933177133078637
stone,1,192,3.933177133078637
having,1,193,3.912797976948696
certain,1,196,3.8529082119953997
tree,1,201,3.7570647241348176
poor,1,205,3.6837561441516993
called,3,624,3.6306250459187424
near,1,211,3.579004784602362
gone,1,214,3.5288318203322353
tell,1,217,3.480046126963587
way,3,664,3.4119126937549624
known,1,222,3.401666709689632
cities,2,448,3.371294685495975
would,2,451,3.3488692219560905
another,2,453,3.3340839273779173
sent,3,686,3.3024927531389143
therein,1,230,3.2833478676134713
some,1,232,3.255043144616803
