word,numInChap,numInKjv,relativeFreq
TOTAL (Luk 16),752,790663,0
fared,1,1,1051.413563829787
gulf,1,1,1051.413563829787
receivedst,1,1,1051.413563829787
resolved,1,1,1051.413563829787
stewardship,3,3,1051.413563829787
sumptuously,1,1,1051.413563829787
mammon,3,4,788.5601728723403
beggar,2,3,700.9423758865247
cool,1,2,525.7067819148936
derided,1,2,525.7067819148936
marrieth,2,4,525.7067819148936
owest,2,4,525.7067819148936
presseth,1,2,525.7067819148936
sores,2,4,525.7067819148936
tittle,1,2,525.7067819148936
torments,1,2,525.7067819148936
beg,1,3,350.47118794326235
crumbs,1,3,350.47118794326235
lifetime,1,3,350.47118794326235
steward,4,13,323.51186579378066
bill,2,7,300.4038753799392
lazarus,4,15,280.37695035460996
licked,1,4,262.8533909574468
tormented,2,8,262.8533909574468
debtors,1,5,210.28271276595746
fixed,1,5,210.28271276595746
unjust,3,17,185.5435700876095
commended,1,6,175.23559397163118
highly,1,6,175.23559397163118
easier,1,8,131.4266954787234
wiser,1,8,131.4266954787234
covetous,1,9,116.82372931442079
tip,1,9,116.82372931442079
unrighteous,1,9,116.82372931442079
committeth,2,19,110.67511198208287
dip,1,10,105.14135638297873
esteemed,1,11,95.58305125725339
justify,1,11,95.58305125725339
torment,1,11,95.58305125725339
desiring,1,12,87.61779698581559
dig,1,13,80.87796644844516
accused,1,14,75.1009688449848
wisely,1,14,75.1009688449848
wasted,1,16,65.7133477393617
account,1,17,61.84785669586984
longer,1,17,61.84785669586984
least,2,39,53.91864429896345
measures,2,39,53.91864429896345
adultery,2,40,52.570678191489364
habitations,1,20,52.570678191489364
persuaded,1,20,52.570678191489364
rich,4,81,51.92165747307592
bosom,2,41,51.2884665282823
faithful,4,82,51.2884665282823
unrighteousness,1,21,50.0673125633232
masters,1,22,47.791525628626694
dogs,1,24,43.808898492907794
finger,1,26,40.43898322422258
testify,1,29,36.25564013206163
hence,1,30,35.047118794326245
putteth,1,30,35.047118794326245
fed,1,31,33.91656657515443
fail,2,64,32.85667386968085
flame,1,34,30.92392834793492
comforted,1,36,29.205932328605197
fourscore,1,36,29.205932328605197
despise,1,37,28.416582806210464
wouldest,1,38,27.668777995520717
quickly,1,39,26.959322149481725
either,1,41,25.64423326414115
abraham,6,250,25.233925531914892
