word,numInChap,numInKjv,relativeFreq
TOTAL (Jhn 8),1307,790663
convicted,1,1,604.9449120122417
convinceth,1,1,604.9449120122417
samaritan,1,3,201.64830400408056
stooped,2,7,172.8414034320691
act,1,4,151.23622800306043
bearest,1,5,120.98898240244836
liar,2,13,93.06844800188334
asking,1,7,86.42070171603454
tempting,1,7,86.42070171603454
record,4,30,80.65932160163224
accusers,1,8,75.61811400153022
honoureth,1,9,67.21610133469352
proceeded,1,9,67.21610133469352
treasury,1,9,67.21610133469352
dishonour,1,11,54.994992001112884
sayest,3,40,45.37086840091814
eldest,1,14,43.21035085801727
free,4,59,41.01321437371131
abideth,2,30,40.32966080081612
followeth,1,15,40.32966080081612
olives,1,15,40.32966080081612
devil,4,61,39.668518820474866
accuse,1,16,37.80905700076511
true,5,81,37.34227851927419
judgeth,1,17,35.58499482424951
committeth,1,19,31.83920589538115
adultery,2,40,30.24724560061209
murderer,1,20,30.24724560061209
condemned,1,21,28.80690057201151
stoned,1,22,27.497496000556442
taste,1,22,27.497496000556442
abraham,11,250,26.617576128538637
verily,6,140,25.92621051481036
myself,5,118,25.63325898356957
condemn,1,24,25.20603800051007
lusts,1,24,25.20603800051007
beareth,1,25,24.19779648048967
finger,1,26,23.267112000470835
makest,1,26,23.267112000470835
taught,3,81,22.405367111564512
beneath,1,28,21.605175429008636
never,3,86,21.102729488799135
continued,1,29,20.860169379732472
conscience,1,31,19.514352000394894
whither,4,124,19.514352000394894
wrote,2,62,19.514352000394894
deeds,1,33,18.331664000370964
truth,7,237,17.8675712408679
indeed,2,70,17.284140343206907
beginning,3,106,17.121082415440807
alone,3,108,16.804025333673383
fornication,1,36,16.80402533367338
whence,2,72,16.80402533367338
speaketh,2,74,16.349862486817344
understood,1,37,16.349862486817344
continue,1,38,15.919602947690574
bondage,1,39,15.511408000313892
please,1,39,15.511408000313892
kill,3,126,14.403450286005759
seeketh,1,42,14.403450286005755
pharisees,2,87,13.906779586488318
cannot,4,184,13.150976348092211
rejoiced,1,47,12.871168340685996
believe,3,143,12.691152000256821
judge,4,191,12.669003392926529
honour,3,146,12.430374904361134
speech,1,49,12.345814530862077
jesus,20,983,12.308136561795356
jews,5,257,11.769356264829607
heareth,1,52,11.633556000235417
lifted,3,158,11.486295797700793
father,21,1126,11.282276334153709
standing,1,55,10.998998400222577
sins,3,172,10.551364744399567
believed,2,116,10.430084689866236
seek,4,244,9.917129705118716
answered,8,492,9.836502634345393
always,1,62,9.757176000197447
witness,2,135,8.962146844625803
temple,3,204,8.89624870606238
scribes,1,68,8.896248706062378
abode,1,69,8.767317565394809
world,4,288,8.40201266683669
woman,5,367,8.241756294444711
known,3,222,8.174931243408672
testimony,1,76,7.959801473845287
greater,1,77,7.856427428730413
know,9,763,7.135654270131291
last,1,85,7.116998964849903
early,1,86,7.034243162933044
glad,1,89,6.797133842834177
sin,5,448,6.751617321565199
understand,1,91,6.647746285848811
going,1,92,6.5754881740461055
seen,3,277,6.551749949591066
hour,1,94,6.435584170342998
ground,2,192,6.301509500127517
ye,40,3985,6.072219944915852
die,3,321,5.65369076646955
bear,2,215,5.627394530346435
thyself,2,215,5.627394530346435
tell,2,217,5.5755291429699705
am,8,874,5.537253199196721
nothing,2,225,5.377288106775482
those,4,465,5.203827200105305
though,2,233,5.192660188946281
say,9,1056,5.155780500104333
prophets,2,239,5.062300518930893
keep,3,362,5.013355624410844
dead,3,364,4.985809714386608
midst,3,364,4.985809714386608
art,4,495,4.888443733432257
hid,1,129,4.689495441955363
himself,4,528,4.582916000092741
if,12,1595,4.5513096828507225
light,2,272,4.448124353031189
yet,5,683,4.428586471539105
do,10,1368,4.422111929914048
sent,5,686,4.409219475307885
seed,2,280,4.321035085801727
why,2,282,4.290389446895332
spake,4,588,4.115271510287359
born,1,154,3.9282137143652065
then,14,2168,3.9064708340273917
lie,1,155,3.902870400078979
fifty,1,157,3.853152305810457
heard,4,641,3.7750072512464388
passed,1,161,3.757421813740632
your,11,1776,3.746843486562308
darkness,1,162,3.7342278519274186
again,4,672,3.600862571501439
taken,2,338,3.579555692380129
speak,3,513,3.5376895439312386
left,2,348,3.4766948966220794
said,23,4002,3.476694896622079
stones,1,178,3.3985669214170886
