word,numInChap,numInKjv,relativeFreq
TOTAL (Jhn 18),947,790663,40 verses
cedron,1,1,834.9134107708553
lanterns,1,1,834.9134107708553
malchus,1,1,834.9134107708553
malefactor,1,1,834.9134107708553
warmed,3,6,417.45670538542765
annas,2,4,417.45670538542765
smitest,1,2,417.45670538542765
caiaphas,4,9,371.07262700926896
hall,3,8,313.09252903907077
askest,1,3,278.30447025695173
ofttimes,1,3,278.30447025695173
torches,1,3,278.30447025695173
resort,1,4,208.72835269271383
signifying,1,4,208.72835269271383
crew,1,5,166.98268215417107
resorted,1,5,166.98268215417107
robber,1,5,166.98268215417107
barabbas,2,11,151.80243832197368
answerest,1,6,139.15223512847587
expedient,1,7,119.27334439583647
struck,1,7,119.27334439583647
sheath,1,8,104.36417634635691
pilate,6,56,89.45500829687737
band,2,19,87.88562218640583
betrayed,2,19,87.88562218640583
denied,2,19,87.88562218640583
disciple,3,29,86.37035283836435
accusation,1,10,83.49134107708554
release,2,21,79.51556293055764
judas,3,33,75.90121916098686
cock,1,12,69.57611756423793
officers,4,58,57.580235225576224
nazareth,2,29,57.580235225576224
openly,1,15,55.66089405139035
peter,10,162,51.537864862398486
kinsman,1,17,49.11255357475619
backward,1,18,46.38407837615862
cold,1,18,46.38407837615862
fault,1,19,43.94281109320291
sayest,2,40,41.74567053854277
custom,1,20,41.74567053854277
weapons,1,21,39.75778146527882
simon,3,76,32.95710831990219
garden,2,52,32.11205426041751
coals,1,26,32.11205426041751
hence,1,30,27.830447025695175
jew,1,32,26.09104408658923
jews,8,257,25.98952251426787
lost,1,33,25.300406386995615
led,2,68,24.556276787378096
gavest,1,34,24.556276787378096
palm,1,37,22.565227318131225
passover,2,76,21.971405546601456
brook,1,39,21.408036173611674
lawful,1,39,21.408036173611674
disciples,6,244,20.530657641906277
fulfilled,2,82,20.36374172611842
synagogue,1,45,18.55363135046345
high,9,416,18.063030521484848
jesus,21,983,17.836400433558456
thither,2,95,17.577124437281164
damsel,1,48,17.394029391059483
palace,1,48,17.394029391059483
doctrine,1,51,16.3708511915854
knowing,1,51,16.3708511915854
bound,2,104,16.056027130208754
heareth,1,52,16.056027130208754
entered,2,107,15.60585814524963
answered,9,492,15.272806294588817
immediately,1,55,15.180243832197368
stood,6,339,14.777228509218679
asked,2,119,14.032158164216057
ear,2,120,13.915223512847588
priest,9,543,13.838343824931304
always,1,62,13.466345335013795
door,3,189,13.252593821759609
soon,1,65,12.844821704167003
witness,2,135,12.369087566975633
cup,1,68,12.278138393689048
secret,1,68,12.278138393689048
others,1,69,12.100194358997902
defiled,1,71,11.759343813674018
world,4,288,11.596019594039655
truth,3,237,10.568524186972853
taught,1,81,10.307572972479695
seek,3,244,10.265328820953139
drew,1,85,9.822510714951237
early,1,86,9.708295474079712
pharisees,1,87,9.596705870929371
kept,2,175,9.541867551666918
spoken,3,287,8.727317882622181
having,2,193,8.651952443221298
delivered,3,291,8.607354750215004
judgment,3,294,8.519524599702605
fight,1,107,7.802929072624815
bear,2,215,7.76663637926377
followed,1,108,7.730679729359771
ask,1,109,7.659756062117939
known,2,222,7.521742439377074
should,7,783,7.4641045662784
kingdom,3,342,7.323801848867152
art,4,495,6.746775036532164
whither,1,124,6.7331726675068975
am,7,874,6.686949514183052
then,17,2168,6.546830250509474
again,5,672,6.212153353949816
captain,1,139,6.0065713005097505
why,2,282,5.9213717075947185
counsel,1,143,5.838555320075911
nation,1,145,5.758023522557623
spake,4,588,5.679683066468403
born,1,154,5.421515654356203
find,1,156,5.352009043402918
might,3,475,5.27313733118435
servants,3,480,5.218208817317846
cut,2,320,5.218208817317846
received,1,160,5.218208817317846
die,2,321,5.201952715083211
what,6,985,5.08576696916257
chief,2,338,4.940316040064232
knew,1,169,4.940316040064232
went,8,1400,4.770933775833459
death,2,372,4.488781778337931
judge,1,191,4.37127440194165
ground,1,192,4.348507347764871
cried,1,199,4.195544777742992
priests,2,401,4.16415666219878
temple,1,204,4.09271279789635
themselves,2,409,4.0827061651386565
therefore,6,1237,4.049701264854594
saith,6,1262,3.969477388767934
sword,2,424,3.9382708055229023
thyself,1,215,3.883318189631885
tell,1,217,3.84752723857537
nothing,1,225,3.7107262700926897
would,2,451,3.702498495657895
smote,1,230,3.630058307699371
lest,1,240,3.478805878211897
fell,1,243,3.4358576574932314
servant,2,500,3.339653643083421
said,16,4002,3.3379846507580417
off,2,507,3.293544026709488
law,2,523,3.1927855096399815
well,1,262,3.186692407522348
himself,2,528,3.162550798374452
one,7,1969,2.9682041012676423
cometh,1,282,2.9606858537973593
told,1,283,2.95022406632811
being,1,291,2.8691182500716677
evil,2,613,2.7240241786977335
end,1,307,2.7195876572340563
this,9,2786,2.697135928549066
whose,1,314,2.6589599069135517
him,21,6667,2.6298457516406124
if,5,1595,2.6172834193443744
cause,1,328,2.5454677157648025
same,1,332,2.5147994300326966
did,3,1006,2.4898014237699466
into,6,2015,2.4860945233871625
had,6,2029,2.46894059370386
now,4,1356,2.462871418203113
unto,26,9002,2.411436200848949
none,1,358,2.3321603652817187
right,1,359,2.32566409685475
saying,4,1445,2.3111789917532324
which,12,4414,2.269814437981483
i,24,8853,2.2634047055800894
drink,1,369,2.2626379695687135
year,1,369,2.2626379695687135
was,12,4523,2.2151140679306356
whom,2,763,2.1885017320336964
where,1,401,2.08207833109939
without,1,426,1.9598906356123365
first,1,430,1.9416590948159425
also,4,1769,1.887876564772991
forth,2,888,1.8804356098442685
another,1,453,1.8430759619665678
put,2,911,1.8329602870929864
other,1,464,1.799382350799257
gave,1,465,1.7955127113351725
not,14,6597,1.7718338261015576
ever,1,476,1.754019770527007
have,8,3905,1.7104500092616752
thou,11,5474,1.677758041373659
given,1,498,1.6765329533551312
voice,1,505,1.653293882714565
me,8,4096,1.6306902554118268
at,3,1571,1.5943604279519834
them,12,6429,1.5584011400295947
man,5,2737,1.5252345830669627
words,1,548,1.5235646181949913
fire,1,549,1.5207894549560206
thing,1,549,1.5207894549560206
father,2,1126,1.4829723104278068
done,1,565,1.4777228509218678
ye,7,3985,1.466598212144539
he,18,10430,1.440886039681246
own,1,596,1.400861427467878
see,1,597,1.3985149259143306
these,2,1225,1.3631239359524168
they,12,7377,1.3581348690863853
called,1,624,1.3380022608507296
king,4,2540,1.3148242689304808
heard,1,641,1.3025170214833937
eat,1,655,1.2746769630089394
way,1,664,1.2573997150163483
but,6,3994,1.2542514933963775
sent,1,686,1.217074942814658
place,1,715,1.1677110640151822
that,18,12916,1.1635522912569987
bring,1,727,1.148436603536252
my,6,4367,1.1471217001660483
thus,1,737,1.1328540173281618
with,8,6015,1.110441776586341
took,1,752,1.1102571951740097
know,1,763,1.0942508660168482
it,8,6129,1.0897874508348577
according,1,793,1.0528542380464758
a,10,8282,1.0081060260454664
so,2,1689,0.9886482069518712
brought,1,863,0.9674547054123468
you,3,2613,0.9585687838930601
take,1,874,0.9552785020261502
away,1,916,0.9114775226756062
any,1,917,0.9104835450063852
out,3,2776,0.9022839453575527
thine,1,937,0.8910495312389064
his,9,8478,0.8863199689711839
when,3,2847,0.8797823085045895
thee,4,3826,0.8728838586208628
name,1,958,0.8715171302409763
who,1,970,0.8607354750215004
over,1,1008,0.8282871138599756
hast,1,1071,0.7795643424564476
or,1,1132,0.7375560165820275
the,56,64016,0.7303666427638075
and,45,51708,0.7266013669971473
things,1,1162,0.7185141228664848
up,2,2380,0.7016079082108028
from,3,3646,0.6869830587801883
every,1,1238,0.6744050167777506
