word,numInChap,numInKjv,relativeFreq
TOTAL (Act 21),1067,790663
aboard,1,1,741.0149953139644
accomplishment,1,1,741.0149953139644
coos,1,1,741.0149953139644
ephesian,1,1,741.0149953139644
mnason,1,1,741.0149953139644
orderly,1,1,741.0149953139644
patara,1,1,741.0149953139644
phenicia,1,1,741.0149953139644
ptolemais,1,1,741.0149953139644
rhodes,1,1,741.0149953139644
unlade,1,1,741.0149953139644
agabus,1,2,370.5074976569822
citizen,1,2,370.5074976569822
evangelist,1,2,370.5074976569822
landed,1,2,370.5074976569822
licence,1,2,370.5074976569822
owneth,1,2,370.5074976569822
particularly,1,2,370.5074976569822
beating,1,3,247.00499843798812
carriages,1,3,247.00499843798812
centurions,1,3,247.00499843798812
concluded,1,3,247.00499843798812
informed,2,6,247.00499843798812
sailing,1,3,247.00499843798812
trophimus,1,3,247.00499843798812
cyprus,2,8,185.2537488284911
keepest,1,4,185.2537488284911
launched,1,4,185.2537488284911
signify,1,4,185.2537488284911
strangled,1,4,185.2537488284911
uproar,2,8,185.2537488284911
castle,2,9,164.66999895865874
saluted,2,9,164.66999895865874
finding,2,10,148.20299906279288
leddest,1,5,148.20299906279288
stairs,2,10,148.20299906279288
tarsus,1,5,148.20299906279288
beckoned,1,6,123.50249921899406
charges,1,6,123.50249921899406
certainty,1,7,105.85928504485206
customs,1,7,105.85928504485206
demanded,1,7,105.85928504485206
walkest,1,7,105.85928504485206
cilicia,1,8,92.62687441424555
csarea,2,16,92.62687441424555
gladly,1,8,92.62687441424555
kneeled,1,8,92.62687441424555
purification,1,8,92.62687441424555
supposed,1,8,92.62687441424555
teachest,1,8,92.62687441424555
zealous,1,8,92.62687441424555
circumcise,1,10,74.10149953139644
forthwith,1,10,74.10149953139644
madest,1,10,74.10149953139644
murderers,1,10,74.10149953139644
soldiers,3,30,74.10149953139644
almost,1,11,67.36499957399677
mean,2,22,67.36499957399677
greek,1,12,61.75124960949703
purifying,1,12,61.75124960949703
paul,12,162,54.88999965288626
greeks,1,14,52.92964252242603
purify,1,14,52.92964252242603
shave,1,14,52.92964252242603
sailed,1,15,49.400999687597626
crying,2,31,47.80741905251383
needs,1,16,46.313437207122774
