word,numInChap,numInKjv,relativeFreq
TOTAL (Act 25),711,790663,0
complaints,1,1,1112.043600562588
examination,1,1,1112.043600562588
superstition,1,1,1112.043600562588
appealed,3,4,834.0327004219408
festus,9,13,769.8763388510223
bernice,2,3,741.3624003750585
appeal,1,2,556.021800281294
augustus,2,4,556.021800281294
crime,1,2,556.021800281294
crimes,1,2,556.021800281294
licence,1,2,556.021800281294
offender,1,2,556.021800281294
unreasonable,1,2,556.021800281294
agrippa,5,12,463.35150023441156
affirmed,1,3,370.68120018752927
delay,1,3,370.68120018752927
informed,2,6,370.68120018752927
accusers,2,8,278.010900140647
conferred,1,4,278.010900140647
csarea,4,16,278.010900140647
doubted,1,4,278.010900140647
signify,1,4,278.010900140647
csar,6,28,238.29505726341168
romans,1,6,185.34060009376464
specially,1,6,185.34060009376464
pomp,1,7,158.86337150894113
questions,2,14,158.86337150894113
accuse,2,16,139.0054500703235
supposed,1,8,139.0054500703235
felix,1,9,123.56040006250976
accusation,1,10,111.20436005625879
desiring,1,12,92.67030004688232
laying,1,13,85.54181542789138
prisoner,1,13,85.54181542789138
accused,1,14,79.43168575447056
shortly,1,15,74.13624003750587
reserved,1,16,69.50272503516175
paul,10,162,68.64466670139431
longer,1,17,65.41432944485811
principal,1,17,65.41432944485811
ascended,1,19,58.52861055592568
seat,3,58,57.51949658082351
hearing,2,39,57.02787695192759
judged,3,63,52.95445716964704
council,1,23,48.34972176359077
matters,1,23,48.34972176359077
offended,1,25,44.48174402250352
prove,1,25,44.48174402250352
somewhat,1,25,44.48174402250352
bonds,1,26,42.77090771394569
refuse,1,26,42.77090771394569
wrong,1,26,42.77090771394569
province,1,27,41.186800020836586
seemeth,1,28,39.71584287723528
determined,1,30,37.068120018752936
crying,1,31,35.87237421169638
tarried,1,32,34.75136251758087
willing,1,32,34.75136251758087
withal,1,33,33.69829092613903
worthy,2,68,32.707164722429056
morrow,3,103,32.38961943386178
jews,7,257,30.2891253071522
grievous,1,38,29.26430527796284
salute,1,39,28.513938475963794
declared,1,41,27.123014647867997
sitting,1,43,25.86147908285088
besought,1,44,25.27371819460427
write,2,91,24.440518693683252
committed,2,92,24.174860881795386
ought,2,97,22.92873403221831
certain,4,196,22.69476735842016
desired,1,50,22.24087201125176
dealt,1,57,19.509536851975227
send,4,234,19.009292317309196
next,1,60,18.534060009376468
pleasure,1,61,18.230222960042425
hither,1,67,16.597665680038627
favour,1,70,15.886337150894112
whereof,1,71,15.662585923416733
judgment,4,294,15.12984490561344
here,2,162,13.728933340278864
kept,2,175,12.709069720715291
alive,1,88,12.636859097302136
knowest,1,89,12.494871916433572
laid,3,279,11.95745807056546
thither,1,95,11.705722111185136
manner,2,196,11.34738367921008
answered,5,492,11.301256103278332
present,1,106,10.490977363797999
wait,1,106,10.490977363797999
entered,1,107,10.392930846379326
chief,3,338,9.870209472449005
would,4,451,9.862914417406545
jerusalem,7,814,9.56302850606648
myself,1,118,9.424098309852441
asked,1,119,9.344904206408302
captains,1,119,9.344904206408302
such,2,249,8.932077112952514
depart,1,125,8.896348804500704
kill,1,126,8.825742861607841
wickedness,1,127,8.756248823327464
whom,6,763,8.744772743611437
answer,1,131,8.488882447042656
himself,4,528,8.424572731534758
commanded,3,443,7.530769304035583
deliver,2,296,7.513808111909378
against,11,1667,7.338020159681144
any,6,917,7.27618495460799
able,1,160,6.9502725035161745
die,2,321,6.928620564252884
could,1,166,6.699057834714385
till,1,169,6.580139648299337
stood,2,339,6.560729206858926
whether,1,171,6.503178950658409
brought,5,863,6.442894557141297
commandment,1,177,6.282732206568293
elders,1,179,6.21253408135524
none,2,358,6.21253408135524
thing,3,549,6.076740986680807
death,2,372,5.97872903528273
sat,1,192,5.791893752930145
temple,1,204,5.451194120404843
face,2,416,5.346363464243211
about,3,632,5.278687977354056
while,1,214,5.196465423189663
days,4,868,5.124624887385198
nothing,1,225,4.942416002500391
might,2,475,4.682288844474055
concerning,1,242,4.595221489928049
multitude,1,243,4.5763111134262875
wilt,1,245,4.5389534716840325
live,1,247,4.502200811994283
ten,1,249,4.466038556476257
very,1,257,4.327017901021743
when,11,2847,4.29662086624112
at,6,1571,4.247142968412175
well,1,262,4.244441223521328
stand,1,274,4.058553286724774
hear,2,550,4.0437949111366835
many,2,556,4.000156836556072
had,7,2029,3.8365230182050842
forth,3,888,3.7569040559546885
these,4,1225,3.631162777347226
round,1,320,3.4751362517580873
cause,1,328,3.3903768309834996
been,1,331,3.3596483400682415
left,1,348,3.1955275878235287
wherefore,1,348,3.1955275878235287
have,11,3905,3.1325171846833464
both,1,361,3.080453187153983
dead,1,364,3.0550648367104065
go,4,1492,2.9813501355565357
down,3,1125,2.965449601500234
there,6,2299,2.9022451515335046
things,3,1162,2.871024786306165
man,7,2737,2.8441012802112224
