word,numInChap,numInKjv,relativeFreq
TOTAL (Rom 8),903,790663
conquerors,1,1,875.5957918050941
foreknow,1,1,875.5957918050941
groaneth,1,1,875.5957918050941
joint-heirs,1,1,875.5957918050941
predestinate,2,2,875.5957918050941
subjected,1,1,875.5957918050941
conformed,1,2,437.79789590254705
mortify,1,2,437.79789590254705
peril,1,2,437.79789590254705
adoption,2,5,350.23831672203767
abba,1,3,291.86526393503135
groanings,1,3,291.86526393503135
intercession,3,9,291.86526393503135
manifestation,1,3,291.86526393503135
spiritually,1,3,291.86526393503135
carnally,1,4,218.89894795127353
condemneth,1,4,218.89894795127353
helpeth,1,4,218.89894795127353
justifieth,1,4,218.89894795127353
compared,1,5,175.11915836101883
debtors,1,5,175.11915836101883
heirs,2,11,159.19923487365347
creation,1,6,145.93263196751568
mortal,1,6,145.93263196751568
groan,1,7,125.08511311501344
principalities,1,7,125.08511311501344
travaileth,1,7,125.08511311501344
creature,4,29,120.77183335242677
minded,2,15,116.74610557401255
earnest,1,8,109.44947397563676
enmity,1,8,109.44947397563676
reckon,1,8,109.44947397563676
searcheth,1,8,109.44947397563676
sinful,1,8,109.44947397563676
waiting,1,8,109.44947397563676
subject,2,17,103.01126962412872
persecution,1,10,87.55957918050942
sufferings,1,10,87.55957918050942
carnal,1,11,79.59961743682673
waiteth,1,11,79.59961743682673
accounted,1,12,72.96631598375784
condemnation,1,12,72.96631598375784
depth,1,12,72.96631598375784
infirmities,1,12,72.96631598375784
spared,1,12,72.96631598375784
quicken,1,13,67.3535224465457
expectation,1,14,62.54255655750672
powers,1,14,62.54255655750672
sending,1,14,62.54255655750672
separate,2,32,54.72473698781838
itself,3,50,52.53574750830565
ourselves,3,51,51.505634812064365
freely,1,17,51.50563481206436
uttered,1,17,51.50563481206436
bondage,2,39,44.90234829769714
elect,1,20,43.77978959025471
persuaded,1,20,43.77978959025471
redemption,1,20,43.77978959025471
condemned,1,21,41.69503770500448
corruption,1,21,41.69503770500448
wit,1,21,41.69503770500448
justified,2,43,40.725385665353215
hope,6,130,40.41211346792742
tribulation,1,22,39.79980871841337
spirit,21,505,36.41091411466728
beareth,1,25,35.02383167220376
glorified,2,50,35.02383167220376
pain,1,25,35.02383167220376
willingly,1,25,35.02383167220376
liberty,1,27,32.42947377055904
mind,3,95,27.650393425424024
firstfruits,1,32,27.36236849390919
bodies,1,33,26.53320581227558
deeds,1,33,26.53320581227558
distress,1,33,26.53320581227558
likeness,1,34,25.75281740603218
patience,1,34,25.75281740603218
flesh,12,420,25.01702262300269
purpose,1,36,24.322105327919278
revealed,1,38,23.041994521186687
please,1,39,22.45117414884857
whereby,1,39,22.45117414884857
maketh,3,126,20.847518852502244
raised,2,85,20.602253924825742
glorious,1,45,19.457684262335423
weak,1,46,19.034691126197696
risen,1,51,17.168544937354785
present,2,106,16.52067531707725
seeth,1,54,16.21473688527952
nay,1,55,15.919923487365347
slaughter,1,56,15.63563913937668
nakedness,1,57,15.361329680791124
dwelleth,1,58,15.096479169053346
body,3,175,15.010213573801614
free,1,59,14.840606640764307
height,1,62,14.122512771049905
rather,1,62,14.122512771049905
christ,9,571,13.800984459274689
killed,1,67,13.068593907538718
led,1,68,12.87640870301609
worthy,1,68,12.87640870301609
indeed,1,70,12.508511311501342
reason,1,71,12.332335095846396
received,2,160,10.944947397563677
fulfilled,1,82,10.677997461037732
live,3,247,10.634766702086164
nor,9,756,10.423759426251118
vanity,1,86,10.181346416338304
cannot,2,184,9.517345563098848
angels,1,94,9.314848848990364
famine,1,96,9.12078949796973
saints,1,96,9.12078949796973
suffer,1,96,9.12078949796973
who,10,970,9.026760740258704
ought,1,97,9.026760740258702
we,19,1844,9.021865533783508
loved,1,98,8.934650936786674
image,1,101,8.669265265396971
charge,1,102,8.584272468677392
love,3,311,8.446261657283866
knoweth,1,104,8.419190305818212
saved,1,104,8.419190305818212
law,5,523,8.370896671176808
wait,1,106,8.260337658538624
walk,2,212,8.260337658538624
likewise,1,107,8.183138241169104
sin,4,448,7.81781956968834
life,4,450,7.78307370493417
hearts,1,113,7.748635325708797
firstborn,1,117,7.483724716282856
can,2,235,7.451879079192291
dead,3,364,7.216448833558468
death,3,372,7.061256385524953
us,11,1449,6.64703499644999
witness,1,135,6.485894754111808
sake,1,145,6.038591667621339
things,8,1162,6.028198222410286
delivered,2,291,6.017840493505802
after,8,1180,5.936242656305722
righteousness,2,306,5.722848312451595
through,3,463,5.673406858348343
if,10,1595,5.489628788746672
able,1,160,5.4724736987818385
also,11,1769,5.444631831461863
together,3,484,5.427246643420005
could,1,166,5.274673444609001
dwell,2,338,5.181040188195823
moreover,1,171,5.120443226930375
cry,1,181,4.837545811077868
within,1,186,4.707504257016635
sheep,1,188,4.657424424495182
or,6,1132,4.64096709437329
whom,4,763,4.590279380367465
are,15,2949,4.453691718235475
what,5,985,4.44464868936596
died,1,201,4.356197969179572
doth,1,207,4.229931361377266
called,3,624,4.209595152909107
long,1,211,4.149743089123669
might,2,475,3.68671912338987
lay,1,241,3.633177559357237
because,5,1209,3.6211571207820277
jesus,4,983,3.562953374588379
god,18,4470,3.5258890945171575
but,16,3994,3.507644634171634
whole,1,250,3.5023831672203762
only,1,253,3.460852932035945
know,3,763,3.442709535275599
seen,1,277,3.160995638285538
written,1,277,3.160995638285538
many,2,556,3.1496251503780366
for,32,8985,3.1184268600737908
brethren,2,564,3.1049496163301207
why,1,282,3.1049496163301207
our,4,1165,3.0063374825925977
own,2,596,2.938240912097631
any,3,917,2.8645445751529794
pray,1,313,2.7974306447447095
die,1,321,2.727712747056368
same,1,332,2.6373367223045006
did,3,1006,2.611120651506245
again,2,672,2.60593985656278
yea,1,340,2.575281740603218
do,4,1368,2.5602216134651874
none,1,358,2.4457983011315476
right,1,359,2.4389854924932983
until,1,366,2.392338228975667
is,18,6991,2.254430589685552
according,2,793,2.208312211362154
fear,1,400,2.188989479512735
glory,1,402,2.178098984589786
not,16,6597,2.1236217475945893
be,17,7012,2.122807823828665
work,1,420,2.084751885250224
sword,1,424,2.065084414634656
peace,1,429,2.041015831713506
neither,2,879,1.9922543613312722
now,3,1356,1.9371588314271995
other,1,464,1.8870598961316682
that,27,12916,1.8303721259474717
than,1,483,1.8128277263045427
then,4,2168,1.6154903907843063
how,1,543,1.6125152703592893
thing,1,549,1.5948921526504445
sons,2,1105,1.5847887634481341
so,3,1689,1.5552323122648208
ye,7,3985,1.5380603620164766
see,1,597,1.4666596177639768
children,3,1822,1.4417054749809453
from,6,3646,1.440914632701746
these,2,1225,1.4295441498858679
he,17,10430,1.4271455858759923
therefore,2,1237,1.41567630041244
time,1,619,1.4145327815914281
you,4,2613,1.340368605901407
by,4,2625,1.3342412065601432
to,20,13630,1.2848067377917745
yet,1,683,1.2819850538873998
more,1,686,1.2763787052552393
even,2,1394,1.256234995416204
made,2,1406,1.2455132173614425
as,5,3520,1.243744022450418
in,18,12674,1.243547755443561
good,1,720,1.216105266395964
should,1,783,1.1182577162261738
up,3,2380,1.1036921745442363
son,3,2393,1.0976963541225584
against,2,1667,1.0505048491962736
the,76,64016,1.03951012523724
with,7,6015,1.018980971344249
am,1,874,1.0018258487472473
give,1,880,0.9949952179603342
which,5,4414,0.9918393654339536
shall,11,9837,0.979114944582295
of,38,34747,0.9575687135175289
among,1,916,0.955890602407308
have,4,3905,0.8968970978797378
it,6,6129,0.857166707591869
may,1,1027,0.8525762335005785
say,1,1056,0.8291626816336118
them,6,6429,0.8171682611340123
him,6,6667,0.7879968127839455
all,5,5621,0.7788612273662108
father,1,1126,0.7776161561324103
hath,2,2263,0.7738363162219125
man,2,2737,0.6398215504604269
no,1,1393,0.6285684076131329
his,6,8478,0.6196714733227842
hand,1,1470,0.5956433957857783
they,5,7377,0.5934633264234066
at,1,1571,0.5573493264195379
day,1,1741,0.5029269338340575
your,1,1776,0.4930156485389043
come,1,1972,0.4440140932074514
into,1,2015,0.4345388544938432
was,2,4523,0.38717479186605974
there,1,2299,0.38085941357333364
this,1,2786,0.31428420380656646
will,1,3837,0.22819801715014182
me,1,4096,0.21376850385866555
and,12,51708,0.20320162260503463
i,2,8853,0.19780770175196977
thy,1,4603,0.19022285287966414
lord,1,7970,0.10986145442974832
a,1,8282,0.10572274713898745
