word,numInChap,numInKjv,relativeFreq
TOTAL (Rom 7),605,790663,25 verses
motions,1,1,1306.8809917355372
oldness,1,1,1306.8809917355372
newness,1,2,653.4404958677686
wretched,1,2,653.4404958677686
adulteress,2,5,522.7523966942149
allow,1,3,435.62699724517904
concupiscence,1,3,435.62699724517904
warring,1,3,435.62699724517904
revived,1,6,217.81349862258952
covet,1,8,163.36012396694215
sinful,1,8,163.36012396694215
married,3,30,130.68809917355372
taking,2,20,130.68809917355372
occasion,2,21,124.46485635576543
members,3,32,122.52009297520662
carnal,1,11,118.80736288504883
consent,1,15,87.12539944903581
forbid,2,37,70.64221576948849
lust,1,19,68.78321009134406
dwelleth,3,58,67.59729267597606
working,1,20,65.34404958677686
husband,6,126,62.23242817788273
law,23,523,57.47277783923012
bringing,1,24,54.45337465564738
inward,1,25,52.27523966942149
thank,1,27,48.40299969390878
spiritual,1,28,46.67432113341204
commandment,6,177,44.30105056730635
sin,14,448,40.84003099173554
liveth,3,96,40.84003099173554
loosed,1,32,40.84003099173554
deceived,1,34,38.4376762275158
ordained,1,35,37.33945690672963
letter,1,37,35.321107884744244
perform,1,42,31.11621408894136
mind,2,95,27.513284036537623
delight,1,51,25.62511748501053
held,1,52,25.132326764144945
present,2,106,24.658131919538437
appear,1,54,24.20149984695439
nay,1,55,23.761472577009766
exceeding,1,59,22.150525283653174
free,1,59,22.150525283653174
once,1,59,22.150525283653174
dead,6,364,21.541994369267098
dominion,1,62,21.078725673153826
become,2,135,19.361199877563514
except,1,74,17.660553942372122
death,5,372,17.565604727628187
would,6,451,17.386443349031538
find,2,156,16.754884509429964
sold,1,82,15.937573069945573
raised,1,85,15.375070491006317
hate,1,87,15.021620594661348
body,2,175,14.935782762691854
alive,1,88,14.850920360631104
good,8,720,14.520899908172634
just,1,94,13.902989273782312
wrought,1,100,13.068809917355372
fruit,2,208,12.566163382072473
bound,1,104,12.566163382072473
serve,2,209,12.506038198426193
long,2,211,12.387497551995613
known,2,222,11.773702628248081
another,4,453,11.539788006494808
myself,1,118,11.075262641826587
captivity,1,127,10.290401509728639
do,10,1368,9.553223623797786
flesh,3,420,9.33486422668241
she,6,982,7.985016242783323
wherein,1,167,7.82563468105112
sins,1,172,7.598145300788007
wherefore,2,348,7.510810297330674
know,4,763,6.851276496647639
manner,1,196,6.667760161916005
slew,1,196,6.667760161916005
died,1,201,6.501895481271329
without,2,426,6.1355915104954795
while,1,214,6.106920522128678
though,1,233,5.608931295002305
might,2,475,5.502656807307525
should,3,783,5.007206864887116
we,7,1844,4.9610449794732965
but,15,3994,4.908165967960205
i,33,8853,4.871464218600782
how,2,543,4.813557980609713
brethren,2,564,4.6343297579274365
christ,2,571,4.577516608530779
being,1,291,4.490999971599784
delivered,1,291,4.490999971599784
by,9,2625,4.480734828807556
deliver,1,296,4.4151384855930305
holy,2,611,4.277842853471481
evil,2,613,4.263885780540089
then,7,2168,4.2196341984081
if,5,1595,4.096805616725822
what,3,985,3.980348198179301
me,12,4096,3.828752905475207
more,2,686,3.8101486639520035
no,4,1393,3.7527092368572497
bring,2,727,3.595270953880432
woman,1,367,3.5609836287071857
is,18,6991,3.3648773925389315
under,1,392,3.3338800809580027
found,1,403,3.242880872792896
work,1,420,3.1116214088941363
so,4,1689,3.0950408330030483
that,30,12916,3.0354931675492502
am,2,874,2.990574351797568
which,10,4414,2.960763461113587
forth,2,888,2.9434256570620203
life,1,450,2.904179981634527
now,3,1356,2.8913296277334894
through,1,463,2.822637131178266
who,2,970,2.6945999829598706
her,4,1994,2.621626864063264
spirit,1,505,2.5878831519515586
speak,1,513,2.5475262996794097
man,5,2737,2.387433306056882
thing,1,549,2.3804753947823993
not,12,6597,2.3772278157990674
our,2,1165,2.243572518000922
see,1,597,2.189080388166729
called,1,624,2.0943605636787455
for,14,8985,2.03631985356678
had,3,2029,1.9323030927583105
from,5,3646,1.7922120018315102
god,6,4470,1.7542026734705198
an,2,1699,1.5384119973343582
my,5,4367,1.4963143940182475
it,7,6129,1.4926035147901386
were,3,2773,1.413863315977862
when,3,2847,1.3771137952956136
in,13,12674,1.3404965198486651
jesus,1,983,1.3294821889476471
be,7,7012,1.3046444583783172
did,1,1006,1.2990864728981484
over,1,1008,1.2965089203725568
to,13,13630,1.2464749004080693
say,1,1056,1.2375766967192587
o,1,1065,1.227118302099096
was,4,4523,1.155764750595213
hath,2,2263,1.1549986670221273
as,3,3520,1.113819027047333
after,1,1180,1.1075262641826584
ye,3,3985,0.9838501819840932
even,1,1394,0.9375042982320927
lord,1,1400,0.9334864226682409
made,1,1406,0.9295028390722171
are,2,2949,0.8863214592984315
with,4,6015,0.8690812912622026
the,40,64016,0.8165964707170316
shalt,1,1617,0.8082133529595158
against,1,1667,0.783971800681186
also,1,1769,0.7387682259669515
unto,5,9002,0.7258836879224269
into,1,2015,0.6485761745585793
came,1,2096,0.6235119235379472
this,1,2786,0.4690886546071562
of,12,34747,0.4513359973760741
shall,3,9837,0.3985608391996149
will,1,3837,0.3405996851017819
said,1,4002,0.3265569694491597
a,2,8282,0.31559550633555594
he,2,10430,0.25060038192435996
thou,1,5474,0.2387433306056882
all,1,5621,0.23249973167328536
them,1,6429,0.20327904677796502
and,8,51708,0.2021940112532741
him,1,6667,0.19602234764294843
