word,numInChap,numInKjv,relativeFreq
TOTAL (1Co 9),671,790663
beateth,1,1,1178.3353204172877
castaway,1,1,1178.3353204172877
ploweth,1,1,1178.3353204172877
thresheth,1,1,1178.3353204172877
uncertainly,1,1,1178.3353204172877
prize,1,2,589.1676602086438
striveth,1,2,589.1676602086438
abuse,1,3,392.77844013909584
mastery,1,3,392.77844013909584
muzzle,1,3,392.77844013909584
temperate,1,3,392.77844013909584
apostleship,1,4,294.5838301043219
dispensation,1,4,294.5838301043219
glorying,1,4,294.5838301043219
incorruptible,1,4,294.5838301043219
race,1,4,294.5838301043219
partaker,2,9,261.8522934260639
examine,1,5,235.66706408345755
planteth,1,5,235.66706408345755
warfare,1,5,235.66706408345755
gain,5,30,196.38922006954795
cephas,1,6,196.38922006954792
charges,1,6,196.38922006954792
corruptible,1,7,168.33361720246967
doubtless,1,7,168.33361720246967
obtain,2,15,157.11137605563835
feedeth,1,8,147.29191505216096
plow,1,8,147.29191505216096
apostle,2,19,124.03529688603028
necessity,1,10,117.83353204172877
treadeth,1,10,117.83353204172877
gospel,10,104,113.30147311704688
carnal,1,11,107.12139276520796
partakers,2,22,107.12139276520796
used,2,22,107.12139276520796
preach,4,50,94.26682563338301
doubt,1,13,90.64117849363751
subjection,1,14,84.16680860123483
weak,3,46,76.84795567938832
sakes,2,31,76.02163357530888
hinder,1,16,73.64595752608048
means,2,35,67.33344688098786
run,4,71,66.38508847421339
care,1,20,58.91676602086439
working,1,20,58.91676602086439
forbear,1,22,53.56069638260398
others,3,69,51.231970452925545
void,1,24,49.09730501738698
willingly,1,25,47.133412816691504
seal,1,26,45.320589246818756
eateth,2,56,42.08340430061742
spiritual,1,28,42.08340430061742
altogether,1,29,40.63225242818233
barnabas,1,29,40.63225242818233
free,2,59,39.94357018363687
jew,1,32,36.82297876304024
reap,1,32,36.82297876304024
sown,1,32,36.82297876304024
ordained,1,35,33.66672344049393
receiveth,1,37,31.846900551818585
air,1,39,30.21372616454584
reward,2,80,29.458383010432193
hope,3,130,27.19235354809125
power,6,272,25.992690891557817
milk,1,48,24.54865250869349
law,10,523,22.53031205386783
