word,numInChap,numInKjv,relativeFreq
TOTAL (2Co 13),315,790663,14 verses
reprobates,3,3,2510.0412698412697
foretell,1,1,2510.0412698412697
sharpness,1,1,2510.0412698412697
you-ward,1,3,836.6804232804233
selves,2,7,717.1546485260772
communion,1,4,627.5103174603174
edification,1,4,627.5103174603174
farewell,1,4,627.5103174603174
examine,1,5,502.008253968254
proof,1,5,502.008253968254
absent,2,11,456.37113997113994
finally,1,6,418.34021164021163
wish,1,6,418.34021164021163
honest,1,7,358.5773242630386
weakness,1,7,358.5773242630386
approved,1,8,313.7551587301587
heretofore,1,8,313.7551587301587
perfection,1,11,228.18556998556997
weak,3,46,163.69834368530022
greet,1,16,156.87757936507936
kiss,1,20,125.5020634920635
prove,1,25,100.4016507936508
use,1,35,71.71546485260771
crucified,1,37,67.83895323895324
salute,1,39,64.36003256003256
spare,1,40,62.75103174603175
write,2,91,55.16574219431362
witnesses,1,49,51.22533203757693
present,2,106,47.35926924228811
appear,1,54,46.48224573780129
speaking,1,62,40.48453661034306
comfort,1,66,38.03092833092833
since,1,70,35.857732426303855
established,1,74,33.91947661947662
except,1,74,33.91947661947662
amen,1,78,32.18001628001628
glad,1,89,28.20271089709292
power,3,272,27.6842787114846
destruction,1,94,26.702566700439043
mind,1,95,26.421487050960735
liveth,1,96,26.146263227513227
saints,1,96,26.146263227513227
being,3,291,25.87671412207495
perfect,1,99,25.353952220618886
coming,1,100,25.1004126984127
ghost,1,109,23.02790155817679
though,2,233,21.54541862524695
truth,2,237,21.181782867858818
sinned,1,119,21.09278378017874
live,2,247,20.324220808431335
trust,1,134,18.731651267472163
love,2,311,16.141744500586945
second,1,169,14.85231520616136
grace,1,170,14.764948646125115
whether,1,171,14.678603917200409
third,1,182,13.791435548578406
christ,3,571,13.187607372195815
yourselves,1,191,13.141577329011884
we,9,1844,12.250743724821815
peace,2,429,11.701824101824101
nothing,1,225,11.15573897707231
can,1,235,10.681026680175616
lest,1,240,10.458505291005292
seek,1,244,10.287054384595368
faith,1,247,10.162110404215667
strong,1,255,9.843299097416745
should,3,783,9.617016359545095
told,1,283,8.869403780357842
mighty,1,284,8.838173485356585
you,9,2613,8.645377508064074
own,2,596,8.422957281346543
holy,2,611,8.21617436936586
time,2,619,8.109987947790856
pray,1,313,8.0193011816015
toward,1,346,7.254454537113497
know,2,763,6.579400445193367
mouth,1,424,5.919908655286013
another,1,453,5.540929955499491
do,3,1368,5.504476468950154
through,1,463,5.421255442421749
other,1,464,5.409571702244116
three,1,485,5.175342824414989
jesus,2,983,5.106899836910009
given,1,498,5.04024351373749
ye,8,3985,5.038978709844456
how,1,543,4.622543775029963
brethren,1,564,4.450427783406507
are,5,2949,4.255749864091675
your,3,1776,4.239934577434577
evil,1,613,4.09468396385199
again,1,672,3.735180461073318
now,2,1356,3.7021257667275367
yet,1,683,3.6750238211438795
word,1,699,3.5909031042078254
lord,2,1400,3.5857732426303857
good,1,720,3.486168430335097
be,9,7012,3.221673050281151
according,1,793,3.165247502952421
if,2,1595,3.1473871722147586
but,5,3994,3.142264984778755
two,1,835,3.0060374489117003
am,1,874,2.8719007664087757
also,2,1769,2.8378081060952742
i,10,8853,2.8352437251115665
god,5,4470,2.807652427115514
one,2,1969,2.549559441179553
not,6,6597,2.282893378664184
which,4,4414,2.2746182780618667
or,1,1132,2.2173509450894606
things,1,1162,2.160104363030353
these,1,1225,2.0490132815030777
therefore,1,1237,2.029136030591164
every,1,1238,2.027496986947714
by,2,2625,1.9124123960695387
this,2,2786,1.8018961018243145
no,1,1393,1.8018961018243145
even,1,1394,1.8006034934298925
is,5,6991,1.7951947288236803
with,4,6015,1.6691878768686748
that,8,12916,1.5546864477183462
against,1,1667,1.5057236171813255
an,1,1699,1.4773639022020424
to,8,13630,1.4732450593345678
as,2,3520,1.4261598124098123
for,5,8985,1.3967953644080522
before,1,1798,1.3960185038049333
in,7,12674,1.3863254606981923
all,3,5621,1.3396413110698824
come,1,1972,1.2728404005280274
me,2,4096,1.2256060887896825
hath,1,2263,1.1091653865847413
shall,4,9837,1.0206531543524529
were,1,2773,0.9051717525572556
when,1,2847,0.8816442816442817
him,2,6667,0.7529747322157702
of,10,34747,0.7223763979167324
the,17,64016,0.666563071533704
will,1,3837,0.6541676491637399
have,1,3905,0.6427762534804788
was,1,4523,0.554950535008019
and,10,51708,0.48542609844536044
he,2,10430,0.48131184464837384
them,1,6429,0.3904248358751392
a,1,8282,0.30307187513176403
