word,numInChap,numInKjv,relativeFreq
TOTAL (Gal 3),648,790663,29 verses
schoolmaster,2,2,1220.1589506172838
disannulleth,1,1,1220.1589506172838
foreseeing,1,1,1220.1589506172838
galatians,1,1,1220.1589506172838
evidently,1,2,610.0794753086419
hangeth,1,2,610.0794753086419
ministereth,1,2,610.0794753086419
mediator,3,7,522.9252645502645
bewitched,1,3,406.71965020576124
concluded,1,3,406.71965020576124
disannul,1,3,406.71965020576124
addeth,1,4,305.03973765432096
continueth,1,5,244.03179012345677
evident,1,5,244.03179012345677
seeds,1,5,244.03179012345677
confirmed,2,13,187.7167616334283
promises,2,13,187.7167616334283
promise,7,53,161.1530689494526
serveth,1,9,135.57321673525377
heirs,1,11,110.92354096520762
justify,1,11,110.92354096520762
accounted,1,12,101.67991255144031
begun,1,12,101.67991255144031
greek,1,12,101.67991255144031
afterwards,1,13,93.85838081671415
effect,1,14,87.15421075837742
added,1,15,81.34393004115226
scripture,2,32,76.25993441358024
longer,1,17,71.77405591866376
faith,14,247,69.15880691757884
bond,1,19,64.21889213775178
hearing,2,39,62.57225387780943
thereto,1,20,61.00794753086419
justified,2,43,56.751579098478324
female,1,24,50.839956275720155
foolish,2,52,46.92919040835707
miracles,1,27,45.191072245084584
abraham,8,250,39.04508641975308
jew,1,32,38.12996720679012
learn,1,32,38.12996720679012
curse,3,101,36.24234506784011
law,15,523,34.994998583669705
ordained,1,35,34.86168430335096
cursed,2,72,33.89330418381344
crucified,1,37,32.97726893560227
forbid,1,37,32.97726893560227
worketh,1,37,32.97726893560227
revealed,1,38,32.10944606887589
male,1,46,26.525194578636604
christ,12,571,25.64256989038075
doeth,2,96,25.419978137860078
transgressions,1,48,25.419978137860078
suffered,1,50,24.403179012345678
vain,2,112,21.788552689594354
free,1,59,20.680660179953964
baptized,1,61,20.002605747824326
preached,1,61,20.002605747824326
redeemed,1,62,19.67998307447232
blessing,1,67,18.21132762115349
obey,1,69,17.683463052424404
seed,4,280,17.43084215167548
works,3,237,15.44505000781372
faithful,1,82,14.879987202649803
been,4,331,14.745123270299503
written,3,277,13.214717876721485
angels,1,94,12.98041436826898
just,1,94,12.98041436826898
under,4,392,12.45060153691106
perfect,1,99,12.32483788502307
gospel,1,104,11.732297602089268
shut,1,105,11.620561434450323
believed,1,116,10.518611643252447
might,4,475,10.275022742040285
live,2,247,9.879829559654121
spirit,4,505,9.66462535142403
gentiles,1,129,9.458596516413055
many,4,556,8.778121946886934
verily,1,140,8.71542107583774
believe,1,143,8.532580074246741
covenant,2,292,8.357253086419753
heathen,1,150,8.134393004115227
blessed,2,302,8.080522851770091
righteousness,2,306,7.97489510207375
through,3,463,7.905997520198384
should,5,783,7.791564180186998
received,1,160,7.625993441358024
given,3,498,7.350355124200505
could,1,166,7.350355124200505
till,1,169,7.2198754474395495
wherefore,2,348,7.012407762168299
thirty,1,174,7.012407762168299
kept,1,175,6.972336860670194
receive,1,176,6.932721310325476
cannot,1,184,6.631298644659151
book,1,188,6.49020718413449
having,1,193,6.322067101643958
manner,1,196,6.22530076845553
jesus,5,983,6.2063018851336915
tree,1,201,6.070442540384497
by,13,2625,6.042691945914167
would,2,451,5.4109044373272015
though,1,233,5.2367336936364115
truth,1,237,5.148350002604573
inheritance,1,239,5.105267575804535
are,12,2949,4.965041508106954
nor,3,756,4.841900597687634
only,1,253,4.822762650661201
being,1,291,4.192986084595478
neither,3,879,4.164365019171617
whose,1,314,3.8858565306282924
if,5,1595,3.8249496884554355
four,1,328,3.7199968006624506
one,6,1969,3.718107518386848
same,1,332,3.6751775621002527
sight,1,333,3.6641409928446964
nations,1,336,3.6314254482657256
yet,2,683,3.572939826112105
no,4,1393,3.503686864658389
made,4,1406,3.471291466905502
none,1,358,3.408265225187944
or,3,1132,3.23363679492213
after,3,1180,3.1020990269930944
ye,10,3985,3.061879424384652
flesh,1,420,2.905140358612581
you,6,2613,2.801742710946691
is,16,6991,2.7925251337257246
but,9,3994,2.7494818616814105
sin,1,448,2.7235690861992943
before,4,1798,2.714480424065148
life,1,450,2.711464334705075
now,3,1356,2.6994667049054955
among,2,916,2.664102512264812
we,4,1844,2.6467656195602687
gave,1,465,2.6239977432629757
it,13,6129,2.5880349743881044
us,3,1449,2.5262090074892005
god,9,4470,2.456695873726075
