word,numInChap,numInKjv,relativeFreq
TOTAL (Eph 6),470,790663
nurture,1,1,1682.2617021276596
perseverance,1,1,1682.2617021276596
threatening,1,1,1682.2617021276596
wrestle,1,1,1682.2617021276596
eyeservice,1,2,841.1308510638298
menpleasers,1,2,841.1308510638298
wiles,1,2,841.1308510638298
admonition,1,3,560.7539007092198
singleness,1,3,560.7539007092198
affairs,2,8,420.5654255319149
ambassador,1,4,420.5654255319149
darts,1,4,420.5654255319149
girt,1,4,420.5654255319149
shod,1,4,420.5654255319149
forbearing,1,5,336.45234042553193
tychicus,1,5,336.45234042553193
utterance,1,5,336.45234042553193
finally,1,6,280.3769503546099
watching,1,6,280.3769503546099
boldly,2,13,258.8094926350245
principalities,1,7,240.32310030395138
sincerity,1,7,240.32310030395138
helmet,1,8,210.28271276595746
preparation,1,9,186.91796690307328
thereunto,1,9,186.91796690307328
withstand,1,10,168.22617021276596
masters,2,22,152.93288201160541
armour,2,24,140.18847517730495
quench,1,12,140.18847517730495
powers,1,14,120.16155015197569
obedient,1,16,105.14135638297873
bond,1,19,88.5400895856663
doing,2,39,86.26983087834152
supplication,2,39,86.26983087834152
fiery,1,20,84.11308510638298
praying,1,20,84.11308510638298
taking,1,20,84.11308510638298
parents,1,21,80.10770010131712
mystery,1,22,76.46644100580271
knowing,2,51,65.97104714226116
bonds,1,26,64.70237315875613
trembling,1,26,64.70237315875613
breastplate,1,28,60.080775075987845
spiritual,1,28,60.080775075987845
respect,1,34,49.47828535669587
purpose,1,36,46.72949172576832
provoke,1,42,40.05385005065856
shield,1,45,37.383593380614656
gospel,2,104,32.351186579378066
promise,1,53,31.74078683259735
able,3,160,31.542406914893615
persons,1,56,30.040387537993922
free,1,59,28.512910205553553
devil,1,61,27.57806069061737
always,1,62,27.133253260123542
loins,1,63,26.702566700439043
having,3,193,26.149145628927347
comfort,1,66,25.4888136686009
obey,1,69,24.380604378661733
amen,1,78,21.56745771958538
rulers,1,78,21.56745771958538
faithful,1,82,20.51538661131292
stand,3,274,18.41892374592328
doeth,1,96,17.52355939716312
saints,1,96,17.52355939716312
ought,1,97,17.342904145645974
minister,1,100,16.822617021276596
wherewith,1,110,15.293288201160541
same,3,332,15.201159958984876
known,2,222,15.155510829978914
beloved,1,113,14.887271700244774
hearts,1,113,14.887271700244774
mayest,1,114,14.756681597611049
prayer,1,114,14.756681597611049
faith,2,247,13.62155224394866
open,1,124,13.566626630061771
whole,2,250,13.458093617021277
wickedness,1,127,13.24615513486346
service,1,132,12.74440683430045
christ,4,571,11.784670417706899
honour,1,146,11.522340425531915
may,7,1027,11.466243344589696
whatsoever,1,152,11.067511198208287
love,2,311,10.818403229116782
might,3,475,10.624810750279956
darkness,1,162,10.384331494615184
salvation,1,164,10.25769330565646
grace,1,170,9.895657071339173
whether,1,171,9.837787731740699
receive,1,176,9.558305125725338
commandment,1,177,9.504303401851185
master,1,181,9.294263547666628
wrath,1,198,8.496271222866968
flesh,2,420,8.010770010131713
long,1,211,7.9728042754865385
peace,2,429,7.842711898031047
places,1,215,7.8244730331519055
your,8,1776,7.577755414989457
above,1,223,7.5437744490029575
therein,1,230,7.31418131359852
truth,1,237,7.098150641888859
servants,2,480,7.009423758865249
live,1,247,6.81077612197433
spirit,2,505,6.6624225826838
strong,1,255,6.597104714226115
feet,1,256,6.5713347739361705
speak,2,513,6.5585251544937995
well,1,262,6.4208461913269455
power,1,272,6.184785669586984
against,6,1667,6.054931141431288
brethren,2,564,5.965467028821488
world,1,288,5.84118646572104
righteousness,1,306,5.497587261855097
mother,1,320,5.257067819148936
wicked,1,344,4.890295645719941
wherefore,1,348,4.8340853509415505
right,1,359,4.685965744088188
good,2,720,4.672949172576832
know,2,763,4.409598170714704
fear,1,400,4.205654255319149
brother,1,402,4.184730602307611
high,1,416,4.043898322422258
heart,2,833,4.039043702587418
mouth,1,424,3.967598354074669
sword,1,424,3.967598354074669
first,1,430,3.9122365165759527
take,2,874,3.8495691124202738
blood,1,447,3.7634489980484553
jesus,2,983,3.4227094651630914
given,1,498,3.3780355464410836
with,12,6015,3.356133071576378
make,2,1055,3.189121710194615
how,1,543,3.098087849222209
fathers,1,549,3.064228965624152
thing,1,549,3.064228965624152
father,2,1126,2.9880314425002834
done,1,565,2.977454340048955
ye,7,3985,2.9550393763848475
things,2,1162,2.895459039806643
our,2,1165,2.88800292210757
heaven,1,583,2.885526075690668
evil,1,613,2.7443094651348447
about,1,632,2.661806490708322
on,3,2016,2.50336562816616
do,2,1368,2.4594469329351747
sent,1,686,2.4522765337137895
word,1,699,2.4066691017563087
be,10,7012,2.399118228932772
all,8,5621,2.3942525559546834
as,5,3520,2.3895762814313346
bring,1,727,2.3139775820187887
whom,1,763,2.204799085357352
according,1,793,2.121389283893644
you,3,2613,1.9314141241419742
am,1,874,1.9247845562101369
neither,1,879,1.91383583859802
also,2,1769,1.9019352200425772
god,5,4470,1.8817244990242277
children,2,1822,1.8466099913585725
put,1,911,1.8466099913585725
any,1,917,1.83452748323627
earth,1,987,1.7044191510918536
that,13,12916,1.6932023945230392
lord,8,7970,1.6885939293627699
but,4,3994,1.6847888854558433
to,13,13630,1.6045049249933656
in,12,12674,1.5927994654830293
or,1,1132,1.4860969100067662
therefore,1,1237,1.3599528715664186
this,2,2786,1.207653770371615
is,5,6991,1.2031624246371475
my,3,4367,1.1556640958055824
which,3,4414,1.1433586557279063
i,6,8853,1.1401299235023108
for,6,8985,1.1233801015877525
the,40,64016,1.0511507761357533
them,4,6429,1.046670836601437
not,4,6597,1.0200161904669758
of,21,34747,1.0167063557913159
men,1,1677,1.0031375683528083
an,1,1699,0.9901481472205177
day,1,1741,0.9662617473450084
unto,5,9002,0.9343821940278048
from,2,3646,0.9227985200919692
we,1,1844,0.9122894263165182
will,2,3837,0.8768630190918215
me,2,4096,0.8214168467420213
and,23,51708,0.748279166646093
there,1,2299,0.73173627756749
up,1,2380,0.7068326479527982
man,1,2737,0.6146370851763463
are,1,2949,0.570451577527182
shall,3,9837,0.5130410802463127
he,3,10430,0.48387201403480135
thee,1,3826,0.43969202878401975
have,1,3905,0.43079685073691665
thy,1,4603,0.3654707152134824
thou,1,5474,0.30731854258817315
it,1,6129,0.2744757223246304
him,1,6667,0.2523266389871996
a,1,8282,0.20312263971596953
his,1,8478,0.19842671645761495
