word,numInChap,numInKjv,relativeFreq
TOTAL (Eph 1),508,790663,0
predestinated,2,2,1556.4232283464567
principality,1,2,778.2116141732283
prudence,1,3,518.8077427821522
us-ward,1,3,518.8077427821522
blame,1,4,389.10580708661416
dispensation,1,4,389.10580708661416
abounded,1,5,311.28464566929136
adoption,1,5,311.28464566929136
enlightened,1,6,259.4038713910761
filleth,1,6,259.4038713910761
forgiveness,1,7,222.34617547806525
earnest,1,8,194.55290354330708
purchased,1,9,172.9359142607174
redemption,2,20,155.64232283464568
revelation,1,10,155.64232283464568
heavenly,2,23,135.3411502909962
blessings,1,12,129.70193569553805
fulness,2,25,124.51385826771653
trusted,2,29,107.3395329894108
ephesus,1,17,91.55430754979157
apostle,1,19,81.91701201823457
purposed,1,19,81.91701201823457
working,1,20,77.82116141732284
mystery,1,22,70.74651037938439
mention,1,23,67.6705751454981
calling,1,24,64.85096784776903
prayers,1,24,64.85096784776903
obtained,1,28,55.58654386951631
spiritual,1,28,55.58654386951631
accepted,1,29,53.6697664947054
making,1,30,51.88077427821523
pleasure,2,61,51.03026978185103
greatness,1,32,48.63822588582677
saints,3,96,48.63822588582677
purpose,1,36,43.23397856517935
sealed,1,36,43.23397856517935
worketh,1,37,42.06549265801234
riches,2,98,31.76373935400932
promise,1,53,29.366476006536917
foundation,1,54,28.822652376786234
grace,3,170,27.46629226493747
named,1,57,27.305670672744853
christ,10,571,27.2578498834756
exceeding,1,59,26.380054717736556
dominion,1,62,25.103600457200915
cease,1,70,22.234617547806522
thanks,1,73,21.32086614173228
church,1,77,20.213288679824114
inheritance,3,239,19.536693242842553
glory,5,402,19.358497865005678
faithful,1,82,18.98077107739581
praise,3,248,18.827700342900684
wherein,2,167,18.63979914187373
raised,1,85,18.31086150995831
power,3,272,17.16643266558592
having,2,193,16.12873811757986
wrought,1,100,15.564232283464566
gospel,1,104,14.965607964869776
possession,1,104,14.965607964869776
places,2,215,14.478355612525178
beloved,1,113,13.773656888021739
believed,1,116,13.41744162367635
wisdom,2,234,13.302762635439802
chosen,1,123,12.653847384930542
hope,1,130,11.97248637189582
according,6,793,11.776216103504085
jesus,7,983,11.083380059435601
believe,1,143,10.884078519905291
counsel,1,143,10.884078519905291
world,2,288,10.808494641294837
being,2,291,10.697066861487675
times,1,146,10.66043307086614
blessed,2,302,10.307438598320905
love,2,311,10.009152593867888
understanding,1,160,9.727645177165355
paul,1,162,9.60755079226208
salvation,1,164,9.490385538697906
gather,1,165,9.432868050584586
knowledge,1,172,9.048972257828236
sins,1,172,9.048972257828236
far,1,173,8.996666059806108
body,1,175,8.89384701912261
whom,4,763,8.159492678094136
known,1,222,7.010915443002057
above,1,223,6.979476360298012
truth,1,237,6.567186617495598
might,2,475,6.553360961458766
us,6,1449,6.44481668052363
who,4,970,6.418240116892605
faith,1,247,6.301308616787274
spirit,2,505,6.164052389490918
only,1,253,6.151870467772556
feet,1,256,6.079778235728346
himself,2,528,5.895542531615366
mighty,1,284,5.480363480093158
things,4,1162,5.357739168146151
our,4,1165,5.343942414923456
after,4,1180,5.27601094354731
own,2,596,5.2228967394176395
holy,2,611,5.094675051870563
heard,2,641,4.856234721829818
what,3,985,4.740375314760781
