word,numInChap,numInKjv,relativeFreq
TOTAL (Php 3),483,790663
concision,1,1,1636.983436853002
conformable,1,1,1636.983436853002
forgetting,1,1,1636.983436853002
persecuting,1,1,1636.983436853002
apprehended,2,3,1091.3222912353347
apprehend,1,2,818.491718426501
prize,1,2,818.491718426501
win,1,2,818.491718426501
ensample,1,3,545.6611456176673
whereto,1,3,545.6611456176673
loss,3,10,491.0950310559006
reaching,1,4,409.2458592132505
attained,2,10,327.39668737060043
earthly,1,5,327.39668737060043
attain,1,6,272.83057280883367
finally,1,6,272.83057280883367
thinketh,1,6,272.83057280883367
doubtless,1,7,233.85477669328603
fashioned,1,7,233.85477669328603
reveal,1,7,233.85477669328603
minded,2,15,218.26445824706695
followers,1,8,204.62292960662526
stock,1,8,204.62292960662526
subdue,1,8,204.62292960662526
count,3,26,188.88270425226943
press,1,9,181.88704853922246
beware,3,28,175.3910825199645
sufferings,1,10,163.69834368530022
already,3,31,158.41775195351633
pharisee,1,13,125.92180283484632
safe,1,13,125.92180283484632
blameless,1,15,109.13222912353348
often,1,15,109.13222912353348
otherwise,1,15,109.13222912353348
touching,2,30,109.13222912353348
zeal,1,16,102.31146480331263
fellowship,1,17,96.29314334429425
mark,2,37,88.48559118124336
confidence,2,38,86.15702299226328
vile,1,19,86.15702299226328
conversation,1,20,81.84917184265011
working,1,20,81.84917184265011
resurrection,2,41,79.85285057819522
hebrews,1,21,77.95159223109533
calling,1,24,68.20764320220842
dogs,1,24,68.20764320220842
change,1,26,62.96090141742316
excellency,1,26,62.96090141742316
hebrew,1,26,62.96090141742316
workers,1,27,60.62901617974082
cross,1,28,58.46369417332151
dung,1,28,58.46369417332151
gain,1,30,54.56611456176674
means,1,35,46.7709553386572
circumcision,1,36,45.471762134805616
saviour,1,37,44.24279559062168
grievous,1,38,43.07851149613164
circumcised,1,39,41.97393427828211
eighth,1,39,41.97393427828211
whereby,1,39,41.97393427828211
counted,1,40,40.924585921325054
either,1,41,39.92642528909761
weeping,1,44,37.20416901938641
glorious,1,45,36.37740970784449
mind,2,95,34.46280919690531
belly,1,49,33.407825241898
perfect,2,99,33.07037246167681
suffered,1,50,32.73966873706004
christ,9,571,25.801840510817897
rule,1,66,24.80277934625761
indeed,1,70,23.3854776693286
walk,3,212,23.16485995546701
whereof,1,71,23.056104744408483
whence,1,72,22.735881067402808
behind,1,74,22.12139779531084
church,1,77,21.259525153935094
follow,1,86,19.0346911261977
body,2,175,18.708382135462884
write,1,91,17.98882897640662
destruction,1,94,17.41471741332981
rejoice,2,192,17.051910800552104
nevertheless,1,97,16.876117905701054
shame,1,100,16.36983436853002
righteousness,3,306,16.048857224049037
whose,3,314,15.639969141907661
worship,1,108,15.157254044935206
same,3,332,14.79201900770785
though,2,233,14.051359972987143
myself,1,118,13.87274099027968
faith,2,247,13.25492661419435
trust,1,134,12.21629430487315
flesh,3,420,11.692738834664299
things,8,1162,11.270109720158363
look,1,155,10.561183463567756
those,3,465,10.561183463567755
might,3,475,10.338842759071591
able,1,160,10.231146480331264
benjamin,1,166,9.861346005138568
knowledge,1,172,9.51734556309885
law,3,523,9.389962352885288
thing,3,549,8.945264682256841
brethren,3,564,8.707358706664904
having,1,193,8.481779465559596
jesus,5,983,8.326467125396755
tell,1,217,7.5437024739769685
concerning,1,242,6.764394367161166
tribe,1,242,6.764394367161166
may,4,1027,6.375787485308675
enemies,1,270,6.062901617974082
power,1,272,6.018321459018391
many,2,556,5.888429628967634
told,1,283,5.784393769798594
being,1,291,5.625372635233685
any,3,917,5.355452901372962
end,1,307,5.332193605384371
yea,1,340,4.814657167214712
toward,1,346,4.731166002465324
us,4,1449,4.518932882962049
dead,1,364,4.497207244101655
death,1,372,4.400493109819898
whom,2,763,4.290913333821762
if,4,1595,4.105287615932294
glory,1,402,4.072098101624383
found,1,403,4.061993639833752
high,1,416,3.9350563385889474
through,1,463,3.5356013754924454
other,1,464,3.527981544941815
even,3,1394,3.5229198784497893
together,1,484,3.382197183580583
who,2,970,3.3752235811402107
which,9,4414,3.337755081938609
let,3,1511,3.2501325682058275
spirit,1,505,3.2415513601049546
you,5,2613,3.1323831550956793
himself,1,528,3.100347418282201
i,16,8853,2.9585151914207657
have,7,3905,2.934413331106534
but,7,3994,2.869024551319733
our,2,1165,2.8102719945974286
heaven,1,583,2.80786181278388
also,3,1769,2.7761166255279854
own,1,596,2.746616504786916
evil,1,613,2.670446063381733
we,3,1844,2.66320515756996
is,11,6991,2.575714176138324
mine,1,650,2.5184360566969266
like,1,669,2.4469109668953695
do,2,1368,2.3932506386739796
more,1,686,2.386273231564143
as,5,3520,2.3252605637116504
thus,1,737,2.2211444190678455
are,4,2949,2.220391233439135
know,1,763,2.145456666910881
according,1,793,2.064291849751579
for,11,8985,2.0040976967593793
an,2,1699,1.926996394176577
am,1,874,1.8729787607013755
by,3,2625,1.8708382135462878
forth,1,888,1.8434498162759032
god,5,4470,1.831077669857944
what,1,985,1.6619121186324894
in,12,12674,1.5499290864948732
be,6,7012,1.4007274131657177
after,1,1180,1.387274099027968
therefore,1,1237,1.3233495851681507
now,1,1356,1.2072149239328924
me,3,4096,1.1989624781638197
were,2,2773,1.1806588076833768
no,1,1393,1.1751496316245529
this,2,2786,1.1751496316245529
made,1,1406,1.1642840944900443
of,24,34747,1.1306761010870592
unto,6,9002,1.0910798290511012
that,8,12916,1.0139259441641388
not,4,6597,0.9925623385496452
so,1,1689,0.9692027453244536
day,1,1741,0.9402547023854119
the,36,64016,0.9205730399698213
before,1,1798,0.9104468503075652
all,3,5621,0.8736791159151406
to,7,13630,0.8407104958159218
their,2,3932,0.8326467125396755
one,1,1969,0.8313780786455065
ye,2,3985,0.8215726157355092
had,1,2029,0.8067932167831455
his,4,8478,0.772344155155934
my,2,4367,0.7497061767130764
hath,1,2263,0.7233687303813532
israel,1,2575,0.6357217230497095
lord,3,7970,0.6161794618016319
man,1,2737,0.5980940580390948
it,2,6129,0.5341763540065271
them,2,6429,0.5092497859240946
him,2,6667,0.49107047753202404
he,3,10430,0.470848543677757
from,1,3646,0.4489806464215585
and,12,51708,0.3798986857398473
shall,2,9837,0.3328216807671042
they,1,7377,0.22190367857570856
a,1,8282,0.197655570738107
