word,numInChap,numInKjv,relativeFreq
TOTAL (Php 4),467,790663,0
clement,1,1,1693.0685224839401
euodias,1,1,1693.0685224839401
moderation,1,1,1693.0685224839401
philippians,1,1,1693.0685224839401
requests,1,1,1693.0685224839401
syntyche,1,1,1693.0685224839401
yokefellow,1,1,1693.0685224839401
caesar,1,2,846.5342612419701
communicated,1,2,846.5342612419701
epaphroditus,1,2,846.5342612419701
fellowlabourers,1,2,846.5342612419701
flourished,1,2,846.5342612419701
odour,1,2,846.5342612419701
wellpleasing,1,2,846.5342612419701
chiefly,1,3,564.3561741613133
careful,2,7,483.73386356684006
abased,1,4,423.26713062098503
communicate,1,4,423.26713062098503
lovely,1,4,423.26713062098503
abound,4,19,356.4354784176716
dearly,2,10,338.61370449678805
opportunity,1,5,338.61370449678805
saint,1,5,338.61370449678805
supply,1,5,338.61370449678805
finally,1,6,282.17808708065667
thessalonica,1,6,282.17808708065667
honest,1,7,241.86693178342003
receiving,1,7,241.86693178342003
strengtheneth,1,7,241.86693178342003
virtue,1,7,241.86693178342003
longed,1,8,211.63356531049251
necessity,1,10,169.30685224839402
lacked,1,11,153.91532022581274
learned,2,22,153.91532022581274
state,1,14,120.93346589171001
intreat,1,15,112.87123483226269
content,1,16,105.81678265524626
greet,1,16,105.81678265524626
minds,1,16,105.81678265524626
account,1,17,99.59226602846707
instructed,1,19,89.1088696044179
laboured,1,19,89.1088696044179
salute,2,39,86.82402679404822
care,1,20,84.65342612419701
smell,1,20,84.65342612419701
whatsoever,7,152,77.97026090386566
acceptable,1,23,73.61167489060608
alway,1,23,73.61167489060608
need,2,49,69.10483765240572
macedonia,1,26,65.11802009553615
thanksgiving,1,28,60.46673294585501
giving,1,29,58.381673189101384
hungry,1,30,56.43561741613134
report,1,30,56.43561741613134
want,1,31,54.615113628514194
beseech,2,67,50.53935888011762
respect,1,34,49.79613301423353
notwithstanding,1,36,47.02968118010944
therewith,1,36,47.02968118010944
passeth,1,38,44.55443480220895
amen,2,78,43.41201339702411
supplication,1,39,43.41201339702411
true,2,81,41.80416104898618
rejoiced,1,47,36.0227345209349
gospel,2,104,32.559010047768076
desire,2,111,30.505739143854775
beloved,2,113,29.965814557237877
gift,1,59,28.696076652270172
once,1,59,28.696076652270172
household,1,61,27.75522168006459
think,1,65,26.047208038214464
crown,1,66,25.65255337096879
affliction,1,75,22.574246966452538
church,1,77,21.987902889401823
received,2,160,21.163356531049253
fast,1,85,19.91845320569341
last,1,85,19.91845320569341
greatly,1,87,19.46055772970046
both,4,361,18.759762021982716
just,1,94,18.01136726046745
mind,1,95,17.82177392088358
rejoice,2,192,17.63613044254104
saints,1,96,17.63613044254104
suffer,1,96,17.63613044254104
names,1,97,17.45431466478289
pure,1,97,17.45431466478289
riches,1,98,17.27620941310143
things,11,1162,16.027326804925423
beginning,1,106,15.972344551735285
sweet,1,108,15.676560393369815
known,2,222,15.252869571927388
hearts,1,113,14.982907278618939
prayer,1,114,14.851478267402983
christ,5,571,14.825468673239405
help,1,126,13.437051765745558
full,2,260,13.023604019107232
understanding,1,160,10.581678265524626
joy,1,165,10.261021348387516
wherein,1,167,10.138134865173294
grace,1,170,9.959226602846705
women,1,179,9.458483365832068
book,1,188,9.005683630233724
brethren,3,564,9.005683630233724
having,1,193,8.772375764165492
glory,2,402,8.423226480019602
fruit,1,208,8.139752511942019
peace,2,429,7.893093344913474
departed,1,217,7.802159089787743
sacrifice,1,218,7.766369369192386
again,3,672,7.558341618231875
nothing,1,225,7.524748988817511
through,2,463,7.313470939455465
those,2,465,7.28201515046856
can,1,235,7.204546904186979
ever,2,476,7.113733287747648
concerning,1,242,6.996150919355124
jesus,4,983,6.8893937842683215
praise,1,248,6.826889203564274
only,1,253,6.691970444600554
know,3,763,6.65688803073633
well,1,262,6.462093597266947
how,2,543,6.235979824986888
stand,1,274,6.179082198846497
seen,1,277,6.112160730988953
am,3,874,5.811448017679428
your,6,1776,5.71982608947277
whose,1,314,5.391937969694077
are,9,2949,5.167045338201241
same,1,332,5.099603983385362
sent,2,686,4.936059832314695
keep,1,362,4.676984868740166
where,1,401,4.2221160161694264
every,3,1238,4.10275086223895
also,4,1769,3.828306438629599
life,1,450,3.7623744944087556
now,3,1356,3.7457268196547346
any,2,917,3.6926249127239696
other,1,464,3.6488545743188365
ye,8,3985,3.3988828556766677
speak,1,513,3.3003285038673296
you,5,2613,3.2397024923152316
be,13,7012,3.138889160338166
thing,1,549,3.083913520007177
i,16,8853,3.0598775962660167
done,1,565,2.996581455723788
but,7,3994,2.9673208956904307
our,2,1165,2.9065554034059056
my,7,4367,2.7138721450395193
heard,1,641,2.641292546776818
with,9,6015,2.5332696097016556
me,6,4096,2.480080843482334
do,2,1368,2.4752463779004974
all,8,5621,2.4096331933591033
good,1,720,2.351484059005472
which,6,4414,2.3014071442917174
god,6,4470,2.27257519796502
let,2,1511,2.2409907643731835
at,2,1571,2.1554023201577848
according,1,793,2.135017052312661
if,2,1595,2.1229699341491415
in,15,12674,2.0037894774545606
have,4,3905,1.7342571293049323
did,1,1006,1.6829706982941752
may,1,1027,1.6485574707730672
say,1,1056,1.6032845856855493
father,1,1126,1.5036132526500356
there,2,2299,1.4728738777589736
because,1,1209,1.4003875289362615
these,1,1225,1.3820967530481145
therefore,1,1237,1.368689185516524
by,2,2625,1.2899569695115733
lord,6,7970,1.2745810708787504
to,10,13630,1.2421632593425826
were,2,2773,1.221109644777454
no,1,1393,1.2154117175046233
even,1,1394,1.2145398296154521
made,1,1406,1.204173913573215
hand,1,1470,1.151747294206762
men,1,1677,1.0095817069075375
so,1,1689,1.0024088351000238
an,1,1699,0.9965088419564098
for,5,8985,0.9421638967634612
from,2,3646,0.9287265619769283
that,7,12916,0.9175812679922252
on,1,2016,0.8398157353590974
and,23,51708,0.7530860991941406
unto,4,9002,0.7523077193885538
hath,1,2263,0.7481522414864958
a,3,8282,0.6132824882216639
when,1,2847,0.5946851150277275
of,12,34747,0.5847072342880617
shall,3,9837,0.5163368473571027
not,2,6597,0.5132843785005125
as,1,3520,0.4809853757056648
they,2,7377,0.45901274840285755
the,17,64016,0.4496089240537831
thee,1,3826,0.4425166028447308
is,1,6991,0.24217830388841943
his,1,8478,0.1997014062849658
