word,numInChap,numInKjv,relativeFreq
TOTAL (Col 2),503,790663
acknowledgement,1,1,1571.8946322067593
beguile,2,2,1571.8946322067593
blotting,1,1,1571.8946322067593
handwriting,1,1,1571.8946322067593
intruding,1,1,1571.8946322067593
joying,1,1,1571.8946322067593
nailing,1,1,1571.8946322067593
neglecting,1,1,1571.8946322067593
nourishment,1,1,1571.8946322067593
philosophy,1,1,1571.8946322067593
rudiments,2,2,1571.8946322067593
vainly,1,1,1571.8946322067593
conflict,1,2,785.9473161033796
enticing,1,2,785.9473161033796
holyday,1,2,785.9473161033796
principality,1,2,785.9473161033796
satisfying,1,2,785.9473161033796
stedfastness,1,2,785.9473161033796
triumphing,1,2,785.9473161033796
using,1,2,785.9473161033796
abounding,1,3,523.964877402253
complete,1,3,523.964877402253
fleshly,1,3,523.964877402253
godhead,1,3,523.964877402253
knit,2,6,523.964877402253
operation,1,3,523.964877402253
humility,2,7,449.11275205907407
bodily,1,4,392.9736580516898
stablished,1,4,392.9736580516898
voluntary,1,4,392.9736580516898
doctrines,1,5,314.3789264413519
laodicea,1,5,314.3789264413519
worshipping,1,5,314.3789264413519
joints,1,6,261.9824387011265
puffed,1,6,261.9824387011265
assurance,1,7,224.55637602953703
principalities,1,7,224.55637602953703
quickened,1,7,224.55637602953703
rooted,1,8,196.4868290258449
holding,1,9,174.65495913408435
absent,1,11,142.8995120187963
handle,1,11,142.8995120187963
tradition,1,11,142.8995120187963
trespasses,1,12,130.99121935056326
ordinances,2,27,116.4366394227229
powers,1,14,112.27818801476852
beholding,1,15,104.79297548045062
increaseth,1,15,104.79297548045062
openly,1,15,104.79297548045062
uncircumcision,1,16,98.24341451292246
putting,1,17,92.46439012980937
subject,1,17,92.46439012980937
circumcision,2,36,87.32747956704218
baptism,1,22,71.44975600939814
mystery,1,22,71.44975600939814
taste,1,22,71.44975600939814
contrary,1,24,65.49560967528163
fulness,1,25,62.87578528827037
beware,1,28,56.13909400738426
cross,1,28,56.13909400738426
thanksgiving,1,28,56.13909400738426
deceit,1,34,46.23219506490469
respect,1,34,46.23219506490469
comforted,1,36,43.66373978352109
ministered,1,37,42.48363870829079
circumcised,1,39,40.30499056940409
forgiven,1,42,37.426062671589506
body,4,175,35.92902016472593
bands,1,46,34.17162243927737
touch,1,48,32.747804837640814
moon,1,51,30.821463376603123
risen,1,51,30.821463376603123
spoiled,1,55,28.57990240375926
dwelleth,1,58,27.10163158977171
order,1,61,25.768764462405887
treasures,1,62,25.353139229141277
