word,numInChap,numInKjv,relativeFreq
TOTAL (Col 3),457,790663,25 verses
admonishing,1,1,1730.1159737417943
heartily,1,1,1730.1159737417943
humbleness,1,1,1730.1159737417943
perfectness,1,1,1730.1159737417943
scythian,1,1,1730.1159737417943
eyeservice,1,2,865.0579868708971
hymns,1,2,865.0579868708971
inordinate,1,2,865.0579868708971
menpleasers,1,2,865.0579868708971
mortify,1,2,865.0579868708971
richly,1,2,865.0579868708971
affection,2,6,576.705324580598
barbarian,1,3,576.705324580598
concupiscence,1,3,576.705324580598
singleness,1,3,576.705324580598
thankful,1,3,576.705324580598
forgiving,1,4,432.52899343544857
quarrel,1,4,432.52899343544857
forbearing,1,5,346.0231947483589
idolatry,1,5,346.0231947483589
communication,1,6,288.352662290299
discouraged,1,6,288.352662290299
disobedience,1,6,288.352662290299
malice,1,6,288.352662290299
pleasing,1,6,288.352662290299
renewed,1,6,288.352662290299
fearing,1,8,216.26449671772428
fit,1,9,192.23510819353268
forgave,1,9,192.23510819353268
psalms,1,9,192.23510819353268
bond,2,19,182.11747092018888
husbands,2,19,182.11747092018888
greek,1,12,144.1763311451495
submit,1,12,144.1763311451495
wrong,2,26,133.08584413398415
blasphemy,1,14,123.57971241012817
meekness,1,14,123.57971241012817
uncircumcision,1,16,108.13224835886214
filthy,1,17,101.77152786716437
longsuffering,1,17,101.77152786716437
covetousness,1,19,91.05873546009444
deed,1,19,91.05873546009444
elect,1,20,86.50579868708972
songs,1,20,86.50579868708972
parents,1,21,82.38647494008544
masters,1,22,78.64163517008156
teaching,1,25,69.20463894967178
appear,2,54,64.07836939784423
charity,1,28,61.78985620506408
spiritual,1,28,61.78985620506408
giving,1,29,59.65917150833773
singing,1,29,59.65917150833773
jew,1,32,54.06612417943107
members,1,32,54.06612417943107
deeds,1,33,52.427756780054374
respect,1,34,50.88576393358218
obey,2,69,50.14828909396505
circumcision,1,36,48.05877704838317
fornication,1,36,48.05877704838317
bitter,1,38,45.52936773004722
bowels,1,39,44.361948044661396
uncleanness,1,40,43.25289934354486
provoke,1,42,41.19323747004272
sitteth,1,42,41.19323747004272
mercies,1,44,39.32081758504078
created,1,45,38.44702163870654
kindness,1,48,36.044082786287376
knowing,1,51,33.92384262238812
risen,1,51,33.92384262238812
persons,1,56,30.89492810253204
hearts,2,113,30.621521659146797
lived,1,58,29.829585754168864
free,1,59,29.32399955494567
rule,1,66,26.213878390027187
wives,2,133,26.01678156002698
christ,8,571,24.23980348499887
thanks,1,73,23.700218818380744
above,3,223,23.275102785764048
whatsoever,2,152,22.76468386502361
reward,1,80,21.62644967177243
receive,2,176,19.66040879252039
mind,1,95,18.211747092018886
doeth,1,96,18.022041393143688
wrath,2,198,17.47591892668479
image,1,101,17.129861126156378
beloved,1,113,15.310760829573399
another,4,453,15.276962240545643
seeing,1,116,14.914792877084432
anger,2,234,14.78731601488713
walked,1,122,14.181278473293395
hid,1,129,13.411751734432514
sake,1,145,11.931834301667548
new,1,150,11.534106491611963
lie,1,155,11.16203854026964
your,11,1776,10.715808395923275
things,7,1162,10.422385383986713
grace,1,170,10.177152786716436
knowledge,1,172,10.058813800824385
body,1,175,9.886376992810254
put,5,911,9.495696892106444
yourselves,1,191,9.058198815402065
