word,numInChap,numInKjv,relativeFreq
TOTAL (1Th 5),414,790663
feebleminded,1,1,1909.8140096618356
prophesyings,1,1,1909.8140096618356
support,1,2,954.9070048309178
admonish,1,3,636.6046698872785
edify,1,3,636.6046698872785
sudden,1,3,636.6046698872785
unruly,1,4,477.4535024154589
wake,1,4,477.4535024154589
esteem,1,5,381.96280193236714
abstain,1,6,318.30233494363927
highly,1,6,318.30233494363927
sober,2,12,318.30233494363927
ceasing,1,7,272.83057280883367
perfectly,1,7,272.83057280883367
helmet,1,8,238.72675120772945
patient,1,9,212.20155662909283
warn,1,11,173.61945542380323
quench,1,12,159.15116747181963
seasons,1,12,159.15116747181963
epistle,1,14,136.41528640441683
thief,2,28,136.41528640441683
blameless,1,15,127.32093397745571
obtain,1,15,127.32093397745571
exhort,1,16,119.36337560386472
greet,1,16,119.36337560386472
preserved,1,16,119.36337560386472
drunken,2,33,115.74630361586883
overtake,1,17,112.34200056834328
putting,1,17,112.34200056834328
safety,1,19,100.51652682430715
kiss,1,20,95.49070048309179
sleep,4,82,93.16165900789441
prove,1,25,76.39256038647343
evermore,1,26,73.45438498699367
breastplate,1,28,68.20764320220842
wholly,1,29,65.85565550558054
calleth,1,30,63.660466988727855
travail,1,31,61.606903537478566
comfort,2,66,57.87315180793441
render,1,33,57.87315180793441
despise,1,37,51.61659485572529
appearance,1,38,50.258263412153575
weak,1,46,41.51769586221381
yourselves,4,191,39.99610491438399
need,1,49,38.975796115547666
escape,1,59,32.36972897731925
watch,1,61,31.308426387898944
beseech,1,67,28.50468671137068
others,1,69,27.678463908142543
read,1,70,27.283057280883366
sanctify,1,70,27.283057280883366
thanks,1,73,26.16183574879227
night,4,307,24.883570158460397
amen,1,78,24.48479499566456
brethren,7,564,23.70336536814335
darkness,2,162,23.577950736565874
faithful,1,82,23.290414751973604
salvation,2,164,23.290414751973604
fast,1,85,22.468400113668654
follow,1,86,22.207139647230647
labour,1,89,21.458584378222874
write,1,91,20.98696713914105
destruction,1,94,20.317170315551444
coming,1,100,19.09814009661836
charge,1,102,18.723666761390547
pray,3,313,18.30492661017734
appointed,1,126,15.157254044935204
very,2,257,14.862365833944246
hope,1,130,14.690876997398735
cometh,2,282,13.544780210367628
christ,4,571,13.378732116720391
peace,3,429,13.355342724907942
sake,1,145,13.171131101116108
times,1,146,13.080917874396135
love,2,311,12.281762120011805
grace,1,170,11.234200056834327
whether,1,171,11.168502980478571
body,1,175,10.913222912353348
hold,1,185,10.323318971145058
rejoice,1,192,9.946947966988727
wrath,1,198,9.645525301322403
died,1,201,9.50156223712356
evil,3,613,9.346561221836065
child,1,205,9.316165900789443
you,12,2613,8.770672834267902
us,6,1449,7.908132545183585
concerning,1,242,7.891793428354692
together,2,484,7.891793428354692
jesus,4,983,7.771369317036971
faith,1,247,7.732040524946703
live,1,247,7.732040524946703
whole,1,250,7.639256038647343
spirit,2,505,7.563619840244893
light,1,272,7.021375035521455
among,3,916,6.254849376621733
holy,2,611,6.251437020169675
who,3,970,5.9066412669953685
toward,1,346,5.519693669542877
wherefore,1,348,5.487971292131712
none,1,358,5.334676004641999
good,2,720,5.305038915727321
both,1,361,5.290343517068797
woman,1,367,5.20385288736195
we,5,1844,5.1784544730527
know,2,763,5.006065556125388
our,3,1165,4.9179759905455
should,2,783,4.878196704117077
work,1,420,4.547176213480561
are,7,2949,4.533298768271567
without,1,426,4.483131478079427
day,4,1741,4.387855277798589
another,1,453,4.215924966140918
do,3,1368,4.188188617679464
soul,1,459,4.160814835864565
ever,1,476,4.01221430601226
let,3,1511,3.791821329573466
thing,1,549,3.478714043099883
see,1,597,3.199018441644616
but,6,3994,2.869024551319733
as,5,3520,2.7128039909969255
nor,1,756,2.5262090074892005
all,7,5621,2.3783487044356604
men,2,1677,2.2776553484339126
an,2,1699,2.248162459872673
be,8,7012,2.178909309368894
give,1,880,2.1702431927975403
also,2,1769,2.1592018198550997
for,10,8985,2.1255581632296447
children,2,1822,2.096392985358766
any,1,917,2.0826761283117072
not,7,6597,2.0264814412055254
that,13,12916,1.9222346024778465
ye,4,3985,1.9170027700495214
over,1,1008,1.8946567556169005
say,1,1056,1.8085359939979504
god,4,4470,1.7090058252007478
or,1,1132,1.6871148495245898
things,1,1162,1.6435576675230945
therefore,1,1237,1.5439078493628422
every,1,1238,1.5426607509384778
by,2,2625,1.4550963883137795
lord,6,7970,1.437752077537141
now,1,1356,1.408417411255041
upon,2,2764,1.381920412201039
no,1,1393,1.3710079035619782
this,2,2786,1.3710079035619782
even,1,1394,1.3700243971749182
which,3,4414,1.2980158651983478
with,4,6015,1.2700342541392091
at,1,1571,1.2156677337121804
in,8,12674,1.2055004006071237
them,4,6429,1.188249500489554
so,1,1689,1.1307365362118624
is,4,6991,1.092727226240501
your,1,1776,1.0753457261609434
they,4,7377,1.0355505000199732
will,2,3837,0.9954725095969954
one,1,1969,0.9699410917530907
on,1,2016,0.9473283778084503
then,1,2168,0.8809105210617323
unto,4,9002,0.8486176448175231
hath,1,2263,0.8439301854449119
of,14,34747,0.7694879021286931
the,25,64016,0.7458346388644385
and,19,51708,0.7017572944916625
to,5,13630,0.7005920798466015
man,1,2737,0.6977764010456105
a,3,8282,0.6917944975833744
when,1,2847,0.6708163012510838
i,3,8853,0.6471751981232924
from,1,3646,0.5238107541584849
have,1,3905,0.4890688885177556
their,1,3932,0.4857105823148107
shall,2,9837,0.3882919608949549
it,1,6129,0.3116028731704741
him,1,6667,0.2864577785603473
he,1,10430,0.1831077669857944
