word,numInChap,numInKjv,relativeFreq
TOTAL (1Th 3),295,790663,13 verses
fellowlabourer,1,2,1340.1067796610168
tempter,1,2,1340.1067796610168
unblameable,1,2,1340.1067796610168
athens,1,5,536.0427118644068
lacking,1,8,335.0266949152542
longer,2,17,315.31924227318046
timotheus,2,17,315.31924227318046
thereunto,1,9,297.80150659133704
direct,1,10,268.0213559322034
forbear,2,22,243.6557781201849
desiring,1,12,223.3511299435028
stablish,1,12,223.3511299435028
afflictions,1,13,206.17027379400258
abound,1,19,141.06387154326495
praying,1,20,134.0106779661017
tribulation,1,22,121.82788906009245
tempted,1,25,107.20854237288135
charity,1,28,95.72191283292977
sakes,1,31,86.458501913614
distress,1,33,81.2185927067283
render,1,33,81.2185927067283
means,1,35,76.57753026634381
comforted,1,36,74.45037664783426
exceedingly,1,39,68.72342459800088
holiness,1,43,62.33054789121009
establish,1,44,60.91394453004622
tidings,1,46,58.26551215917464
faith,5,247,54.255335208948054
remembrance,1,53,50.57006715701951
always,1,62,43.229250956807
comfort,1,66,40.60929635336415
thanks,1,73,36.715254237288136
affliction,1,75,35.736180790960454
moved,1,75,35.736180790960454
thought,1,81,33.08905628792635
joy,2,165,32.48743708269132
could,2,166,32.29172963038595
fast,1,85,31.531924227318044
greatly,1,87,30.80705240600039
increase,1,88,30.45697226502311
labour,1,89,30.114759093506
saints,1,96,27.91889124293785
suffer,1,96,27.91889124293785
perfect,1,99,27.0728642355761
coming,1,100,26.80213559322034
minister,1,100,26.80213559322034
gospel,1,104,25.771284224250323
alone,1,108,24.81679221594476
wherewith,1,110,24.36557781201849
vain,1,112,23.930478208232444
hearts,1,113,23.718704064796757
toward,3,346,23.238845890075435
our,10,1165,23.00612497272132
appointed,1,126,21.271536185095506
verily,1,140,19.144382566585953
we,13,1844,18.89521489760653
christ,3,571,14.081682448276885
yourselves,1,191,14.03253172419913
see,3,597,13.468409845839366
you,12,2613,12.308673062328513
your,8,1776,12.073034051000151
some,1,232,11.552644652250146
can,1,235,11.405164082221422
might,2,475,11.285109723461195
lest,1,240,11.167556497175141
good,3,720,11.16755649717514
concerning,1,242,11.075262641826585
live,1,247,10.85106704178961
know,3,763,10.538192238487682
stand,1,274,9.781801311394284
told,1,283,9.470719290890578
end,1,307,8.730337326781868
night,1,307,8.730337326781868
love,1,311,8.618050029974386
cause,1,328,8.171382802811078
sent,2,686,7.814033700647329
left,1,348,7.701763101500098
wherefore,1,348,7.701763101500098
lord,4,1400,7.657753026634382
us,4,1449,7.398795194815828
should,2,783,6.846011645777864
brother,1,402,6.667197908761278
face,1,416,6.442821056062581
now,3,1356,5.929676016199189
another,1,453,5.916586223668949
no,3,1393,5.772175648216871
even,3,1394,5.76803491963135
jesus,2,983,5.453130334327637
himself,1,528,5.076162044170519
father,2,1126,4.760592467712316
brethren,1,564,4.752151700925592
before,3,1798,4.471991478290379
way,1,664,4.036466203798244
again,1,672,3.9884130347054074
when,4,2847,3.7656671012603216
at,2,1571,3.412111469537917
pass,1,830,3.2291729630385952
brought,1,863,3.105693579747432
by,3,2625,3.0631012106537527
god,5,4470,2.9980017442080915
what,1,985,2.721028994235567
over,1,1008,2.6589420231369383
may,1,1027,2.6097503011899064
came,2,2096,2.5574556863759863
make,1,1055,2.5404867860872358
for,8,8985,2.3863893683446045
as,3,3520,2.284272919876733
these,1,1225,2.187929436181252
therefore,1,1237,2.1667045750380227
ye,3,3985,2.0177266444080555
to,10,13630,1.9664076003830038
do,1,1368,1.959220438100902
were,2,2773,1.9330786580036305
all,4,5621,1.9072859344045783
if,1,1595,1.6803846766909303
men,1,1677,1.5982191766976945
day,1,1741,1.5394678686513692
also,1,1769,1.515100938000019
in,7,12674,1.4803136275251885
have,2,3905,1.3727086091278022
one,1,1969,1.361205464358575
that,6,12916,1.2450666890625737
be,3,7012,1.1466971873882061
man,1,2737,0.9792523051962126
this,1,2786,0.9620292747028119
are,1,2949,0.908855055721273
with,2,6015,0.8911765783281907
and,17,51708,0.8811717820931882
it,2,6129,0.8746006067293307
from,1,3646,0.7351106854969923
but,1,3994,0.6710599798002087
which,1,4414,0.6072074216860067
i,2,8853,0.6054927277356905
unto,2,9002,0.5954706863634823
of,5,34747,0.38567553448096725
is,1,6991,0.38338056920641306
his,1,8478,0.31613748045789497
the,7,64016,0.2930750892785278
he,1,10430,0.2569715780749793
