word,numInChap,numInKjv,relativeFreq
TOTAL (1Ti 4),310,790663,0
presbytery,1,1,2550.525806451613
profiting,1,1,2550.525806451613
seared,1,1,2550.525806451613
seducing,1,1,2550.525806451613
acceptation,1,2,1275.2629032258064
believers,1,2,1275.2629032258064
purity,1,2,1275.2629032258064
expressly,1,3,850.1752688172043
attendance,1,4,637.6314516129032
bodily,1,4,637.6314516129032
commanding,1,4,637.6314516129032
forbidding,1,4,637.6314516129032
neglect,1,4,637.6314516129032
doctrines,1,5,510.1051612903226
fables,1,5,510.1051612903226
exercise,2,11,463.7319648093842
abstain,1,6,425.0876344086021
hypocrisy,1,6,425.0876344086021
profiteth,1,6,425.0876344086021
reading,1,6,425.0876344086021
specially,1,6,425.0876344086021
godliness,2,15,340.0701075268817
example,1,8,318.8157258064516
meats,1,8,318.8157258064516
attained,1,10,255.0525806451613
exhortation,1,10,255.0525806451613
nourished,1,10,255.0525806451613
laying,1,13,196.1942928039702
profitable,1,13,196.1942928039702
meditate,1,14,182.1804147465438
thanksgiving,2,28,182.1804147465438
doctrine,3,51,150.03092979127135
conversation,1,20,127.52629032258065
prophecy,1,21,121.45360983102918
marry,1,22,115.93299120234605
refuse,1,26,98.0971464019851
whereunto,1,27,94.46391875746714
charity,1,28,91.0902073732719
creature,1,29,87.94916573971079
giving,1,29,87.94916573971079
wholly,1,29,87.94916573971079
conscience,1,31,82.27502601456816
hot,1,31,82.27502601456816
profane,1,33,77.28866080156402
refused,1,33,77.28866080156402
despise,1,37,68.93312990409764
saviour,1,37,68.93312990409764
continue,1,38,67.11910016977929
doing,1,39,65.39809760132341
heed,2,80,63.763145161290325
latter,1,42,60.72680491551459
created,1,45,56.67835125448028
spirits,1,46,55.44621318373071
lies,1,51,50.01030993042378
promise,1,53,48.12312842361534
remembrance,1,53,48.12312842361534
thyself,4,215,47.451642910727685
appear,1,54,47.23195937873357
devils,1,55,46.37319648093841
gift,1,59,43.229250956807
rather,1,62,41.13751300728408
sanctified,1,62,41.13751300728408
speaking,1,62,41.13751300728408
worthy,1,68,37.50773244781784
youth,1,70,36.436082949308755
believe,2,143,35.67168960072186
speaketh,1,74,34.46656495204882
received,2,160,31.881572580645162
faithful,1,82,31.10397324940991
faith,3,247,30.978046232205827
reproach,1,88,28.98324780058651
labour,1,89,28.657593330917003
suffer,1,96,26.567977150537633
having,2,193,26.430319237840546
minister,1,100,25.50525806451613
iron,1,101,25.25273075694666
command,1,104,24.524286600496275
teach,1,109,23.399319325244157
prayer,1,114,22.373033389926427
depart,1,125,20.404206451612904
wives,1,133,19.176885762794083
trust,1,134,19.033774675012037
times,1,146,17.469354838709677
living,1,147,17.350515690147024
till,1,169,15.09186867722848
both,2,361,14.13033687784827
nothing,1,225,11.335670250896056
some,1,232,10.993645717463849
save,1,233,10.946462688633531
truth,1,237,10.761712263508915
good,3,720,10.627190860215054
little,1,242,10.539362836576911
spirit,2,505,10.101092302778664
things,4,1162,8.779779023929821
word,2,699,7.297641792422355
old,1,380,6.711910016977929
these,3,1225,6.24618564845293
give,2,880,5.796649560117301
life,1,450,5.667835125448028
hands,1,461,5.53259394024211
those,1,465,5.485001734304544
given,1,498,5.121537763959062
words,1,548,4.654244172356957
hear,1,550,4.6373196480938415
brethren,1,564,4.522208876687257
christ,1,571,4.46677023896955
now,2,1356,3.761837472642497
know,1,763,3.3427599036063076
if,2,1595,3.198151481444029
shalt,2,1617,3.1546392163903683
is,8,6991,2.9186391720230156
take,1,874,2.9182217465121427
in,14,12674,2.8173710975479387
put,1,911,2.7996990191565456
we,2,1844,2.766296970121055
who,1,970,2.629408047888261
jesus,1,983,2.5946345945591176
come,2,1972,2.5867401688150236
may,1,1027,2.4834720608097496
hast,1,1071,2.38144333002018
thou,5,5474,2.3296728228458283
which,4,4414,2.31130566964351
god,4,4470,2.2823497149455148
because,1,1209,2.109616051655594
therefore,1,1237,2.06186403108457
every,1,1238,2.0601985512533223
to,11,13630,2.0583847300783376
thee,3,3826,1.9998895502757028
by,2,2625,1.9432577572964669
but,3,3994,1.915768006848983
no,1,1393,1.8309589421763195
this,2,2786,1.8309589421763195
be,5,7012,1.8186863993522624
all,4,5621,1.8149979053204859
saying,1,1445,1.7650697622502511
with,4,6015,1.69611026197946
let,1,1511,1.6879720757456074
them,4,6429,1.5868880425892755
men,1,1677,1.5208859907284513
an,1,1699,1.5011923522375592
for,5,8985,1.4193243218985045
from,2,3646,1.3990816272362112
that,7,12916,1.3822917811366746
on,1,2016,1.2651417690732207
of,16,34747,1.1744442082259132
unto,4,9002,1.1333151772724341
hath,1,2263,1.1270551508844953
thy,2,4603,1.1082015235505596
up,1,2380,1.071649498509081
man,1,2737,0.9318691291383314
a,3,8282,0.9238803935468292
upon,1,2764,0.9227662107277905
it,2,6129,0.8322812225327502
and,14,51708,0.6905577723045289
their,1,3932,0.6486586486397794
the,16,64016,0.6374720835920052
was,1,4523,0.5639013500887935
not,1,6597,0.38661903993506336
i,1,8853,0.2880973462613366
shall,1,9837,0.2592788255008247
