word,numInChap,numInKjv,relativeFreq
TOTAL (2Ti 1),438,790663
eunice,1,1,1805.1666666666665
grandmother,1,1,1805.1666666666665
hermogenes,1,1,1805.1666666666665
lois,1,1,1805.1666666666665
phygellus,1,1,1805.1666666666665
forefathers,1,2,902.5833333333333
onesiphorus,1,2,902.5833333333333
unfeigned,1,4,451.29166666666663
abolished,1,5,361.0333333333333
immortality,1,5,361.0333333333333
appearing,1,6,300.8611111111111
teacher,1,6,300.8611111111111
ceasing,1,7,257.88095238095235
timothy,1,7,257.88095238095235
partaker,1,9,200.57407407407405
rome,1,9,200.57407407407405
apostle,2,19,190.01754385964912
dearly,1,10,180.51666666666665
mindful,1,10,180.51666666666665
persuaded,2,20,180.51666666666665
refreshed,1,10,180.51666666666665
preacher,1,11,164.1060606060606
desiring,1,12,150.43055555555554
afflictions,1,13,138.85897435897434
chain,1,13,138.85897435897434
oft,1,13,138.85897435897434
prisoner,1,13,138.85897435897434
ephesus,1,17,106.18627450980392
putting,1,17,106.18627450980392
remembrance,3,53,102.17924528301886
stir,1,20,90.25833333333333
asia,1,21,85.96031746031746
grant,1,22,82.0530303030303
calling,1,24,75.21527777777777
form,1,24,75.21527777777777
prayers,1,24,75.21527777777777
thank,1,27,66.85802469135803
whereunto,1,27,66.85802469135803
conscience,1,31,58.23118279569892
purpose,1,36,50.14351851851851
tears,1,36,50.14351851851851
diligently,1,37,48.788288288288285
ministered,1,37,48.788288288288285
saviour,1,37,48.788288288288285
manifest,1,39,46.28632478632478
ashamed,3,122,44.389344262295076
knowest,2,89,40.56554307116105
sound,2,89,40.56554307116105
committed,2,92,39.2427536231884
gospel,2,104,34.714743589743584
promise,1,53,34.05974842767296
dwelleth,1,58,31.123563218390803
gift,1,59,30.596045197740114
testimony,1,76,23.75219298245614
fast,1,85,21.23725490196078
grace,2,170,21.23725490196078
greatly,1,87,20.74904214559387
mercy,3,276,19.6213768115942
mind,1,95,19.00175438596491
christ,6,571,18.96847635726795
suffer,1,96,18.803819444444443
nevertheless,1,97,18.60996563573883
pure,1,97,18.60996563573883
saved,1,104,17.357371794871792
ghost,1,109,16.5611620795107
beloved,1,113,15.974926253687313
believed,1,116,15.561781609195402
faith,2,247,14.616734143049932
appointed,1,126,14.326719576719576
sought,1,126,14.326719576719576
very,2,257,14.04798962386511
gentiles,1,129,13.993540051679586
power,2,272,13.27328431372549
love,2,311,11.608788853161844
find,1,156,11.571581196581196
filled,1,159,11.353249475890983
able,1,160,11.282291666666666
paul,1,162,11.143004115226338
jesus,6,983,11.018311291963377
joy,1,165,10.94040404040404
began,1,179,10.084729981378025
keep,2,362,9.97329650092081
hold,1,185,9.757657657657658
call,1,196,9.210034013605442
according,4,793,9.105506515342581
serve,1,209,8.637161084529506
am,4,874,8.261632341723875
life,2,450,8.022962962962962
dwelt,1,226,7.9874631268436564
works,1,237,7.6167369901547115
given,2,498,7.2496653279785805
whom,3,763,7.097640891218872
well,1,262,6.889949109414758
light,1,272,6.636642156862745
turned,1,287,6.289779326364692
world,1,288,6.267939814814814
us,5,1449,6.229008511617207
being,1,291,6.203321878579611
our,4,1165,6.19799713876967
holy,2,611,5.908892525913803
night,1,307,5.880021715526601
mother,1,320,5.641145833333333
cause,1,328,5.503556910569105
wherefore,1,348,5.187260536398467
death,1,372,4.852598566308243
fear,1,400,4.5129166666666665
which,11,4414,4.498602930070986
found,1,403,4.479321753515302
without,1,426,4.237480438184663
peace,1,429,4.207847707847708
first,1,430,4.198062015503876
hands,1,461,3.9157628344179316
through,1,463,3.898848092152628
who,2,970,3.7219931271477664
spirit,1,505,3.5745874587458744
may,2,1027,3.5154170723790976
how,1,543,3.324432166973603
thee,7,3826,3.302709531277226
words,1,548,3.294099756690997
thing,1,549,3.2880995749848205
many,1,556,3.246702637889688
hath,4,2263,3.1907497422300777
an,3,1699,3.187463213655091
day,3,1741,3.110568638713383
things,2,1162,3.1069994262765346
me,7,4096,3.0850016276041665
own,1,596,3.0288031319910513
see,1,597,3.0237297599106645
called,1,624,2.892895299145299
heard,1,641,2.8161726469058763
by,4,2625,2.7507301587301582
i,13,8853,2.6507586882036223
good,1,720,2.507175925925926
god,6,4470,2.423042505592841
nor,1,756,2.387786596119929
know,1,763,2.365880297072957
but,5,3994,2.2598481054915704
in,15,12674,2.1364604702540633
brought,1,863,2.0917342603321747
my,5,4367,2.066826959774063
give,1,880,2.0513257575757575
also,2,1769,2.040889391369889
put,1,911,1.9815221368459568
thou,6,5474,1.9786262331019364
away,1,916,1.9707059679767103
hast,1,1071,1.6854964207905383
that,12,12916,1.6771446268194488
father,1,1126,1.6031675547661337
was,4,4523,1.5964330459134792
is,6,6991,1.54927764268345
from,3,3646,1.4853263850795393
these,1,1225,1.4736054421768707
therefore,1,1237,1.459310158986796
have,3,3905,1.386811779769526
not,5,6597,1.3681724015966854
now,1,1356,1.331243854473943
of,25,34747,1.2987931811859057
made,1,1406,1.2839023233760076
when,2,2847,1.2681184872965694
are,2,2949,1.224256810218153
to,9,13630,1.1919662509170947
thy,3,4603,1.1765153160981967
at,1,1571,1.1490558030978144
lord,5,7970,1.1324759514847342
against,1,1667,1.0828834233153368
he,6,10430,1.0384467881112176
be,4,7012,1.0297585092222856
before,1,1798,1.0039859102706712
unto,5,9002,1.0026475598015256
with,3,6015,0.9003325020781379
on,1,2016,0.8954199735449735
house,1,2026,0.8910003290556103
for,4,8985,0.8036356891114821
up,1,2380,0.7584733893557423
son,1,2393,0.7543529739518038
and,19,51708,0.6633048399989685
a,3,8282,0.6538879497705867
out,1,2776,0.650276176753122
this,1,2786,0.647942091409428
the,22,64016,0.6203709489294343
him,2,6667,0.5415229238538073
will,1,3837,0.4704630353574841
his,2,8478,0.4258472910277581
all,1,5621,0.3211468896400403
they,1,7377,0.24470200171704845
