word,numInChap,numInKjv,relativeFreq
TOTAL (Tit 2),265,790663
fidelity,1,1,2983.633962264151
purloining,1,1,2983.633962264151
uncorruptness,1,1,2983.633962264151
adorn,1,2,1491.8169811320754
gravity,1,2,1491.8169811320754
soberly,1,2,1491.8169811320754
worldly,1,2,1491.8169811320754
chaste,1,3,994.5446540880503
discreet,1,3,994.5446540880503
temperate,1,3,994.5446540880503
behaviour,1,4,745.9084905660377
denying,1,4,745.9084905660377
ungodliness,1,4,745.9084905660377
sober,3,12,745.9084905660376
aged,2,9,663.0297693920335
shewing,3,15,596.7267924528302
exhort,3,16,559.4313679245282
appearing,1,6,497.27232704402513
peculiar,1,7,426.233423180593
sincerity,1,7,426.233423180593
accusers,1,8,372.95424528301885
obedient,2,16,372.95424528301885
righteously,1,8,372.95424528301885
zealous,1,8,372.95424528301885
husbands,2,19,314.06673286991065
pattern,1,14,213.1167115902965
purify,1,14,213.1167115902965
teachers,1,14,213.1167115902965
becometh,1,15,198.90893081761007
godly,1,15,198.90893081761007
minded,1,15,198.90893081761007
blasphemed,1,16,186.47712264150942
doctrine,3,51,175.50788013318532
saviour,2,37,161.2775114737379
condemned,1,21,142.07780772686434
keepers,1,21,142.07780772686434
masters,1,22,135.6197255574614
contrary,1,24,124.31808176100628
lusts,1,24,124.31808176100628
teaching,1,25,119.34535849056604
charity,1,28,106.55835579514824
sound,3,89,100.57193131227476
looking,1,30,99.45446540880504
answering,1,31,96.24625684723067
patience,1,34,87.75394006659268
authority,1,37,80.63875573686894
despise,1,37,80.63875573686894
please,1,39,76.50343492985003
holiness,1,43,69.38683633172444
glorious,1,45,66.30297693920335
rebuke,1,46,64.86160787530763
speech,1,49,60.890489025799
home,1,51,58.50262671106178
likewise,2,107,55.768859107741136
redeem,1,56,53.27917789757412
false,1,64,46.619280660377356
grave,1,68,43.87697003329634
appeared,1,70,42.623342318059294
bringeth,1,79,37.7675185096728
women,2,179,33.33669231580057
present,1,106,28.14749021003916
teach,1,109,27.37278864462524
works,2,237,25.1783456731152
ashamed,1,122,24.456016084132383
hope,1,130,22.951030478955005
become,1,135,22.100992313067785
good,5,720,20.719680293501046
young,2,300,19.890893081761007
love,2,311,19.18735667050901
salvation,1,164,18.192890013805798
grace,1,170,17.550788013318535
cannot,1,184,16.215401968826907
having,1,193,15.459243327793528
things,6,1162,15.406027343876854
part,1,214,13.942214776935284
thyself,1,215,13.877367266344889
wine,1,231,12.91616433880585
faith,1,247,12.079489725765793
live,1,247,12.079489725765793
speak,2,513,11.632101217404097
well,1,262,11.387915886504393
himself,2,528,11.301643796455117
iniquity,1,278,10.732496267137234
much,1,287,10.395937150746171
world,1,288,10.359840146750523
own,2,596,10.012194504242117
blessed,1,302,9.87958265650381
may,3,1027,8.715581194539876
gave,1,465,6.416417123148712
might,1,475,6.2813346573982125
servants,1,480,6.215904088050315
us,3,1449,6.177295988124535
given,1,498,5.991232855952111
thing,1,549,5.434670240918308
men,3,1677,5.337448948594187
christ,1,571,5.225278392756832
our,2,1165,5.122118390153049
evil,1,613,4.867265843824064
again,1,672,4.4399314914645105
no,2,1393,4.28375299678988
word,1,699,4.268431991794207
be,9,7012,3.8295358899568392
should,1,783,3.8105159160461697
all,7,5621,3.715608919382504
great,1,962,3.1014906052641904
who,1,970,3.0759113013032486
jesus,1,983,3.035232921937081
their,4,3932,3.035232921937081
say,1,1056,2.8254109491137793
that,12,12916,2.772035269988372
god,4,4470,2.6699185344645646
these,1,1225,2.43561956103196
to,11,13630,2.4079217597142817
not,5,6597,2.2613566486767858
in,9,12674,2.1187238172934637
let,1,1511,1.9746088433250502
at,1,1571,1.8991941198371425
children,1,1822,1.637559803657602
we,1,1844,1.6180227561085416
but,2,3994,1.494058068234427
people,1,2143,1.3922696977434208
hath,1,2263,1.3184418746195983
they,3,7377,1.2133525670045346
you,1,2613,1.1418423123858212
man,1,2737,1.0901110567278594
this,1,2786,1.07093824919747
for,3,8985,0.9962049957476297
as,1,3520,0.8476232847341337
from,1,3646,0.8183307631004254
thee,1,3826,0.7798311453905256
of,9,34747,0.7728064483373344
a,2,8282,0.7205104955962692
which,1,4414,0.675947884518385
unto,2,9002,0.6628824621782162
he,2,10430,0.5721254002424067
thou,1,5474,0.5450555283639297
with,1,6015,0.49603224642795524
the,10,64016,0.4660762875318906
them,1,6429,0.46408989924780697
and,8,51708,0.4616127426725692
is,1,6991,0.4267821430788372
