word,numInChap,numInKjv,relativeFreq
TOTAL (Tit 3),294,790663,0
artemas,1,1,2689.329931972789
brawlers,1,1,2689.329931972789
heretick,1,1,2689.329931972789
nicopolis,1,1,2689.329931972789
subverted,1,1,2689.329931972789
uses,1,1,2689.329931972789
zenas,1,1,2689.329931972789
regeneration,1,2,1344.6649659863945
renewing,1,2,1344.6649659863945
admonition,1,3,896.4433106575963
affirm,1,3,896.4433106575963
constantly,1,3,896.4433106575963
hateful,1,3,896.4433106575963
hating,1,3,896.4433106575963
lawyer,1,3,896.4433106575963
sometimes,1,3,896.4433106575963
strivings,1,3,896.4433106575963
reject,1,4,672.3324829931972
avoid,1,5,537.8659863945578
gentle,1,5,537.8659863945578
maintain,2,10,537.8659863945578
tychicus,1,5,537.8659863945578
contentions,1,6,448.22165532879814
malice,1,6,448.22165532879814
unfruitful,1,6,448.22165532879814
careful,1,7,384.189990281827
principalities,1,7,384.189990281827
serving,1,7,384.189990281827
unprofitable,1,7,384.189990281827
genealogies,1,8,336.1662414965986
magistrates,1,8,336.1662414965986
pleasures,1,8,336.1662414965986
wanting,1,8,336.1662414965986
necessary,1,9,298.8144368858654
apollos,1,10,268.9329931972789
washing,1,10,268.9329931972789
heirs,1,11,244.48453927025355
ours,1,12,224.11082766439907
disobedient,1,13,206.87153322867607
profitable,1,13,206.87153322867607
meekness,1,14,192.0949951409135
powers,1,14,192.0949951409135
questions,1,14,192.0949951409135
winter,1,14,192.0949951409135
diligent,1,15,179.2886621315193
shewing,1,15,179.2886621315193
greet,1,16,168.0831207482993
subject,1,17,158.19587835134053
saviour,2,37,145.36918551204263
envy,1,20,134.46649659863945
condemned,1,21,128.06333009394234
sinneth,1,22,122.24226963512677
lusts,1,24,112.05541383219953
foolish,2,52,103.43576661433804
determined,1,30,89.64433106575964
abundantly,1,32,84.04156037414965
learn,1,32,84.04156037414965
deceived,1,34,79.09793917567026
diligently,1,37,72.68459275602132
divers,1,37,72.68459275602132
salute,1,39,68.95717774289203
justified,1,43,62.54255655750672
eternal,1,47,57.21978578665509
kindness,1,48,56.02770691609977
knowing,1,51,52.731959450446844
ourselves,1,51,52.731959450446844
shed,1,52,51.71788330716902
journey,1,60,44.82216553287982
obey,1,69,38.975796115547666
appeared,1,70,38.4189990281827
amen,1,78,34.478588871446014
works,3,237,34.04215103763024
faithful,1,82,32.79670648747303
grace,2,170,31.639175670268102
mind,1,95,28.308736126029356
ready,1,100,26.89329931972789
saved,1,104,25.85894165358451
ghost,1,109,24.67275166947513
vain,1,112,24.01187439261419
believed,1,116,23.18387872390335
hope,1,130,20.687153322867605
being,2,291,18.483367230053535
living,1,147,18.29476144199176
love,2,311,17.29472625062887
second,1,169,15.913194863744314
good,4,720,14.940721844293272
nothing,1,225,11.952577475434618
send,1,234,11.492862957148672
faith,1,247,10.887975433088215
such,1,249,10.800521815151763
mercy,1,276,9.743949028886917
righteousness,1,306,8.788659908407807
toward,1,346,7.772629861193032
according,2,793,6.78267322061233
work,1,420,6.403166504697117
first,1,430,6.254255655750672
life,1,450,5.976288737717309
another,1,453,5.936710666606598
through,1,463,5.808487974023302
might,1,475,5.661747225205872
us,3,1449,5.567970873649666
speak,1,513,5.242358541857288
law,1,523,5.142122240865753
himself,1,528,5.093427901463616
done,1,565,4.759875985792547
christ,1,571,4.709859775784219
things,2,1162,4.6287950636364705
our,2,1165,4.616875419695775
after,2,1180,4.5581863253776085
holy,1,611,4.401521983588853
these,2,1225,4.390742746078023
evil,1,613,4.387161389841418
we,3,1844,4.375265616007791
about,1,632,4.25526887970378
no,2,1393,3.8612059324806736
bring,1,727,3.699215862410989
be,9,7012,3.4517925538726613
should,1,783,3.434648699837534
men,2,1677,3.2073105926926524
by,3,2625,3.073519922254616
also,2,1769,3.040508685102079
put,1,911,2.95206359162765
man,3,2737,2.947749286049824
to,14,13630,2.7623344862523145
are,3,2949,2.735839198344648
jesus,1,983,2.7358391983446477
but,4,3994,2.693369986953219
on,2,2016,2.6679860436237988
or,1,1132,2.3757331554529935
that,11,12916,2.2903862845850633
every,1,1238,2.172318200301122
have,3,3905,2.066066529044396
all,4,5621,1.9137733015284033
made,1,1406,1.9127524409479297
saying,1,1445,1.8611279806040062
which,3,4414,1.827818259156857
let,1,1511,1.7798345016365247
an,1,1699,1.5828898952164738
is,4,6991,1.538738338991726
unto,5,9002,1.4937402421532935
thee,2,3826,1.4058180512142127
one,1,1969,1.3658354149176175
come,1,1972,1.363757571994315
me,2,4096,1.3131493808460883
them,3,6429,1.2549369724558044
god,2,4470,1.2032796116209348
for,4,8985,1.197253169492616
there,1,2299,1.1697824845466678
they,3,7377,1.093668130123135
you,1,2613,1.0292116081028662
were,1,2773,0.9698268777399166
this,1,2786,0.9653014831201684
when,1,2847,0.9446188731903018
i,3,8853,0.9113283402144321
with,2,6015,0.8942077911796472
in,4,12674,0.848770690223383
and,16,51708,0.8321590259063322
not,2,6597,0.815319063808637
he,3,10430,0.7735368931848865
will,1,3837,0.7008939098182927
their,1,3932,0.6839597995861619
a,2,8282,0.6494397324252086
his,2,8478,0.6344255560209457
of,7,34747,0.5417822984375492
thou,1,5474,0.49129154767497063
the,8,64016,0.3360822209413633
shall,1,9837,0.2733892377729784
