word,numInChap,numInKjv,relativeFreq
TOTAL (Phm 1),430,790663,25 verses
apphia,1,1,1838.7511627906977
enjoin,1,1,1838.7511627906977
lucas,1,1,1838.7511627906977
oweth,1,1,1838.7511627906977
philemon,1,1,1838.7511627906977
albeit,1,2,919.3755813953488
archippus,1,2,919.3755813953488
fellowlabourer,1,2,919.3755813953488
fellowlabourers,1,2,919.3755813953488
fellowprisoner,1,2,919.3755813953488
fellowsoldier,1,2,919.3755813953488
onesimus,1,2,919.3755813953488
wronged,1,2,919.3755813953488
acknowledging,1,3,612.9170542635659
demas,1,3,612.9170542635659
epaphras,1,3,612.9170542635659
marcus,1,3,612.9170542635659
partner,1,3,612.9170542635659
perhaps,1,3,612.9170542635659
refresh,1,3,612.9170542635659
owest,1,4,459.6877906976744
aristarchus,1,5,367.75023255813954
benefit,1,5,367.75023255813954
communication,1,6,306.45852713178294
effectual,1,6,306.45852713178294
lodging,1,6,306.45852713178294
retained,1,6,306.45852713178294
self,1,6,306.45852713178294
specially,1,6,306.45852713178294
prisoner,2,13,282.8847942754919
timothy,1,7,262.6787375415282
unprofitable,1,7,262.6787375415282
besides,1,8,229.8438953488372
repay,1,8,229.8438953488372
aged,1,9,204.30568475452193
convenient,1,9,204.30568475452193
dearly,1,10,183.87511627906977
necessity,1,10,183.87511627906977
refreshed,1,10,183.87511627906977
bold,1,11,167.15919661733614
prayers,2,24,153.22926356589147
obedience,1,12,153.22926356589147
bowels,3,39,141.44239713774598
bonds,2,26,141.44239713774596
profitable,1,13,141.44239713774596
consolation,1,15,122.58341085271319
account,1,17,108.16183310533516
mention,1,23,79.94570273003032
begotten,1,24,76.61463178294574
willingly,1,25,73.55004651162791
count,1,26,70.72119856887298
thank,1,27,68.10189491817398
making,1,30,61.29170542635659
withal,1,33,55.71973220577872
beseech,2,67,54.88809441166262
ministered,1,37,49.69597737272156
beloved,3,113,48.816402551965425
confidence,1,38,48.38818849449205
hearing,1,39,47.147465712582
salute,1,39,47.147465712582
saints,2,96,38.30731589147287
knowing,1,51,36.05394436844505
past,1,51,36.05394436844505
paul,3,162,34.050947459087
season,1,56,32.83484219269103
receive,3,176,31.34234936575053
always,1,62,29.6572768192048
rather,1,62,29.6572768192048
wrote,1,62,29.6572768192048
shouldest,1,73,25.188372093023254
church,1,77,23.879885231048025
amen,1,78,23.573732856291
prepare,1,81,22.700631639391332
christ,7,571,22.54160795014866
joy,2,165,22.287892882311485
grace,2,170,21.63236662106703
stead,1,94,19.561182582879763
mind,1,95,19.355275397796817
ought,1,97,18.956197554543277
brother,4,402,18.296031470554205
love,3,311,17.737149480296118
gospel,1,104,17.680299642218245
myself,1,118,15.582636972802524
faith,2,247,14.88867338292063
trust,1,134,13.722023602915655
become,1,135,13.620378983634797
jesus,7,983,13.093853651612292
much,2,287,12.813596953245279
sake,1,145,12.681042502004813
toward,2,346,10.628619438096518
having,1,193,9.527208097361127
our,6,1165,9.469963070166683
own,3,596,9.25545887310754
mine,3,650,8.48654382826476
departed,1,217,8.473507662629943
above,1,223,8.245520909375326
nothing,1,225,8.172227390180877
would,2,451,8.154107152065178
though,1,233,7.891635891805569
lord,6,1400,7.880362126245847
might,2,475,7.742110159118727
wilt,1,245,7.505106786900807
such,1,249,7.384542822452602
servant,2,500,7.3550046511627905
whom,3,763,7.229690024078758
how,2,543,6.772564135509015
thee,14,3826,6.728310579997325
written,1,277,6.63809084039963
being,1,291,6.318732518181092
yea,1,340,5.408091655266757
more,2,686,5.360790562072005
wherefore,1,348,5.2837677091686714
both,1,361,5.093493525736005
therefore,3,1237,4.459380346299186
flesh,1,420,4.37797895902547
without,1,426,4.316317283546239
peace,1,429,4.286133246598363
now,3,1356,4.068033545997118
do,3,1368,4.03234904120767
through,1,463,3.9713848008438393
ever,1,476,3.8629226109048274
than,1,483,3.8069382252395396
given,1,498,3.692271411226301
spirit,1,505,3.6410914114667277
me,8,4096,3.5913108648255814
say,2,1056,3.48248326286117
thing,1,549,3.3492735205659336
have,7,3905,3.296096834708037
thy,8,4603,3.195743928378358
also,3,1769,3.1182891398372488
i,15,8853,3.115471302593524
time,1,619,2.9705188413419994
my,7,4367,2.947391376124315
but,6,3994,2.7622701494101616
again,1,672,2.736236849390919
yet,1,683,2.6921686131635396
sent,1,686,2.6803952810360023
good,1,720,2.5538210594315243
should,1,783,2.348341204074965
in,16,12674,2.3212891434946474
if,2,1595,2.305644091273602
you,3,2613,2.111080554294716
as,4,3520,2.089489957716702
your,2,1776,2.070665723863398
put,1,911,2.0183876649733232
thou,6,5474,2.015437883950345
thine,1,937,1.9623811769377777
great,1,962,1.9113837451046753
may,1,1027,1.7904100903512148
a,8,8282,1.7761421519349891
hast,1,1071,1.7168544937354788
which,4,4414,1.666290133929042
father,1,1126,1.6329939278780619
or,1,1132,1.6243384830306515
because,1,1209,1.5208859907284513
every,1,1238,1.4852594206709997
for,7,8985,1.4325273388463977
by,2,2625,1.4009532668881506
even,1,1394,1.3190467451870143
that,9,12916,1.2812604881632301
hand,1,1470,1.2508511311501345
unto,6,9002,1.2255617614690275
let,1,1511,1.2169101011189263
to,9,13630,1.2141423672132268
an,1,1699,1.0822549516131241
be,4,7012,1.0489168070682817
we,1,1844,0.9971535589971245
one,1,1969,0.9338502604320456
with,3,6015,0.9170828742098243
on,1,2016,0.9120789497969731
house,1,2026,0.9075770793636218
it,3,6129,0.9000250429714625
not,3,6597,0.8361760631153696
him,3,6667,0.8273966534231427
god,2,4470,0.8227074553873367
hath,1,2263,0.8125281320330082
there,1,2299,0.7998047685040007
is,3,6991,0.7890507063899432
son,1,2393,0.7683874478857909
were,1,2773,0.6630909350128732
are,1,2949,0.6235168405529664
of,11,34747,0.5821009811119715
he,3,10430,0.5288833641775736
from,1,3646,0.504320121445611
will,1,3837,0.4792158360152978
and,13,51708,0.46228369142645376
the,15,64016,0.4308495913812245
was,1,4523,0.4065335314593628
all,1,5621,0.3271217154938085
shall,1,9837,0.18692194396571085
