word,numInChap,numInKjv,relativeFreq
TOTAL (Heb 4),404,790663
discerner,1,1,1957.0866336633665
limiteth,1,1,1957.0866336633665
feeling,1,2,978.5433168316832
intents,1,2,978.5433168316832
piercing,1,2,978.5433168316832
points,1,2,978.5433168316832
sharper,1,2,978.5433168316832
powerful,1,3,652.362211221122
profession,1,4,489.2716584158416
twoedged,1,4,489.2716584158416
marrow,1,5,391.4173267326733
joints,1,6,326.181105610561
dividing,1,7,279.58380480905237
example,1,8,244.6358292079208
unbelief,2,16,244.6358292079208
mixed,1,9,217.4540704070407
quick,1,10,195.70866336633665
harden,1,12,163.0905528052805
infirmities,1,12,163.0905528052805
boldly,1,13,150.5451256664128
short,1,13,150.5451256664128
obtain,1,15,130.47244224422442
although,1,16,122.3179146039604
remaineth,2,37,105.78846668450629
preached,3,61,96.25016231131309
asunder,1,21,93.19460160301745
seem,1,22,88.95848334833484
tempted,1,25,78.28346534653465
creature,1,29,67.48574598839194
enter,5,149,65.67404810950895
rest,9,275,64.05010801080107
ceased,1,33,59.305655565556556
manifest,1,39,50.181708555470934
finished,1,42,46.59730080150872
profit,1,45,43.49081408140814
entering,1,46,42.54536160137753
naked,1,47,41.64014114177375
sworn,1,48,40.77263820132013
need,1,49,39.94054354415033
touched,1,49,39.94054354415033
promise,1,53,36.9261628993088
entered,2,107,36.58105857314703
foundation,1,54,36.24234506784012
thoughts,1,57,34.33485322216432
seeing,2,116,33.74287299419597
seventh,2,120,32.618110561056106
afterward,1,66,29.652827782778278
works,3,237,24.773248527384382
fast,1,85,23.02454863133372
grace,2,170,23.02454863133372
labour,1,89,21.98973745689176
certain,2,196,19.970271772075165
gospel,1,104,18.8181407083016
hearts,1,113,17.319350740383772
believed,1,116,16.871436497097985
lest,2,240,16.309055280528053
help,1,126,15.532433600502909
must,1,132,14.826413891389139
heavens,1,133,14.71493709521328
opened,1,137,14.285303895353039
being,2,291,13.450767241672622
find,1,156,12.545427138867733
passed,1,161,12.155817600393581
throne,1,176,11.119810418541855
cannot,1,184,10.636340400344382
hold,1,185,10.57884666845063
wrath,1,198,9.884275927592759
high,2,416,9.4090703541508
long,1,211,9.275292102669983
any,4,917,8.536910070505414
therein,1,230,8.509072320275505
some,1,232,8.435718248548993
us,6,1449,8.103878400262385
faith,1,247,7.923427666653305
wise,1,247,7.923427666653305
therefore,5,1237,7.910616950943276
fall,1,252,7.766216800251454
well,1,262,7.469796311692238
priest,2,543,7.208422223437814
mercy,1,276,7.090893600229588
spoken,1,287,6.819117190464691
into,7,2015,6.798812126870256
world,1,288,6.7954397002200215
day,6,1741,6.744698335428028
we,6,1844,6.367960847060845
time,2,619,6.3233816919656425
same,1,332,5.894839258022188
sight,1,333,5.877137038028128
did,3,1006,5.836242446312226
again,2,672,5.82466260018859
left,1,348,5.623812165699329
word,2,699,5.599675632799332
place,2,715,5.474368206051374
let,4,1511,5.180904390902359
whom,2,763,5.129978069890869
if,4,1595,4.908054253701232
fear,1,400,4.892716584158416
sword,1,424,4.6157703624136
without,1,426,4.594100079021987
first,1,430,4.55136426433341
sin,1,448,4.368496950141443
would,1,451,4.339438212113895
another,1,453,4.3202795445107425
soul,1,459,4.263805302098837
than,1,483,4.051939200131193
jesus,2,983,3.981864971848151
given,1,498,3.9298928386814587
eyes,1,501,3.9063605462342643
as,7,3520,3.8919336464896492
spirit,1,505,3.8754190765611214
voice,1,505,3.8754190765611214
hear,1,550,3.558339333933393
our,2,1165,3.359805379679599
spake,1,588,3.3283786286791943
after,2,1180,3.3170959892599425
own,1,596,3.283702405475447
heard,1,641,3.0531772756058757
have,6,3905,3.0070473244507547
like,1,669,2.925391081709068
yet,1,683,2.865426989258223
do,2,1368,2.8612377685136936
should,1,783,2.499472073644146
heart,1,833,2.349443737891196
neither,1,879,2.2264921884679936
god,5,4470,2.1891349369836313
from,4,3646,2.14710546754072
not,7,6597,2.0766418729185334
great,1,962,2.0343935900866597
come,2,1972,1.9848748820115278
is,7,6991,1.9596061272555523
may,1,1027,1.905634502106491
then,2,2168,1.805430473859194
david,1,1139,1.7182498978607255
there,2,2299,1.7025547052312886
things,1,1162,1.6842397880063396
a,7,8282,1.6541422887760886
because,1,1209,1.6187647921119657
his,7,8478,1.615900735508795
it,5,6129,1.5965790778784195
for,7,8985,1.5247196923365125
but,3,3994,1.4700200052554078
this,2,2786,1.404943742759057
even,1,1394,1.4039358921544953
in,9,12674,1.3897569593632868
saying,1,1445,1.354385213607866
my,3,4367,1.3444607055163955
are,2,2949,1.3272883239493838
was,3,4523,1.2980897415410346
to,9,13630,1.2922802423309097
them,4,6429,1.2176616168383054
that,8,12916,1.2121936411665324
so,1,1689,1.1587250643359184
an,1,1699,1.1519050227565428
he,6,10430,1.1258408247344387
also,1,1769,1.1063237047277368
your,1,1776,1.1019631946302737
of,19,34747,1.070154143943476
all,3,5621,1.0445223093737943
said,2,4002,0.9780542896868397
with,3,6015,0.9761030591837238
on,1,2016,0.9707771000314318
had,1,2029,0.9645572368966814
people,1,2143,0.9132462126287291
which,2,4414,0.8867633138483763
unto,4,9002,0.8696230320654816
hath,1,2263,0.8648195464707761
son,1,2393,0.8178381252249755
they,3,7377,0.7958872036044596
you,1,2613,0.7489807247085214
man,1,2737,0.7150480941407988
were,1,2773,0.7057651040978602
the,19,64016,0.5808648781492746
will,1,3837,0.5100564591251933
ye,1,3985,0.49111333341615215
and,12,51708,0.4541858049810551
shall,2,9837,0.3979031480458201
him,1,6667,0.29354831763362327
be,1,7012,0.2791053385144561
i,1,8853,0.22106479539855037
