word,numInChap,numInKjv,relativeFreq
TOTAL (Heb 12),696,790663,29 verses
acceptably,1,1,1136.0100574712644
bastards,1,1,1136.0100574712644
despising,1,1,1136.0100574712644
finisher,1,1,1136.0100574712644
scourgeth,1,1,1136.0100574712644
signifieth,1,1,1136.0100574712644
contradiction,1,2,568.0050287356322
corrected,1,2,568.0050287356322
easily,1,2,568.0050287356322
fornicator,1,2,568.0050287356322
general,1,2,568.0050287356322
resisted,1,2,568.0050287356322
chastening,3,6,568.0050287356321
chasteneth,2,5,454.40402298850574
author,1,3,378.67001915708806
consuming,1,3,378.67001915708806
dart,1,3,378.67001915708806
striving,1,3,378.67001915708806
endured,2,8,284.0025143678161
carefully,1,4,284.0025143678161
joyous,1,4,284.0025143678161
quake,1,4,284.0025143678161
race,1,4,284.0025143678161
sprinkling,1,4,284.0025143678161
yieldeth,1,4,284.0025143678161
chastisement,1,5,227.20201149425287
removing,1,5,227.20201149425287
springing,1,5,227.20201149425287
beset,1,6,189.33500957854403
blackness,1,6,189.33500957854403
exercised,1,6,189.33500957854403
inherited,1,6,189.33500957854403
reverence,2,13,174.7707780725022
innumerable,1,7,162.2871510673235
mediator,1,7,162.2871510673235
receiving,1,7,162.2871510673235
chastened,1,8,142.00125718390805
peaceable,1,8,142.00125718390805
sion,1,9,126.22333971902937
birthright,1,10,113.60100574712644
dealeth,1,10,113.60100574712644
exhortation,1,10,113.60100574712644
morsel,1,10,113.60100574712644
thereby,2,21,108.19143404488231
partakers,2,22,103.27364158829675
shaken,2,22,103.27364158829675
shook,1,12,94.66750478927202
furthermore,1,14,81.14357553366175
subjection,1,14,81.14357553366175
wearied,1,14,81.14357553366175
endure,2,29,78.34552120491477
looking,2,30,75.73400383141762
godly,1,15,75.73400383141762
abel,1,16,71.00062859195403
minds,1,16,71.00062859195403
intreated,1,18,63.111669859514684
tempest,1,18,63.111669859514684
speaketh,4,74,61.40594905250077
hang,1,19,59.79000302480339
feeble,1,20,56.80050287356322
faint,2,41,55.41512475469582
holiness,2,43,52.837677091686714
bitterness,1,22,51.63682079414838
stoned,1,22,51.63682079414838
spirits,2,46,49.391741629185404
heavenly,1,23,49.391741629185404
rebuked,1,25,45.44040229885057
refuse,1,26,43.69269451812555
repentance,1,26,43.69269451812555
lame,1,27,42.07444657300979
cross,1,28,40.57178776683087
seemeth,1,28,40.57178776683087
straight,1,28,40.57178776683087
rejected,1,29,39.17276060245739
once,2,59,38.508815507500486
knees,1,30,37.86700191570881
