word,numInChap,numInKjv,relativeFreq
TOTAL (Jas 2),528,790663,26 verses
gay,1,1,1497.467803030303
weareth,1,1,1497.467803030303
partial,1,2,748.7339015151515
convinced,1,4,374.36695075757575
transgressor,1,5,299.4935606060606
needful,1,6,249.57796717171715
warmed,1,6,249.57796717171715
believest,1,8,187.18347537878788
destitute,1,8,187.18347537878788
imputed,1,8,187.18347537878788
point,1,9,166.38531144781143
blaspheme,1,10,149.7467803030303
rahab,1,10,149.7467803030303
heirs,1,11,136.13343663911846
ring,1,11,136.13343663911846
seats,1,11,136.13343663911846
respect,3,34,132.12951203208556
justified,3,43,104.4744978858351
scripture,2,32,93.59173768939394
footstool,1,16,93.59173768939394
rejoiceth,1,18,83.19265572390572
faith,13,247,78.81409489633174
clothing,1,19,78.81409489633174
vile,1,19,78.81409489633174
works,12,237,75.82115458381281
adultery,2,40,74.87339015151515
transgressors,1,20,74.87339015151515
profit,2,45,66.55412457912458
oppress,1,23,65.10729578392622
fulfil,1,24,62.39449179292929
commit,3,75,59.89871212121213
offend,1,25,59.89871212121212
guilty,1,26,57.5949155011655
liberty,1,27,55.46177048260382
persons,2,56,53.48099296536797
apparel,1,28,53.48099296536797
royal,1,29,51.63682079414838
tremble,1,29,51.63682079414838
goodly,1,33,45.37781221303948
notwithstanding,1,36,41.59632786195286
seest,1,36,41.59632786195286
rich,2,81,36.97451365506922
harlot,1,42,35.65399531024531
doest,1,45,33.27706228956229
naked,1,47,31.861017085751133
promised,1,48,31.197245896464644
assembly,1,49,30.560567408781694
poor,4,205,29.21888396156689
judges,1,52,28.79745775058275
friend,1,53,28.254109491137793
devils,1,55,27.22668732782369
food,1,55,27.22668732782369
sit,2,113,26.50385492089032
raiment,1,57,26.27136496544391
thoughts,1,57,26.27136496544391
despised,1,60,24.957796717171718
kill,2,126,23.769330206830208
daily,1,63,23.769330206830208
judged,1,63,23.769330206830208
become,2,135,22.184708193041526
worthy,1,68,22.02158533868093
draw,1,76,19.703523724082935
messengers,1,79,18.955288645953203
here,2,162,18.48725682753461
fulfilled,1,82,18.261802475979305
without,5,426,17.575913181106845
body,2,175,17.11391774891775
dead,4,364,16.455690143190143
mercy,3,276,16.276823945981555
judgment,3,294,15.280283704390847
perfect,1,99,15.125937404346496
wrought,1,100,14.97467803030303
doth,2,207,14.468287951983605
law,5,523,14.316135784228518
likewise,1,107,13.995026196544888
alone,1,108,13.865442620650954
vain,1,112,13.370248241341992
beloved,1,113,13.25192746044516
shew,2,228,13.135682482721956
believed,1,116,12.909205198537094
sister,1,116,12.909205198537094
chosen,1,123,12.174534983986204
abraham,2,250,11.979742424242424
depart,1,125,11.979742424242424
well,2,262,11.431051931529032
isaac,1,132,11.34445305325987
neighbour,1,135,11.092354096520763
shewed,1,135,11.092354096520763
believe,1,143,10.471802818393728
offered,1,143,10.471802818393728
hearken,1,153,9.787371261635968
love,2,311,9.630018025918348
filled,1,159,9.41803649704593
received,1,160,9.359173768939394
whosoever,1,183,8.182884169564497
brethren,3,564,7.965254271437782
yourselves,1,191,7.840145565603681
say,5,1056,7.09028315828742
thyself,1,215,6.96496652572234
if,7,1595,6.57195901016434
do,6,1368,6.567841241360978
save,1,233,6.426900442190141
though,1,233,6.426900442190141
can,1,235,6.372203417150226
wilt,1,245,6.11211348175634
whole,1,250,5.989871212121212
only,1,253,5.91884507126602
how,2,543,5.515535186115296
stand,1,274,5.46521095996461
world,1,288,5.199540982744107
being,1,291,5.1459374674580864
righteousness,1,306,4.893685630817984
called,2,624,4.799576291763792
by,8,2625,4.5637113997114
ye,12,3985,4.50931333409376
yea,1,340,4.404317067736185
yet,2,683,4.3849716047739475
kingdom,1,342,4.378560827573986
also,5,1769,4.2325262946023265
keep,1,362,4.136651389586473
altar,1,378,3.9615550344717008
under,1,392,3.8200709260977117
brother,1,402,3.725044286145032
glory,1,402,3.725044286145032
gold,1,417,3.5910498873628374
so,4,1689,3.54640095448266
peace,1,429,3.490600939464576
sin,1,448,3.342562060335498
hath,5,2263,3.3085899315738025
another,1,453,3.3056684393604923
man,6,2737,3.282720795828213
those,1,465,3.220360866731834
what,2,985,3.040543762498077
art,1,495,3.0251874808692993
thou,11,5474,3.009160729509195
spirit,1,505,2.9652827782778277
not,13,6597,2.9508991116255783
speak,1,513,2.91904055171599
have,7,3905,2.6843212858417727
or,2,1132,2.645702832209016
christ,1,571,2.6225355569707585
there,4,2299,2.6054246246721235
our,2,1165,2.570760176876057
are,5,2949,2.5389416802819653
see,1,597,2.50832127810771
evil,1,613,2.442851228434426
one,3,1969,2.2815659771919297
way,1,664,2.255222594925155
had,3,2029,2.214097293785564
sent,1,686,2.1828976720558355
no,2,1393,2.149989666949466
lord,2,1400,2.1392397186147187
place,1,715,2.0943605636787455
good,1,720,2.079816393097643
my,6,4367,2.0574322917750902
was,6,4523,1.9864706650855226
know,1,763,1.9626052464355215
according,1,793,1.8883578852841147
you,3,2613,1.719251208990015
as,4,3520,1.7016679579889806
give,1,880,1.7016679579889806
a,9,8282,1.6272893295427102
name,1,958,1.5631187923072056
she,1,982,1.5249162963648706
jesus,1,983,1.523365008169179
come,2,1972,1.5187300233573053
is,7,6991,1.4993955973697786
may,1,1027,1.4580991266117849
o,1,1065,1.4060730544885476
hast,1,1071,1.398195894519424
then,2,2168,1.3814278625740803
which,4,4414,1.3570165863437273
god,4,4470,1.3400159311233137
