word,numInChap,numInKjv,relativeFreq
TOTAL (1Pe 5),300,790663
constraint,1,1,2635.5433333333335
elected,1,1,2635.5433333333335
briefly,1,2,1317.7716666666668
vigilant,1,2,1317.7716666666668
ensamples,1,3,878.5144444444444
marcus,1,3,878.5144444444444
testifying,1,3,878.5144444444444
exhorting,1,4,658.8858333333334
resisteth,1,4,658.8858333333334
silvanus,1,4,658.8858333333334
saluteth,1,5,527.1086666666667
lucre,1,6,439.2572222222222
careth,1,7,376.5061904761905
fadeth,1,7,376.5061904761905
humility,1,7,376.5061904761905
partaker,1,9,292.83814814814815
elder,2,20,263.5543333333334
resist,1,10,263.5543333333334
settle,1,10,263.5543333333334
sufferings,1,10,263.5543333333334
suppose,1,10,263.5543333333334
oversight,1,11,239.59484848484848
stedfast,1,11,239.59484848484848
sober,1,12,219.6286111111111
stablish,1,12,219.6286111111111
submit,1,12,219.6286111111111
humble,2,25,210.84346666666667
afflictions,1,13,202.73410256410256
seeking,1,14,188.25309523809526
exhort,1,16,164.72145833333335
greet,1,16,164.72145833333335
roaring,1,16,164.72145833333335
filthy,1,17,155.03196078431375
subject,1,17,155.03196078431375
care,1,20,131.7771666666667
kiss,1,20,131.7771666666667
taking,1,20,131.7771666666667
casting,1,21,125.5020634920635
adversary,1,22,119.79742424242424
willingly,1,25,105.42173333333334
accomplished,1,26,101.36705128205128
exalt,1,26,101.36705128205128
charity,1,28,94.12654761904763
heritage,1,30,87.85144444444445
due,1,31,85.01752688172043
younger,1,31,85.01752688172043
strengthen,1,32,82.36072916666667
revealed,1,38,69.35640350877193
amen,2,78,67.5780341880342
walketh,1,41,64.28154471544715
lords,1,42,62.75103174603175
shepherd,1,45,58.56762962962963
eternal,1,47,56.075390070922
proud,1,48,54.907152777777775
suffered,1,50,52.71086666666667
knowing,1,51,51.67732026143791
appear,1,54,48.80635802469136
flock,2,111,47.48726726726727
grace,3,170,46.50958823529412
devil,1,61,43.205628415300545
dominion,1,62,42.508763440860214
crown,1,66,39.93247474747475
devour,1,71,37.12032863849766
clothed,1,73,36.10333333333334
church,1,77,34.2278354978355
feed,1,81,32.53757201646091
true,1,81,32.53757201646091
faithful,1,82,32.14077235772358
mind,1,95,27.742561403508773
yourselves,2,191,27.59731239092496
perfect,1,99,26.621649831649833
ready,1,100,26.355433333333334
glory,4,402,26.22431177446103
lion,1,104,25.34176282051282
likewise,1,107,24.631246105919004
giveth,1,126,20.917010582010583
witness,1,135,19.522543209876545
being,2,291,18.113699885452466
wherein,1,167,15.781696606786427
receive,1,176,14.97467803030303
elders,1,179,14.723705772811918
christ,3,571,13.846987740805606
doth,1,207,12.732093397745572
while,1,214,12.315623052959502
another,2,453,11.635952906548933
you,11,2613,11.094901135348897
ever,2,476,11.073711484593838
faith,1,247,10.67021592442645
stand,1,274,9.618771289537714
written,1,277,9.51459687123947
mighty,1,284,9.280082159624415
world,1,288,9.15119212962963
babylon,1,294,8.964433106575964
same,1,332,7.938383534136547
chief,1,338,7.797465483234714
yea,1,340,7.751598039215686
whom,2,763,6.908370467453036
under,1,392,6.723324829931973
brother,1,402,6.556077943615257
peace,1,429,6.143457653457654
among,2,916,5.754461426491995
together,1,484,5.445337465564738
who,2,970,5.43410996563574
jesus,2,983,5.36224482875551
may,2,1027,5.132508925673483
brethren,1,564,4.672949172576832
your,3,1776,4.451931306306306
time,1,619,4.257743672590199
called,1,624,4.223627136752137
about,1,632,4.1701635021097045
are,4,2949,3.5748298858370076
god,6,4470,3.5376420581655483
ye,5,3985,3.3068297783354246
am,1,874,3.0154958047292144
by,3,2625,3.0120495238095235
neither,1,879,2.998342813803565
also,2,1769,2.979698511400038
thereof,1,908,2.902580763582966
away,1,916,2.8772307132459973
one,2,1969,2.677037413238531
but,4,3994,2.6395025872141544
be,7,7012,2.63103299106294
over,1,1008,2.614626322751323
a,8,8282,2.5458037511068183
make,1,1055,2.498145339652449
as,3,3520,2.2462017045454545
after,1,1180,2.2335112994350284
because,1,1209,2.1799365867107805
therefore,1,1237,2.1305928321207226
all,4,5621,1.8754978354978353
that,9,12916,1.8364733663672963
us,1,1449,1.8188704853922246
hand,1,1470,1.7928866213151928
with,4,6015,1.7526472707121086
at,1,1571,1.6776214725228094
so,1,1689,1.5604164199723702
an,1,1699,1.5512320973121445
for,5,8985,1.4666351326284548
have,2,3905,1.3498301323090056
not,3,6597,1.1985190237986965
which,2,4414,1.19417459598248
hath,1,2263,1.1646236559139784
is,3,6991,1.1309726791589187
son,1,2393,1.1013553419696338
in,5,12674,1.039744095523644
upon,1,2764,0.953525084418717
this,1,2786,0.9459954534577651
when,1,2847,0.9257264957264958
i,3,8853,0.8931017734101435
unto,3,9002,0.8783192623861364
of,11,34747,0.8343447395938258
shall,3,9837,0.8037643590525566
him,2,6667,0.7906234688265587
to,4,13630,0.7734536561506482
he,3,10430,0.7580661553211888
the,18,64016,0.7410612971757061
my,1,4367,0.6035134722540265
and,9,51708,0.45872766303086565
his,1,8478,0.3108685224502634
