word,numInChap,numInKjv,relativeFreq
TOTAL (2Pe 3),484,790663,18 verses
scoffers,1,1,1633.6012396694216
slackness,1,1,1633.6012396694216
elements,2,4,816.8006198347108
epistles,1,2,816.8006198347108
hasting,1,2,816.8006198347108
overflowed,1,2,816.8006198347108
stedfastness,1,2,816.8006198347108
us-ward,1,3,544.5337465564738
fervent,2,7,466.7432113341205
dissolved,2,8,408.4003099173554
unstable,1,4,408.4003099173554
wrest,1,5,326.7202479338843
creation,1,6,272.2668732782369
unlearned,1,6,272.2668732782369
perdition,1,8,204.2001549586777
slack,1,8,204.2001549586777
ignorant,2,17,192.188381137579
longsuffering,2,17,192.188381137579
melt,2,17,192.188381137579
mindful,1,10,163.36012396694215
error,1,13,125.66163382072473
epistle,1,14,116.68580283353012
blameless,1,15,108.90674931129477
diligent,1,15,108.90674931129477
godliness,1,15,108.90674931129477
heat,2,32,102.10007747933885
asleep,1,16,102.10007747933885
minds,1,16,102.10007747933885
reserved,1,16,102.10007747933885
account,1,17,96.0941905687895
promise,3,53,92.46799469826914
saviour,2,37,88.30276971186062
conversation,1,20,81.68006198347108
stir,1,20,81.68006198347108
scriptures,1,21,77.7905352223534
beloved,5,113,72.28324069333723
lusts,1,24,68.06671831955923
spot,1,25,65.34404958677686
store,1,25,65.34404958677686
willingly,1,25,65.34404958677686
count,1,26,62.830816910362365
perished,1,26,62.830816910362365
repentance,1,26,62.830816910362365
heavens,5,133,61.41358043870005
ungodly,1,27,60.50374961738598
beware,1,28,58.34290141676506
thief,1,28,58.34290141676506
looking,1,30,54.45337465564739
walking,1,30,54.45337465564739
willing,1,32,51.050038739669425
understood,1,37,44.15138485593031
continue,1,38,42.98950630709004
grow,1,38,42.98950630709004
seeing,3,116,42.24830792248504
whereby,1,39,41.88721127357491
hard,1,45,36.30224977043159
coming,2,100,32.67202479338843
knowing,1,51,32.031396856263164
remembrance,1,53,30.82266489942305
standing,1,55,29.701840721262208
persons,1,56,29.17145070838253
dwelleth,1,58,28.165538614990027
apostles,1,60,27.226687327823694
speaking,1,62,26.348407091442283
led,1,68,24.023547642197375
since,1,70,23.33716056670602
new,2,150,21.781349862258956
look,2,155,21.078725673153826
amen,1,78,20.943605636787456
wherein,2,167,19.5640867026278
last,1,85,19.218838113757897
noise,1,88,18.56365045078888
write,1,91,17.95166197438925
destruction,1,94,17.37873659222789
being,3,291,16.841249893499192
nevertheless,1,97,16.841249893499192
ought,1,97,16.841249893499192
pure,1,97,16.841249893499192
burned,1,98,16.669400404790014
beginning,1,106,15.411332449711525
some,2,232,14.082769307495013
perish,1,120,13.613343663911847
water,3,396,12.375766967192588
paul,1,162,10.08395826956433
salvation,1,164,9.960983168715984
second,1,169,9.666279524671134
grace,1,170,9.609419056878949
knowledge,1,172,9.49768162598501
kept,1,175,9.33486422668241
commandment,1,177,9.22938553485549
both,2,361,9.050422380440008
things,6,1162,8.435118277122658
manner,1,196,8.334700202395007
own,3,596,8.222825031893061
therein,1,230,7.102614085519225
lord,6,1400,7.001148170011807
wisdom,1,234,6.981201878929152
works,1,237,6.892832234892074
prophets,1,239,6.835151630415989
lest,1,240,6.806671831955923
concerning,1,242,6.75041834574141
fell,1,243,6.72263884637622
earth,4,987,6.620471082753481
such,1,249,6.560647548873179
fall,1,252,6.482544601862784
thousand,2,521,6.271022033279929
years,2,539,6.061600147196369
fire,2,549,5.951188486955998
written,1,277,5.897477399528597
spoken,1,287,5.69199038212342
world,1,288,5.672226526629935
judgment,1,294,5.556466801596671
holy,2,611,5.347303566839351
righteousness,1,306,5.338566142710528
night,1,307,5.321176676447627
same,1,332,4.920485661654884
wicked,1,344,4.748840812992505
wherefore,1,348,4.694256435831671
day,5,1741,4.6915601369024165
word,2,699,4.674109412501921
also,5,1769,4.617301412293447
old,1,380,4.298950630709004
our,3,1165,4.2066984712517295
should,2,783,4.17267238740593
according,2,793,4.120053567892614
where,1,401,4.0738185527915745
brother,1,402,4.063684675794581
glory,1,402,4.063684675794581
found,1,403,4.053601090991121
these,3,1225,4.000656097149604
without,1,426,3.834744694059675
peace,1,429,3.8079282975977193
first,1,430,3.7990726503940033
as,8,3520,3.712730090157776
now,3,1356,3.6141620346668617
away,2,916,3.5668149337760298
other,1,464,3.5206923268737533
ever,1,476,3.4319353774567682
are,6,2949,3.3237054723691184
given,1,498,3.2803237744365896
may,2,1027,3.1813071853348034
words,1,548,2.9810241599806964
fathers,1,549,2.975594243477999
thing,1,549,2.975594243477999
ye,7,3985,2.8695630307869386
christ,1,571,2.8609478803317367
by,4,2625,2.489297127115309
one,3,1969,2.4889810660275593
come,3,1972,2.485194583675591
way,1,664,2.460242830827442
but,6,3994,2.4540829839801024
this,4,2786,2.345443273035781
be,10,7012,2.329722247104138
which,6,4414,2.2205725958351903
know,1,763,2.141023905202387
pass,1,830,1.9681942646619537
men,2,1677,1.9482423848174377
days,1,868,1.8820290779601632
your,2,1776,1.839641035663763
before,2,1798,1.8171315235477437
any,1,917,1.7814626386798489
were,3,2773,1.7673291449723274
great,1,962,1.6981301867665506
in,13,12674,1.6756206498108315
jesus,1,983,1.661852736184559
what,1,985,1.6584784159080421
that,13,12916,1.644225465755844
with,6,6015,1.62952742111663
then,2,2168,1.5070122137171786
all,5,5621,1.4531233229580336
after,1,1180,1.3844078302283231
up,2,2380,1.3727741509827072
therefore,1,1237,1.3206153918103651
you,2,2613,1.250364515629102
do,1,1368,1.1941529529747232
even,1,1394,1.171880372790116
is,5,6991,1.1683602057426845
shall,7,9837,1.1624691143322101
saying,1,1445,1.1305198890445824
us,1,1449,1.1273990611935276
for,6,8985,1.0908856358393466
unto,6,9002,1.0888255318836402
of,23,34747,1.0813258270468442
the,40,64016,1.0207455883962895
a,5,8282,0.9862359572986124
against,1,1667,0.9799647508514826
from,2,3646,0.8961060009157551
we,1,1844,0.8859008891916602
they,4,7377,0.8857807996038615
to,7,13630,0.8389734906592774
their,2,3932,0.8309263680922795
on,1,2016,0.810318075232848
his,4,8478,0.7707484027692482
not,3,6597,0.7428836924372085
him,3,6667,0.7350838036610566
god,2,4470,0.7309177806127166
hath,1,2263,0.7218741668888297
there,1,2299,0.7105703521833064
and,20,51708,0.6318562851664816
out,1,2776,0.5884730690451807
will,1,3837,0.4257496063772274
i,2,8853,0.3690503195909684
was,1,4523,0.36117648456100415
them,1,6429,0.2540988084724563
