word,numInChap,numInKjv,relativeFreq
TOTAL (1Jn 5),520,790663
petitions,1,2,760.2528846153847
overcometh,3,11,414.6833916083916
agree,1,7,217.21510989010991
believeth,5,45,168.94508547008547
record,3,30,152.05057692307693
begotten,2,24,126.7088141025641
victory,1,12,126.7088141025641
liar,1,13,116.96198224852071
eternal,3,47,97.05355973813423
unrighteousness,1,21,72.40503663003663
sinneth,1,22,69.1138986013986
witness,6,135,67.5780341880342
testified,1,24,63.35440705128205
beareth,1,25,60.820230769230776
true,3,81,56.315028490028496
loveth,2,65,46.78479289940828
ask,3,109,41.848782639378975
confidence,1,38,40.013309716599196
grievous,1,38,40.013309716599196
toucheth,1,40,38.01264423076923
keepeth,1,46,33.054473244147154
desired,1,50,30.410115384615388
born,3,154,29.620242257742262
heareth,1,52,29.240495562130178
commandments,3,171,26.675539811066127
lieth,1,59,25.77128422425033
life,7,450,23.652311965811965
believe,2,143,21.265814954276493
world,4,288,21.118135683760684
sin,6,448,20.363916552197804
whatsoever,2,152,20.006654858299598
greater,1,77,19.746828171828174
amen,1,78,19.49366370808679
whosoever,2,183,16.61754939050021
death,4,372,16.34952440033085
know,8,763,15.942393386430084
water,4,396,15.358644133644134
idols,1,101,15.054512566641279
we,18,1844,14.842247205072585
love,3,311,14.667258224091023
bear,2,215,14.144239713774597
ghost,1,109,13.949594213126325
keep,3,362,12.600876540586487
three,4,485,12.540253766851707
wickedness,1,127,11.97248637189582
blood,3,447,10.204736706246774
understanding,1,160,9.503161057692308
spirit,3,505,9.032707539984768
receive,1,176,8.639237325174825
christ,3,571,7.988646773541696
yourselves,1,191,7.960763189689891
son,11,2393,6.989370439422675
god,20,4470,6.803157804164516
begat,1,225,6.757803418803419
truth,1,237,6.415636157091853
little,1,242,6.283081691036236
jesus,4,983,6.187205571640973
faith,1,247,6.155893802553722
given,2,498,6.106448872412728
whole,1,250,6.082023076923077
hath,9,2263,6.047084367245658
only,1,253,6.009904226208574
himself,2,528,5.75949155011655
is,26,6991,5.654863395794593
written,1,277,5.489190502638157
this,9,2786,4.911899469876857
pray,1,313,4.857845908085525
that,39,12916,4.591183415918241
may,3,1027,4.441594262602052
wicked,1,344,4.420074910554562
us,4,1449,4.19739342782821
if,4,1595,3.8131806124909575
brother,1,402,3.782352659778033
these,3,1225,3.72368759811617
any,2,917,3.3162612196963344
even,3,1394,3.272250579406247
gave,1,465,3.2699048800661705
name,2,958,3.1743335474546335
are,6,2949,3.093602785820487
one,4,1969,3.0888893229675354
thing,1,549,2.7695915650833687
not,12,6597,2.765813131843146
hear,1,550,2.764555944055944
there,4,2299,2.64550808043631
heaven,1,583,2.608071645335796
see,1,597,2.5469108362324446
because,2,1209,2.5153114462047466
holy,1,611,2.4885528137983135
by,4,2625,2.316961172161172
him,10,6667,2.2806446216150733
on,3,2016,2.262657394688645
he,15,10430,2.1867292941957372
word,1,699,2.175258611202817
according,1,793,1.9174095450577167
give,1,880,1.7278474650349651
children,2,1822,1.6690513383433252
his,9,8478,1.6141250204148292
who,1,970,1.5675317208564634
have,4,3905,1.557496306510391
earth,1,987,1.5405326942560986
say,1,1056,1.4398728875291376
father,1,1126,1.3503603634376282
things,1,1162,1.3085247583741562
our,1,1165,1.3051551667216903
every,1,1238,1.2281952901702498
ye,3,3985,1.1446718463468777
but,3,3994,1.1420924656215092
do,1,1368,1.1114808254610886
made,1,1406,1.0814408031513296
in,9,12674,1.0797342530437843
for,6,8985,1.0153627841273918
of,22,34747,0.9627054687621068
men,1,1677,0.9066820329342692
an,1,1699,0.8949415946031604
also,1,1769,0.8595284167500109
unto,5,9002,0.844537752294362
and,28,51708,0.8233573439015538
the,34,64016,0.8075667982042951
come,1,1972,0.7710475503198628
a,4,8282,0.7343664666654283
came,1,2096,0.7254321418085732
which,2,4414,0.6889468822975846
you,1,2613,0.5819004091966204
man,1,2737,0.5555373654478515
when,1,2847,0.5340729783037476
it,2,6129,0.49616765189452416
shall,3,9837,0.46371020714570577
from,1,3646,0.4170339465800245
will,1,3837,0.3962746336280348
i,2,8853,0.34350068208082446
all,1,5621,0.2705044955044955
them,1,6429,0.23650735250128627
to,2,13630,0.22311163158191774
