word,numInChap,numInKjv,relativeFreq
TOTAL (1Jn 4),480,790663,0
confesseth,2,3,1098.1430555555555
propitiation,1,3,549.0715277777778
antichrist,1,4,411.80364583333335
hereby,3,13,380.1264423076923
herein,2,9,366.0476851851852
perfected,1,8,205.90182291666667
boldness,1,10,164.72145833333335
manifested,1,10,164.72145833333335
torment,1,11,149.7467803030303
error,1,13,126.70881410256409
liar,1,13,126.70881410256409
dwelleth,4,58,113.60100574712644
casteth,1,16,102.95091145833334
loveth,4,65,101.36705128205128
love,19,311,100.63368837084673
try,1,17,96.89497549019607
heareth,3,52,95.03161057692307
feareth,1,20,82.36072916666667
overcome,1,22,74.87339015151515
begotten,1,24,68.63394097222222
loved,4,98,67.23324829931973
confess,1,28,58.82909226190476
testify,1,29,56.80050287356322
already,1,31,53.135954301075266
hateth,1,31,53.135954301075266
world,9,288,51.47545572916666
perfect,3,99,49.915593434343435
knoweth,3,104,47.515805288461536
saviour,1,37,44.51931306306306
beloved,3,113,43.73136061946903
spirits,1,46,35.809012681159416
spirit,8,505,26.09448844884488
false,1,64,25.737727864583334
seen,4,277,23.786492178098676
whereof,1,71,23.200205399061034
greater,1,77,21.39239718614719
ought,1,97,16.981593642611685
believed,1,116,14.200125718390805
us,12,1449,13.641528640441685
we,14,1844,12.50596755242227
fear,3,400,12.354109375
brother,3,402,12.292646144278606
believe,1,143,11.5189831002331
another,3,453,10.908705849889625
born,1,154,10.696198593073595
god,29,4470,10.686627050708427
whether,1,171,9.632833820662768
sins,1,172,9.576828972868217
because,7,1209,9.537222566859665
commandment,1,177,9.306297080979284
whosoever,1,183,9.001172586520946
flesh,2,420,7.843878968253968
gone,1,214,7.697264408099688
known,1,222,7.41988551051051
sent,3,686,7.203562317784257
can,1,235,7.009423758865249
truth,1,237,6.9502725035161745
prophets,1,239,6.892111227336122
little,1,242,6.8066718319559225
live,1,247,6.668884952766532
only,1,253,6.510729578392621
know,3,763,6.476597313237221
christ,2,571,5.769578225335668
judgment,1,294,5.602770691609977
every,4,1238,5.322179590737749
is,22,6991,5.183624779478377
jesus,3,983,5.027104526958291
dwell,1,338,4.873415927021696
toward,1,346,4.760735789980732
hath,6,2263,4.367338709677419
whom,2,763,4.317731542158147
first,1,430,3.8307315891472866
through,1,463,3.5576988840892727
might,1,475,3.4678201754385967
than,1,483,3.410382160110421
are,6,2949,3.3514030179721943
one,4,1969,3.3462967665481633
given,1,498,3.3076598058902276
speak,1,513,3.210944606887589
that,25,12916,3.1883218166098897
if,3,1595,3.098209247648903
how,1,543,3.033544352363413
he,19,10430,3.0006785314797058
many,1,556,2.962616157074341
our,2,1165,2.827836194563662
son,4,2393,2.753388354924084
not,11,6597,2.746606096205346
time,1,619,2.6610897953688744
heard,1,641,2.569757540301612
have,6,3905,2.5309314980793856
come,3,1972,2.505904538539554
in,19,12674,2.469392226868655
no,2,1393,2.364988633644413
this,4,2786,2.364988633644413
made,2,1406,2.343121740161214
should,1,783,2.1037223286504894
so,2,1689,1.9505205249654627
also,2,1769,1.8623115696250236
any,1,917,1.7963081606688476
who,1,970,1.6981593642611685
into,2,2015,1.6349524400330853
may,1,1027,1.6039090392729634
say,1,1056,1.5598622948232324
him,6,6667,1.4824190040497975
father,1,1126,1.4628903937240971
his,7,8478,1.3600497857199023
therefore,1,1237,1.3316205200754514
ye,3,3985,1.2400611668757842
but,3,3994,1.237266837756635
now,1,1356,1.2147600172074728
do,1,1368,1.204104227582846
man,2,2737,1.203664291803678
out,2,2776,1.1867540225744477
even,1,1394,1.1816460425633668
let,1,1511,1.0901486322523715
at,1,1571,1.0485134203267557
day,1,1741,0.9461312942753206
children,1,1822,0.9040694749359678
of,19,34747,0.9007130711524256
for,4,8985,0.7333175663142274
there,1,2299,0.716491771784834
they,3,7377,0.6698717297004202
and,20,51708,0.6371217542095355
you,1,2613,0.6303921099630054
the,22,64016,0.5660884908981088
it,2,6129,0.5375149562190679
them,2,6429,0.5124325970861202
to,4,13630,0.48340853509415505
be,2,7012,0.4698273198326678
as,1,3520,0.4679586884469697
from,1,3646,0.4517867754616932
a,2,8282,0.3977818361104403
was,1,4523,0.3641862885990125
i,1,8853,0.18606286946044656
shall,1,9837,0.1674509081359493
