word,numInChap,numInKjv,relativeFreq
TOTAL (Jud 1),608,790663,25 verses
complainers,1,1,1300.4325657894735
contending,1,1,1300.4325657894735
core,1,1,1300.4325657894735
crept,1,1,1300.4325657894735
jude,1,1,1300.4325657894735
murmurers,1,1,1300.4325657894735
admiration,1,2,650.2162828947368
archangel,1,2,650.2162828947368
brute,1,2,650.2162828947368
convince,1,2,650.2162828947368
dignities,1,2,650.2162828947368
dreamers,1,2,650.2162828947368
faultless,1,2,650.2162828947368
foaming,1,2,650.2162828947368
naturally,1,2,650.2162828947368
pulling,1,2,650.2162828947368
sensual,1,2,650.2162828947368
gainsaying,1,3,433.4775219298245
greedily,1,3,433.4775219298245
hating,1,3,433.4775219298245
advantage,1,4,325.1081414473684
denying,1,4,325.1081414473684
railing,1,4,325.1081414473684
ungodly,6,27,288.98501461988303
disputed,1,5,260.08651315789473
gomorrha,1,5,260.08651315789473
mockers,1,5,260.08651315789473
raging,1,5,260.08651315789473
suffering,1,5,260.08651315789473
blackness,1,6,216.73876096491225
lasciviousness,1,6,216.73876096491225
needful,1,6,216.73876096491225
spots,1,6,216.73876096491225
wandering,1,6,216.73876096491225
speeches,1,7,185.77608082706766
spotted,1,7,185.77608082706766
swelling,1,7,185.77608082706766
reserved,2,16,162.5540707236842
example,1,8,162.5540707236842
feeding,1,8,162.5540707236842
withereth,1,8,162.5540707236842
durst,1,9,144.49250730994152
accusation,1,10,130.04325657894736
diligence,1,10,130.04325657894736
lusts,2,24,108.36938048245612
condemnation,1,12,108.36938048245612
difference,1,12,108.36938048245612
enoch,1,12,108.36938048245612
unawares,1,12,108.36938048245612
error,1,13,100.03327429149796
contend,1,14,92.88804041353383
falling,1,15,86.69550438596491
michael,1,15,86.69550438596491
earnestly,1,16,81.2770353618421
exhort,1,16,81.2770353618421
preserved,1,16,81.2770353618421
estate,1,17,76.49603328173374
filthy,1,17,76.49603328173374
twice,1,17,76.49603328173374
turning,1,18,72.24625365497076
cain,1,20,65.02162828947368
praying,1,20,65.02162828947368
roots,1,20,65.02162828947368
common,1,21,61.925360275689215
plucked,1,23,56.54054633867276
winds,1,23,56.54054633867276
eternal,2,47,55.337555991041434
perished,1,26,50.01663714574898
waves,1,26,50.01663714574898
charity,1,28,46.444020206766915
giving,1,29,44.84250226860254
majesty,1,29,44.84250226860254
once,2,59,44.082459857270294
looking,1,30,43.347752192982455
making,1,30,43.347752192982455
walking,1,30,43.347752192982455
dominion,2,62,41.94943760611205
adam,1,31,41.94943760611205
execute,1,32,40.63851768092105
feasts,1,32,40.63851768092105
separate,1,32,40.63851768092105
corrupt,1,33,39.40704744816587
deeds,1,33,39.40704744816587
ordained,1,35,37.15521616541353
fornication,1,36,36.12312682748538
building,1,37,35.1468261024182
chains,1,37,35.1468261024182
despise,1,37,35.1468261024182
saviour,1,37,35.1468261024182
beloved,3,113,34.52475838379133
defile,1,39,33.344424763832656
compassion,1,41,31.71786745827984
james,1,42,30.962680137844607
multiplied,1,44,29.5552855861244
hard,1,45,28.898501461988303
vengeance,1,45,28.898501461988303
write,2,91,28.580935511856563
rebuke,1,46,28.27027316933638
saints,2,96,27.09234512061403
sinners,1,48,27.09234512061403
sodom,1,48,27.09234512061403
clouds,1,49,26.539440118152523
prophesied,1,50,26.00865131578947
stars,1,51,25.498677760577912
remembrance,1,53,24.536463505461768
persons,1,56,23.222010103383457
habitation,1,58,22.42125113430127
exceeding,1,59,22.041229928635147
apostles,1,60,21.673876096491227
devil,1,61,21.318566652286453
ran,1,61,21.318566652286453
sanctified,1,62,20.974718803056025
thousands,1,62,20.974718803056025
balaam,1,63,20.641786758563075
having,3,193,20.213977706572127
afterward,1,66,19.703523724082935
others,1,69,18.846848779557586
speaketh,1,74,17.5734130512091
strange,1,76,17.11095481301939
amen,1,78,16.672212381916328
reward,1,80,16.25540707236842
darkness,2,162,16.05472303443795
last,1,85,15.299206656346747
garment,1,86,15.121308904528764
committed,1,92,14.13513658466819
going,1,92,14.13513658466819
angels,1,94,13.834388997760358
yourselves,2,191,13.617094929732708
everlasting,1,97,13.406521296798697
shame,1,100,13.004325657894736
themselves,4,409,12.718166902586539
fruit,2,208,12.504159286437245
saved,1,104,12.504159286437245
present,1,106,12.268231752730884
woe,1,106,12.268231752730884
likewise,1,107,12.153575381210032
ghost,1,109,11.930573998068565
christ,5,571,11.387325444741451
believed,1,116,11.210625567150634
presence,1,116,11.210625567150634
