word,numInChap,numInKjv,relativeFreq
TOTAL (Rev 14),651,790663,20 verses
bridles,1,1,1214.536098310292
harping,1,1,1214.536098310292
sickle,7,12,708.4793906810036
ascendeth,1,2,607.268049155146
harpers,1,2,607.268049155146
mixture,1,3,404.8453661034306
ripe,2,7,347.0103138029405
reaped,1,4,303.634024577573
winepress,3,15,242.90721966205837
furlongs,1,5,242.90721966205837
sung,1,5,242.90721966205837
sharp,4,25,194.3257757296467
clusters,1,7,173.50515690147026
foreheads,1,8,151.8170122887865
tormented,1,8,151.8170122887865
sion,1,9,134.9484553678102
guile,1,11,110.41237257366289
torment,1,11,110.41237257366289
thrust,4,50,97.16288786482335
fully,1,13,93.42585371617629
labours,1,13,93.42585371617629
loud,4,60,80.96907322068613
brimstone,1,15,80.96907322068613
fountains,1,15,80.96907322068613
reap,2,32,75.90850614439324
forehead,1,16,75.90850614439324
mark,2,37,65.65059990866442
fault,1,19,63.92295254264695
thunder,1,19,63.92295254264695
harps,1,20,60.72680491551459
virgins,1,22,55.206186286831446
fly,1,25,48.58144393241167
cloud,4,107,45.403218628422124
lamb,4,107,45.403218628422124
space,1,27,44.98281845593674
trodden,1,27,44.98281845593674
kindred,1,28,43.376289225367564
angel,7,203,41.880555114148
whithersoever,1,29,41.880555114147995
redeemed,2,62,39.17858381646103
vine,2,62,39.17858381646103
crying,1,31,39.17858381646103
firstfruits,1,32,37.95425307219662
learn,1,32,37.95425307219662
henceforth,1,33,36.804124191220964
patience,1,34,35.721649950302705
worship,3,108,33.73711384195255
fornication,1,36,33.73711384195255
grapes,1,37,32.82529995433221
receiveth,1,37,32.82529995433221
song,2,78,31.141951238725433
fallen,2,79,30.747749324311183
indignation,1,41,29.622831666104677
follow,2,86,28.24502554209981
horse,1,43,28.24502554209981
smoke,1,45,26.98969107356204
having,4,193,25.171732607467188
preach,1,50,24.290721966205837
image,2,101,24.05021976852063
followed,2,108,22.49140922796837
presence,2,116,20.940277557073998
harvest,1,61,19.910427841152323
voice,8,505,19.240175814816503
sat,3,192,18.977126536098307
wrath,3,198,18.402062095610482
crown,1,66,18.402062095610482
golden,1,66,18.402062095610482
cup,1,68,17.860824975151353
defiled,1,71,17.106142229722423
looked,2,143,16.9865188574866
white,1,75,16.193814644137227
forty,2,158,15.373874662155592
here,2,162,14.99427281864558
poured,1,84,14.458763075122521
throne,2,176,13.801546571707862
beast,2,181,13.420288379119247
another,5,453,13.405475698789093
write,1,91,13.346550530882329
angels,1,94,12.92059679053502
hour,1,94,12.92059679053502
saints,1,96,12.651417690732206
everlasting,1,97,12.520990704229813
temple,2,204,11.907216650100901
gospel,1,104,11.678231714522036
four,3,328,11.108561874789254
earth,9,987,11.074797249030016
wine,2,231,10.515464054634561
heaven,5,583,10.416261563553103
tongue,1,129,9.415008514033271
goeth,1,135,8.996563691187347
rest,2,275,8.832989805893032
without,3,426,8.553071114861211
waters,2,287,8.463666190315623
nation,1,145,8.3761110228296
new,1,150,8.096907322068613
beasts,1,156,7.785487809681358
lo,1,159,7.638591813272275
gather,1,165,7.360824838244193
could,1,166,7.316482519941518
commandments,1,171,7.102550282516327
thousand,3,521,6.993490009464252
receive,1,176,6.900773285853931
elders,1,179,6.785117867655262
women,1,179,6.785117867655262
cry,1,181,6.710144189559624
third,1,182,6.6732752654411644
whosoever,1,183,6.636809280384108
drink,2,369,6.582851481356595
hundred,3,590,6.175607279543857
cried,1,199,6.103196473921065
six,1,202,6.012554942130158
heard,3,641,5.68425631034458
works,1,237,5.124624887385198
ever,2,476,5.103092850043243
faith,1,247,4.917150195588226
mount,1,263,4.618007978366129
gathered,1,267,4.548824338240794
power,1,272,4.465206243787838
fire,2,549,4.424539520256072
written,1,277,4.384606853105747
saying,5,1445,4.202547052976788
being,1,291,4.173663568076605
babylon,1,294,4.131075164320721
judgment,1,294,4.131075164320721
blessed,1,302,4.021642709636728
night,1,307,3.9561436427045336
great,3,962,3.7875346101152556
die,1,321,3.7836015523685105
same,1,332,3.658241259970759
on,6,2016,3.6146907687806307
nations,1,336,3.6146907687806302
dwell,1,338,3.593302066006781
stood,1,339,3.582702354897616
yea,1,340,3.5721649950302696
keep,1,362,3.355072094779812
dead,1,364,3.3366376327205822
head,1,364,3.3366376327205822
midst,1,364,3.3366376327205822
altar,1,378,3.213058461138338
fear,1,400,3.0363402457757296
sea,1,400,3.0363402457757296
glory,1,402,3.021234075398736
found,1,403,3.0137372166508483
these,3,1225,2.974374118310919
are,7,2949,2.8829273272879092
mouth,1,424,2.8644719299771033
city,2,868,2.798470272604359
blood,1,447,2.7170829939827557
no,3,1393,2.6156556316804562
name,2,958,2.5355659672448683
cast,1,501,2.424223749122339
spirit,1,505,2.405021976852063
from,7,3646,2.331802712060352
came,4,2096,2.3178169815081904
saw,1,548,2.2163067487414083
out,5,2776,2.1875650185704107
many,1,556,2.184417443004122
